類・品目,持家の帰属家賃を除く総合
196211,17.8
196212,18.1
196301,18.6
196302,18.7
196303,18.7
196304,18.7
196305,19.0
196306,19.1
196307,19.0
196308,18.9
196309,19.3
196310,19.3
196311,19.2
196312,19.3
196401,19.3
196402,19.3
196403,19.3
196404,19.6
196405,19.6
196406,19.6
196407,19.5
196408,19.7
196409,19.9
196410,20.3
196411,20.1
196412,20.1
196501,20.6
196502,20.5
196503,20.7
196504,21.1
196505,21.0
196506,20.9
196507,20.8
196508,20.9
196509,21.3
196510,21.5
196511,21.3
196512,21.4
196601,21.6
196602,21.9
196603,21.9
196604,22.1
196605,22.0
196606,22.0
196607,22.1
196608,21.9
196609,22.2
196610,22.4
196611,22.1
196612,22.4
196701,22.7
196702,22.7
196703,22.8
196704,22.9
196705,22.7
196706,22.6
196707,22.5
196708,22.7
196709,23.1
196710,23.5
196711,23.4
196712,23.6
196801,23.9
196802,23.9
196803,23.9
196804,24.0
196805,24.0
196806,23.9
196807,23.9
196808,24.0
196809,24.6
196810,24.6
196811,24.7
196812,24.5
196901,24.7
196902,24.7
196903,25.0
196904,25.1
196905,25.2
196906,25.2
196907,25.5
196908,25.8
196909,26.0
196910,26.1
196911,26.0
196912,26.1
197001,26.7
197002,26.9
197003,27.1
197004,27.3
197005,27.3
197006,27.2
197007,27.1
197008,27.0
197009,27.6
197010,28.0
197011,28.0
197012,28.1
197101,28.4
197102,28.4
197103,28.5
197104,28.9
197105,28.9
197106,29.0
197107,29.0
197108,29.0
197109,29.7
197110,29.8
197111,29.5
197112,29.5
197201,29.6
197202,29.6
197203,29.9
197204,30.1
197205,30.3
197206,30.3
197207,30.3
197208,30.6
197209,30.7
197210,31.0
197211,30.8
197212,31.0
197301,31.3
197302,31.6
197303,32.4
197304,33.0
197305,33.6
197306,33.7
197307,33.9
197308,34.2
197309,35.3
197310,35.3
197311,35.7
197312,37.0
197401,38.6
197402,39.9
197403,40.2
197404,41.3
197405,41.4
197406,41.6
197407,42.4
197408,42.9
197409,43.6
197410,44.6
197411,44.9
197412,45.0
197501,45.6
197502,45.6
197503,46.1
197504,46.9
197505,47.0
197506,47.0
197507,47.0
197508,47.0
197509,48.1
197510,48.8
197511,48.6
197512,48.6
197601,49.6
197602,49.9
197603,50.1
197604,51.3
197605,51.4
197606,51.5
197607,51.8
197608,51.3
197609,52.7
197610,53.0
197611,53.0
197612,53.6
197701,54.1
197702,54.4
197703,54.7
197704,55.6
197705,56.1
197706,55.9
197707,55.8
197708,55.8
197709,56.7
197710,57.0
197711,56.3
197712,56.2
197801,56.4
197802,56.7
197803,57.2
197804,57.9
197805,58.1
197806,57.9
197807,58.1
197808,58.1
197809,58.8
197810,58.9
197811,58.3
197812,58.2
197901,58.2
197902,58.1
197903,58.5
197904,59.3
197905,59.9
197906,59.9
197907,60.4
197908,59.9
197909,60.7
197910,61.4
197911,61.2
197912,61.5
198001,62.2
198002,62.7
198003,63.0
198004,64.2
198005,64.8
198006,65.1
198007,65.1
198008,65.0
198009,66.1
198010,66.2
198011,66.4
198012,66.1
198101,66.7
198102,66.7
198103,67.0
198104,67.6
198105,68.1
198106,68.1
198107,68.0
198108,67.6
198109,68.7
198110,69.0
198111,68.7
198112,69.0
198201,69.0
198202,68.7
198203,68.9
198204,69.4
198205,69.7
198206,69.7
198207,69.2
198208,69.7
198209,70.9
198210,71.1
198211,70.3
198212,70.2
198301,70.3
198302,70.1
198303,70.5
198304,70.7
198305,71.6
198306,71.0
198307,70.7
198308,70.5
198309,71.4
198310,72.1
198311,71.6
198312,71.4
198401,71.6
198402,72.1
198403,72.3
198404,72.4
198405,73.0
198406,72.4
198407,72.5
198408,71.9
198409,73.0
198410,73.6
198411,73.2
198412,73.3
198501,73.6
198502,73.3
198503,73.6
198504,74.1
198505,74.1
198506,74.1
198507,74.3
198508,74.1
198509,74.2
198510,74.9
198511,74.2
198512,74.3
198601,74.7
198602,74.5
198603,74.4
198604,74.7
198605,74.9
198606,74.4
198607,74.2
198608,74.0
198609,74.4
198610,74.4
198611,74.1
198612,73.9
198701,73.6
198702,73.5
198703,73.9
198704,74.5
198705,74.7
198706,74.4
198707,73.9
198708,74.1
198709,74.8
198710,74.8
198711,74.4
198712,74.3
198801,74.1
198802,73.9
198803,74.2
198804,74.5
198805,74.6
198806,74.4
198807,74.3
198808,74.5
198809,75.2
198810,75.6
198811,75.2
198812,75.0
198901,74.7
198902,74.5
198903,74.9
198904,76.3
198905,76.8
198906,76.7
198907,76.5
198908,76.4
198909,77.1
198910,77.8
198911,76.9
198912,76.9
199001,77.2
199002,77.4
199003,77.7
199004,78.4
199005,78.8
199006,78.4
199007,78.3
199008,78.6
199009,79.2
199010,80.2
199011,80.0
199012,79.8
199101,80.5
199102,80.2
199103,80.6
199104,81.1
199105,81.5
199106,81.1
199107,81.0
199108,81.2
199109,81.3
199110,82.2
199111,82.4
199112,82.0
199201,81.8
199202,81.7
199203,82.0
199204,83.1
199205,83.1
199206,82.9
199207,82.2
199208,82.5
199209,83.0
199210,83.0
199211,82.8
199212,82.8
199301,82.7
199302,82.8
199303,83.1
199304,83.5
199305,83.7
199306,83.6
199307,83.8
199308,84.0
199309,84.1
199310,84.0
199311,83.5
199312,83.5
199401,83.6
199402,83.5
199403,84.0
199404,84.1
199405,84.3
199406,83.9
199407,83.5
199408,83.9
199409,84.1
199410,84.5
199411,84.2
199412,83.9
199501,84.0
199502,83.6
199503,83.6
199504,83.9
199505,84.0
199506,84.0
199507,83.4
199508,83.4
199509,84.0
199510,83.8
199511,83.4
199512,83.4
199601,83.3
199602,83.2
199603,83.4
199604,83.9
199605,84.0
199606,83.7
199607,83.6
199608,83.5
199609,83.9
199610,84.0
199611,83.7
199612,83.9
199701,83.6
199702,83.4
199703,83.5
199704,85.5
199705,85.6
199706,85.6
199707,85.2
199708,85.3
199709,86.0
199710,86.2
199711,85.5
199712,85.4
199801,85.3
199802,85.1
199803,85.5
199804,85.7
199805,86.0
199806,85.6
199807,85.0
199808,84.9
199809,85.7
199810,86.4
199811,86.3
199812,85.9
199901,85.5
199902,85.1
199903,85.1
199904,85.5
199905,85.6
199906,85.3
199907,84.9
199908,85.1
199909,85.5
199910,85.7
199911,85.1
199912,84.8
200001,84.6
200002,84.4
200003,84.6
200004,84.8
200005,84.9
200006,84.6
200007,84.4
200008,84.6
200009,84.5
200010,84.5
200011,84.2
200012,84.4
200101,84.3
200102,84.0
200103,83.9
200104,83.9
200105,84.1
200106,83.8
200107,83.4
200108,83.9
200109,83.7
200110,83.7
200111,83.1
200112,83.0
200201,82.8
200202,82.4
200203,82.6
200204,82.8
200205,83.2
200206,83.1
200207,82.8
200208,83.0
200209,82.9
200210,82.8
200211,82.8
200212,82.8
200301,82.4
200302,82.2
200303,82.4
200304,82.8
200305,82.9
200306,82.7
200307,82.5
200308,82.7
200309,82.8
200310,82.8
200311,82.3
200312,82.4
200401,82.2
200402,82.2
200403,82.3
200404,82.3
200405,82.5
200406,82.7
200407,82.3
200408,82.5
200409,82.8
200410,83.3
200411,83.1
200412,82.7
200501,82.3
200502,82.0
200503,82.3
200504,82.4
200505,82.6
200506,82.2
200507,82.0
200508,82.2
200509,82.4
200510,82.4
200511,82.1
200512,82.1
200601,82.3
200602,81.9
200603,82.1
200604,82.3
200605,82.7
200606,82.7
200607,82.4
200608,83.0
200609,83.1
200610,82.9
200611,82.4
200612,82.4
200701,82.3
200702,81.8
200703,82.1
200704,82.3
200705,82.7
200706,82.5
200707,82.3
200708,82.8
200709,82.9
200710,83.1
200711,82.9
200712,83.2
200801,83.0
200802,82.7
200803,83.2
200804,83.2
200805,83.9
200806,84.4
200807,84.6
200808,84.9
200809,84.9
200810,84.8
200811,83.9
200812,83.5
200901,83.0
200902,82.7
200903,83.0
200904,83.1
200905,82.9
200906,82.7
200907,82.4
200908,82.7
200909,82.7
200910,82.3
200911,82.1
200912,82.0
201001,82.1
201002,82.0
201003,82.3
201004,82.4
201005,82.3
201006,82.1
201007,81.5
201008,81.7
201009,81.9
201010,82.2
201011,81.9
201012,81.7
201101,81.6
201102,81.6
201103,81.8
201104,82.0
201105,81.9
201106,81.8
201107,81.8
201108,81.9
201109,81.9
201110,82.0
201111,81.5
201112,81.5
201201,81.7
201202,81.9
201203,82.4
201204,82.4
201205,82.2
201206,81.7
201207,81.4
201208,81.5
201209,81.7
201210,81.7
201211,81.4
201212,81.4
201301,81.5
201302,81.3
201303,81.5
201304,81.8
201305,81.9
201306,81.9
201307,82.2
201308,82.5
201309,82.8
201310,82.9
201311,82.9
201312,83.0
201401,82.9
201402,82.9
201403,83.1
201404,85.2
201405,85.6
201406,85.5
201407,85.6
201408,85.8
201409,86.0
201410,85.7
201411,85.3
201412,85.4
201501,85.3
201502,85.1
201503,85.5
201504,86.0
201505,86.2
201506,86.0
201507,85.8
201508,85.9
201509,86.0
201510,86.0
201511,85.6
201512,85.6
201601,85.3
201602,85.4
201603,85.5
201604,85.7
201605,85.8
201606,85.7
201607,85.5
201608,85.5
201609,85.6
201610,86.2
201611,86.2
201612,86.0
201701,85.8
201702,85.7
201703,85.7
201704,86.1
201705,86.2
201706,86.1
201707,85.9
201708,86.2
201709,86.4
201710,86.4
201711,86.8
201712,87.1
201801,87.2
201802,87.2
201803,86.9
201804,86.8
201805,86.9
201806,86.8
201807,86.9
201808,87.5
201809,87.6
201810,87.9
201811,87.7
201812,87.3
201901,87.4
201902,87.4
201903,87.4
201904,87.7
201905,87.7
201906,87.5
201907,87.5
201908,87.7
201909,87.8
201910,88.1
201911,88.2
201912,88.2
202001,88.2
202002,88.0
202003,88.0
202004,87.9
202005,87.8
202006,87.6
202007,87.7
202008,87.8
202009,87.6
202010,87.5
202011,87.2
202012,87.0
202101,87.5
202102,87.4
202103,87.6
202104,86.7
202105,87.0
202106,87.1
202107,87.4
202108,87.4
202109,87.7
202110,87.6
202111,87.8
202112,87.8
202201,88.0
202202,88.4
202203,88.8
202204,89.3
202205,89.6
202206,89.6
202207,90.1
202208,90.5
202209,90.9
202210,91.5
202211,91.8
202212,92.0
202301,92.5
202302,91.8
202303,92.2
202304,92.9
202305,93.0
202306,93.1
202307,93.6
202308,93.8
202309,94.1
202310,95.1
202311,94.8
202312,94.7
202401,94.8
202402,94.8
202403,95.1
202404,95.6
202405,96.0
202406,96.1
202407,96.5
202408,97.1
202409,96.8
202410,97.5
202411,98.0
202412,98.7
202501,99.2
202502,98.8
202503,99.1
202504,99.6
202505,100.0
202506,99.9
202507,100.1
202508,100.3
202509,100.1
202510,100.8
202511,101.2
202512,101.0
202601,100.9
202602,100.2
202603,100.7
202604,101.1
202605,101.7
202606,101.8
202607,102.4
202608,102.5
