ウエイト１万分比(Weight per 10000),10000,5036,4657,742,641,101,101,3652,1567,298,283,1504,551,91,4964,3330,1079,17,10,458,285,226,15,68,3886,491,217,,,1634,,,1544,490,36,289,729,677,619,3740,1670
2007  ,0.0,0.0,-0.1,0.6,0.8,-1.7,-1.8,-0.2,0.1,0.1,2.5,-1.4,0.6,0.4,0.1,0.2,0.3,,0.3,0.1,0.8,0.2,0.6,0.2,0.0,0.7,-0.2,,,-0.2,,,0.1,0.0,2.3,0.7,-0.3,-4.4,0.4,0.5,0.5
2008  ,1.4,2.4,2.7,0.6,0.9,-1.2,-1.3,2.8,4.0,-0.1,14.1,-0.7,3.0,0.2,0.4,0.6,-0.2,,0.6,-1.2,-0.4,0.5,0.9,0.1,0.7,1.6,-0.2,,,0.0,,,0.9,0.6,4.4,0.7,1.1,-3.7,0.6,3.6,0.7
2009  ,-1.4,-2.4,-2.5,-1.8,-2.1,0.5,0.4,-3.0,1.0,-0.9,-20.4,-2.2,-0.4,0.7,-0.2,-0.2,-0.4,,0.0,-0.4,-0.1,-0.6,0.6,0.0,-0.2,0.9,-0.5,,,-0.3,,,-0.3,0.1,12.8,0.7,-1.8,-4.6,-0.6,-2.6,-0.3
2010  ,-0.7,-0.6,-1.1,2.8,3.6,-3.4,-3.5,-1.0,-1.9,-1.5,8.9,-2.5,-2.3,0.3,-0.9,-1.1,-2.2,,0.0,0.5,0.2,-0.5,-51.2,0.1,-0.4,-0.1,-0.6,,,-0.3,,,-0.7,-0.3,3.3,-2.1,-0.5,-5.1,-1.6,0.3,-1.9
2011  ,-0.3,-0.7,-0.6,-0.9,-0.5,-4.0,-4.0,-1.1,-0.4,-0.4,9.3,-4.4,2.2,0.3,0.1,0.2,0.3,,-0.3,1.9,0.0,0.5,-29.0,0.0,0.0,0.2,-0.4,-0.2,-0.4,-0.2,-0.2,-0.2,0.2,-0.1,0.1,-0.2,0.7,-10.3,-0.9,1.2,1.6
2012  ,0.0,0.0,-0.1,1.0,0.0,8.9,9.2,-0.9,-0.4,0.2,1.5,-2.5,4.7,0.6,-0.1,0.1,0.6,,0.3,1.5,0.2,0.1,0.0,-0.8,-0.3,0.0,-0.5,-0.4,-0.6,-0.4,-0.3,-0.4,-0.2,0.1,0.4,0.3,-0.6,-4.3,-0.2,0.7,1.8
2013  ,0.4,0.6,0.7,0.4,0.2,2.0,2.0,-0.1,-0.5,0.2,5.4,-1.3,5.1,0.4,0.1,0.3,1.0,,0.6,2.9,0.1,0.0,0.0,-2.3,-0.2,0.3,-0.6,-0.4,-0.7,-0.4,-0.4,-0.5,0.0,0.1,0.1,0.5,-0.2,-3.1,0.3,1.2,2.2
2014  ,2.7,4.1,3.9,5.2,6.7,-6.1,-6.3,3.5,3.6,2.0,5.4,3.3,6.6,2.4,1.5,2.3,2.9,,-0.2,3.4,0.6,4.1,10.1,2.5,1.0,2.6,-0.4,-0.3,-0.5,-0.3,-0.2,-0.5,2.1,2.3,1.4,1.4,2.3,3.2,2.6,4.5,4.0
2015  ,0.8,0.8,0.3,4.9,6.3,-6.6,-6.9,0.2,2.6,2.2,-13.9,1.9,-1.0,1.2,0.8,1.2,1.4,,0.2,1.6,0.1,2.0,13.2,0.8,0.6,2.1,-0.3,-0.2,-0.4,-0.3,-0.2,-0.5,1.1,1.4,1.5,1.0,0.9,1.8,2.3,0.3,0.7
2016  ,-0.1,-0.6,-1.0,3.6,3.5,3.8,3.8,-0.3,1.0,1.2,-11.6,0.4,-7.7,0.3,0.3,0.6,0.6,0.7,0.3,0.5,0.8,0.3,5.2,0.1,0.2,0.8,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.5,0.6,3.5,1.0,0.2,-0.6,1.7,-1.0,-1.8
2017  ,0.5,0.9,1.1,0.8,0.5,4.8,4.8,0.8,0.7,0.2,9.9,-0.7,2.1,0.5,0.0,0.2,0.5,-0.1,0.3,0.3,1.3,0.1,0.9,0.3,-0.1,0.3,-0.3,-0.2,-0.4,-0.3,-0.2,-0.4,-0.1,0.3,0.3,0.6,-0.6,-1.7,0.4,1.5,0.9
2018  ,1.0,1.7,1.5,3.0,2.8,4.7,4.7,1.2,0.8,-0.3,10.7,0.0,3.6,0.8,0.3,0.4,0.7,0.1,0.2,0.0,2.4,0.6,-0.5,0.4,0.1,0.9,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0.2,0.5,0.2,0.6,-0.2,-0.4,0.1,2.4,1.6
2019  ,0.5,0.7,1.0,-1.4,-1.5,0.2,0.2,0.7,1.0,0.5,-1.2,0.9,2.7,2.6,0.3,0.4,-0.1,0.0,0.2,1.7,-1.8,0.6,-15.5,1.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0,-0.1,0.5,1.5,0.7,0.9,-0.2,1.0,0.4,0.7,0.9
2020  ,0.0,0.5,0.2,2.4,2.6,0.1,0.1,0.5,0.6,0.8,-5.2,1.8,-2.9,1.7,-0.5,-0.7,-2.4,-2.5,0.2,1.5,-8.2,1.7,-55.0,0.7,0.2,2.4,0.0,0.1,0.0,0.1,0.1,-0.1,-0.5,2.4,1.8,-1.2,-2.1,1.3,1.6,0.1,-2.4
2021  ,-0.2,0.8,0.9,-0.4,-0.1,-3.2,-3.2,1.0,0.2,-0.3,10.8,0.3,0.3,2.2,-1.3,-1.9,0.5,-0.1,0.1,1.5,-0.4,0.3,-0.7,-1.0,-1.8,0.3,-0.1,0.1,-0.2,0.1,0.2,-0.2,-4.8,0.5,0.8,0.1,-10.4,-0.3,0.2,1.1,0.6
2022  ,2.5,5.5,5.2,5.6,6.5,-4.3,-4.3,3.9,4.3,1.2,11.4,2.7,17.0,1.7,-0.5,-0.8,-0.4,0.2,0.1,-0.6,-1.0,0.3,0.0,0.0,-0.6,3.2,0.0,0.2,0.0,0.0,0.1,0.0,-2.5,2.3,0.3,0.9,-7.8,3.7,1.8,6.5,4.8
2023  ,3.2,4.6,4.3,7.6,8.0,3.8,3.8,6.2,8.8,3.9,1.3,5.0,-9.0,3.5,1.8,2.6,0.4,-7.2,0.2,0.7,-0.2,2.0,0.0,-1.0,2.3,6.2,0.1,0.1,0.0,0.1,0.1,0.1,3.8,3.4,0.6,1.3,5.5,4.4,4.7,4.6,-2.6
2024  ,2.7,3.7,3.4,6.7,5.1,27.7,27.7,2.9,3.6,2.7,1.7,2.4,4.8,4.0,1.7,2.4,0.2,-10.0,0.6,2.2,-0.2,-1.0,-3.4,-3.5,2.2,3.2,0.3,0.2,0.3,0.2,0.2,0.4,4.3,2.8,1.1,-0.2,7.7,1.8,2.9,4.1,1.6
2025  ,3.2,4.7,4.6,11.0,5.6,67.5,67.5,3.6,5.4,2.2,2.3,2.2,3.8,3.5,1.5,2.0,0.5,-5.5,0.7,3.3,-0.3,1.2,-42.8,0.4,1.8,4.4,0.5,0.1,0.6,0.3,0.1,0.8,2.7,3.0,0.9,-0.4,3.7,1.5,2.4,5.6,1.5
