類・品目,総合,財,生鮮食品を除く財,農水畜産物,生鮮商品,他の農水畜産物,米類,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,持家の帰属家賃を除くサービス,公共サービス,外食,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃,持家の帰属家賃（木造）,持家の帰属家賃（非木造）,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
Group/Item,All items,Goods,"Goods, less fresh food","Agricultural, aquatic & livestock products","Fresh food, raw meats & cut flowers","Other agricultural, aquatic & livestock products",Rice,Industrial products,Food products,Textiles,Petroleum products,Other industrial products,"Electricity, manufactured & piped gas & water charges",Publications,Services,"Services, less imputed rent",Public services,Meals outside the home,"House rent, public, Urban Renaissance Agency & public corporation",Services related to domestic duties,Services related to medical care & welfare,Services related to forwarding & communication,Services related to education,Services related to culture & recreation,General services,Meals outside the home,"House rent, private","House rent, private (wooden)","House rent, private (non-wooden)",Imputed rent,Imputed rent (wooden),Imputed rent (non-wooden),Other services,Services related to domestic duties,Services related to medical care & welfare,Services related to education,"Services related to communication, culture & recreation",Durable goods,Semi-durable goods,Non-durable goods,Public utilities charges
類・品目符号(Group/Item code),0201,0202,0241,0203,0204,0205,0206,0207,0208,0211,0214,0215,0218,0219,0220,0242,0221,0243,0222,0223,0224,0225,0226,0227,0228,0229,0230,0245,0246,0231,0247,0248,0232,0233,0234,0235,0236,0237,0238,0239,0240
197208,5.9,4.6,3.2,8.4,10.6,2.6,2.2,3.5,4.0,5.9,-0.7,1.2,3.1,2.2,7.9,7.7,7.5,,6.3,3.0,12.6,4.0,7.4,0.0,8.9,7.2,8.7,,,11.2,,,7.8,9.1,,9.8,0.3,-0.8,,,4.2
197209,3.9,1.7,3.3,-3.0,-4.6,2.6,2.2,3.3,3.9,5.2,-0.4,0.8,3.1,2.1,8.0,7.5,7.4,,6.7,-1.7,12.6,4.0,7.4,0.0,8.8,7.1,9.0,,,11.6,,,7.5,9.0,,9.8,0.5,-1.3,,,4.5
197210,4.4,2.1,4.1,-1.1,-4.6,9.6,9.4,3.4,3.8,5.8,-0.4,1.0,3.0,2.0,8.3,7.8,7.9,,6.8,-1.5,12.6,4.2,8.8,0.0,9.2,7.5,9.1,,,12.2,,,7.5,9.3,,9.8,0.3,-1.0,,,4.2
197211,5.1,3.1,4.3,2.6,0.1,10.1,9.8,3.4,3.6,5.6,0.0,1.3,3.3,1.7,8.3,7.8,8.3,,7.4,-1.3,12.6,4.5,8.8,0.0,9.1,7.5,8.9,,,12.0,,,7.5,9.2,,9.8,0.3,-0.8,,,4.8
197212,5.7,4.0,4.4,5.7,4.5,9.3,9.8,3.7,3.6,6.3,0.4,1.7,3.3,1.9,8.4,8.2,8.5,,8.3,-1.3,12.6,4.7,8.8,0.0,9.0,9.0,8.8,,,11.7,,,7.4,9.6,,9.8,0.3,-0.5,,,4.5
197301,6.7,5.2,5.1,8.7,8.2,9.6,9.9,4.1,4.0,7.8,0.7,2.0,3.3,3.3,8.9,8.6,9.0,,8.7,-1.1,12.6,5.0,8.8,0.0,9.7,9.4,8.5,,,11.5,,,7.9,9.9,,9.8,1.4,0.2,,,4.7
197302,7.0,6.3,6.3,7.9,7.1,9.8,9.9,6.0,6.6,10.3,5.4,2.0,3.2,4.4,8.0,7.5,4.5,,8.7,-1.1,0.0,3.6,8.8,0.0,10.0,10.2,8.8,,,11.6,,,8.3,10.6,,9.8,1.4,0.0,,,2.7
197303,8.7,8.6,8.5,11.2,12.0,9.8,10.0,8.0,8.5,15.1,7.2,2.3,3.2,6.2,8.5,8.2,5.0,,9.0,-1.1,0.0,4.1,8.8,0.0,10.3,11.0,9.0,,,11.8,,,9.2,12.1,,9.8,1.4,-0.1,,,2.7
197304,9.4,9.7,9.7,11.2,11.8,9.2,9.8,9.8,9.2,19.9,8.5,2.7,3.3,6.1,8.6,8.9,5.9,,8.8,-0.2,0.0,4.4,10.4,0.0,9.7,12.6,8.5,,,9.8,,,9.5,14.3,,9.1,1.1,-0.1,,,3.3
197305,10.8,11.7,10.9,15.0,17.0,9.2,9.4,11.3,9.6,25.1,9.2,3.3,3.5,6.1,8.8,9.1,5.7,,8.4,0.0,0.0,4.4,10.4,0.0,10.0,13.2,8.4,,,9.4,,,10.0,15.0,,9.7,1.1,0.7,,,3.3
197306,11.0,11.1,11.4,12.0,12.9,8.6,8.9,11.6,10.8,23.5,9.8,3.6,2.9,6.4,10.2,11.1,5.8,,9.3,0.2,0.0,4.4,10.4,0.0,12.0,14.1,8.1,,,9.7,,,14.1,16.4,,10.3,11.6,1.2,,,3.3
197307,11.7,12.1,11.5,14.0,16.0,8.6,9.1,11.9,11.4,23.2,10.0,4.1,2.9,15.1,10.4,11.1,6.0,,9.3,1.0,0.0,4.6,10.4,0.0,12.2,14.5,8.6,,,10.3,,,14.1,16.3,,10.3,11.6,1.4,,,3.3
197308,11.9,12.5,12.6,13.4,14.9,8.9,9.2,12.6,11.8,24.8,11.2,4.8,0.5,16.1,10.3,11.3,5.6,,8.1,1.7,0.0,3.6,10.4,0.0,12.2,14.7,8.6,,,10.2,,,14.5,17.4,,10.3,11.1,1.8,,,3.0
197309,14.2,15.8,14.1,21.7,25.9,9.4,9.6,14.2,12.9,28.0,11.6,6.0,0.5,20.4,10.6,11.8,5.6,,7.8,6.5,0.0,3.6,12.5,0.0,12.8,15.4,8.9,,,9.8,,,15.5,18.7,,10.3,11.4,2.6,,,2.7
197310,13.9,15.8,15.2,15.9,20.6,3.8,3.8,16.2,14.6,30.6,13.3,7.6,2.4,20.2,9.8,10.8,0.9,,6.7,6.9,-16.4,3.3,11.0,0.0,13.1,16.6,8.5,,,9.0,,,16.1,19.6,,10.3,11.4,4.2,,,1.1
197311,15.2,17.6,16.9,16.4,20.9,5.0,5.2,18.8,17.4,31.4,21.5,9.7,2.1,20.6,10.4,11.9,0.6,,6.8,6.9,-16.4,3.0,11.0,0.0,13.7,19.9,8.3,,,8.0,,,17.2,22.1,,10.3,11.4,6.0,,,0.5
197312,18.3,21.6,21.0,20.3,25.2,6.1,6.1,23.4,21.6,33.4,44.2,13.7,2.1,20.1,11.6,13.3,0.5,,5.7,6.3,-16.4,2.8,11.0,0.0,15.2,20.8,8.4,,,8.1,,,20.5,29.1,,10.3,11.9,8.7,,,0.5
197401,21.9,26.8,25.2,25.2,32.2,6.4,6.2,29.3,30.5,34.8,45.4,19.1,2.7,20.2,12.6,14.9,0.4,,5.5,6.9,-16.4,2.5,11.0,0.0,16.4,23.7,8.6,,,8.3,,,22.7,33.8,,10.3,12.6,13.3,,,0.5
197402,24.9,30.0,27.5,32.8,42.5,6.6,6.4,31.1,32.7,34.6,37.1,24.9,3.0,25.4,14.5,17.5,6.1,,5.5,8.4,-0.8,4.0,11.0,0.0,17.3,25.6,8.2,,,7.8,,,24.0,36.3,,10.3,13.1,22.1,,,3.5
197403,22.8,26.7,25.6,22.9,28.2,6.6,6.2,29.9,31.9,29.5,34.9,25.9,3.0,22.7,14.4,17.3,5.7,,5.7,9.6,-0.8,3.7,11.0,0.0,17.1,25.2,8.2,,,8.0,,,24.2,36.2,,10.3,15.1,23.8,,,3.7
197404,23.7,27.7,25.6,27.3,34.1,6.6,6.3,29.6,32.0,25.2,49.5,26.5,3.0,23.3,15.3,18.4,5.3,,5.0,11.0,-0.8,3.5,8.5,0.0,18.4,23.7,8.0,,,7.9,,,27.6,35.1,,19.9,17.6,24.7,,,3.4
197405,22.0,24.8,25.7,15.8,18.5,6.8,6.5,29.9,34.1,23.8,49.1,26.2,3.0,23.0,15.5,18.9,6.3,,4.7,14.1,-0.8,3.7,9.4,0.0,18.5,23.8,7.7,,,7.4,,,27.9,35.8,,19.5,17.9,24.2,,,3.9
197406,22.3,26.4,26.9,17.7,21.6,6.8,6.7,30.4,33.5,24.8,57.2,26.4,17.3,22.8,15.1,17.1,6.0,,3.8,14.4,-0.8,3.5,9.4,0.0,16.5,23.2,7.6,,,7.1,,,23.9,35.1,,19.4,7.5,24.7,,,6.1
197407,23.8,28.6,28.2,23.7,29.3,7.0,6.8,30.5,34.2,23.8,57.6,26.8,17.6,37.0,15.3,17.3,6.2,,3.8,15.3,-0.8,3.2,9.4,0.0,16.4,23.1,7.4,,,6.5,,,24.4,36.2,,19.4,7.7,25.5,,,6.3
197408,23.9,28.4,27.1,24.7,30.3,7.2,7.0,29.6,35.1,19.1,56.0,26.5,17.8,39.2,15.9,18.1,7.8,,5.0,15.4,-0.8,8.6,9.4,0.0,16.9,24.0,7.6,,,6.8,,,24.6,36.0,,19.4,8.5,25.4,,,7.1
197409,22.5,25.9,26.3,19.3,22.5,7.2,7.0,28.1,34.4,15.0,59.1,25.7,23.5,34.8,16.3,18.4,8.6,,5.5,15.7,-0.8,9.8,7.4,0.0,16.8,24.5,7.1,,,6.9,,,24.6,35.3,,19.4,8.7,24.5,,,8.4
197410,24.8,27.4,27.6,26.8,23.9,35.8,35.9,26.9,33.2,13.5,57.6,25.3,22.0,44.0,19.9,23.1,22.1,,5.7,15.4,37.6,13.2,7.4,0.0,17.8,27.5,7.4,,,7.3,,,24.8,35.3,,19.4,9.5,25.0,,,14.9
197411,24.5,26.9,26.5,29.1,26.9,35.1,35.2,24.9,31.8,12.3,53.3,22.6,26.5,44.4,20.7,23.1,23.8,,5.8,15.4,37.6,15.0,7.4,0.0,18.5,26.4,8.1,,,9.3,,,24.3,33.4,,19.4,9.7,22.9,,,16.5
197412,21.0,21.9,22.2,22.0,18.4,34.1,34.0,20.3,28.2,10.1,28.7,18.0,26.5,43.8,19.7,21.9,24.3,,7.6,16.2,37.6,15.4,7.4,0.0,17.2,25.5,8.1,,,9.6,,,21.3,26.5,,19.4,9.2,19.7,,,17.0
197501,16.8,16.2,17.3,15.3,12.9,33.0,33.5,14.6,19.5,7.2,27.2,12.5,23.0,41.1,18.5,20.3,24.6,,7.8,15.5,37.6,15.2,7.4,0.0,16.9,22.8,8.3,,,9.8,,,19.0,22.3,,19.4,9.3,15.0,,,16.7
197502,13.6,12.5,14.1,10.4,5.5,32.5,33.4,11.3,14.9,5.9,28.9,7.3,22.7,34.8,16.3,17.4,17.7,,7.8,14.0,16.0,13.5,7.4,0.0,15.8,20.3,8.8,,,10.1,,,17.5,19.3,,19.4,8.5,7.0,,,13.6
197503,13.9,13.2,14.1,16.4,13.5,32.6,33.4,10.2,13.7,5.2,29.9,5.9,24.0,34.2,15.9,16.8,17.6,,7.8,12.7,16.0,12.9,7.4,0.0,15.2,19.3,8.9,,,9.9,,,16.5,17.6,,19.4,7.2,5.7,,,13.6
197504,13.4,11.4,13.2,12.9,6.3,32.6,33.2,8.9,13.0,4.9,16.0,5.5,24.1,33.4,17.6,18.8,17.9,,8.5,11.2,16.0,14.1,7.0,0.0,16.3,19.1,9.4,,,10.7,,,21.0,16.3,,31.0,16.6,4.1,,,13.5
197505,14.0,12.4,11.6,20.1,14.5,32.2,32.6,7.8,10.9,4.0,15.8,4.8,24.0,33.8,17.5,18.2,17.1,,8.7,9.0,16.0,13.8,6.0,0.0,16.1,18.1,10.1,,,11.8,,,20.4,15.0,,28.9,16.1,4.0,,,12.9
197506,13.4,11.5,10.4,21.3,15.8,31.9,32.3,7.0,10.6,3.6,8.7,4.4,9.2,33.6,16.5,18.1,17.8,,9.4,8.8,16.0,14.1,6.0,0.0,15.7,17.6,10.4,,,12.0,,,20.0,14.1,,28.3,16.2,3.3,,,11.2
197507,11.4,8.8,8.9,14.6,7.8,31.9,32.0,6.5,9.5,3.9,8.5,3.6,9.1,10.7,16.3,18.1,17.2,,9.5,7.2,16.0,13.8,6.0,0.0,15.9,17.3,10.5,,,12.4,,,20.2,12.9,,28.3,18.0,2.6,,,10.6
