類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,生鮮食品及びエネルギーを除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
198207,-0.6,-0.2,-0.7,-0.3,-0.2,-0.4,-1.2,-7.9,0.4,0.0,0.5,0.7,0.9,-0.2,-9.3,-16.1,-11.0,-11.5,-0.5,0.5,0.5,0.0,0.0,0.3,0.3,0.2,0.3,0.2,0.3,0.0,0.0,0.0,0.3,,-0.1,-0.4,0.4,0.1,0.1,-0.1,0.4,-3.6,-5.5,-0.6,-6.6,-3.9,-6.2,0.2,-0.1,-0.3,0.1,0.0,0.1,0.1,0.0,0.2,0.3,-0.1,0.0,0.0,0.0,0.0,0.0,-0.3,-0.4,-1.1,0.0,0.1,0.1,0.5,0.1,-0.6,0.0,0.0,0.0,0.0,-0.2,
198208,0.7,-0.3,0.7,-0.4,-0.5,-0.7,3.1,17.6,0.1,0.1,3.6,5.6,0.2,0.9,24.5,45.7,6.9,7.3,-0.2,0.2,-0.1,0.0,0.0,0.1,0.2,0.1,0.1,0.0,0.2,0.7,0.0,0.0,4.5,,0.1,0.0,-0.4,0.8,0.1,0.1,0.1,-7.4,-12.0,0.0,-14.8,-6.9,-11.1,0.1,-0.2,-0.5,0.1,0.0,0.1,-0.1,0.0,0.9,0.1,2.0,0.0,0.0,0.0,0.0,0.0,1.6,-0.5,5.7,0.6,0.8,0.0,0.2,0.0,-0.1,0.0,0.0,1.8,0.0,1.4,
198209,1.6,1.0,1.8,1.2,1.2,1.7,1.7,7.8,0.2,0.1,4.4,7.1,0.0,2.0,6.6,10.5,4.9,5.1,-0.3,-0.2,-0.1,0.1,0.0,0.3,0.1,0.2,0.1,0.2,0.1,0.4,0.0,0.0,2.4,,0.7,1.1,1.0,0.2,0.1,0.3,0.1,11.1,18.8,1.4,23.7,10.3,17.4,-0.4,0.7,1.8,0.0,0.2,0.3,0.6,0.0,0.1,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.1,-0.4,0.6,1.5,-0.7,0.3,0.1,0.1,0.9,0.0,0.5,0.4,0.2,0.1,
198210,0.3,0.5,0.3,0.5,0.5,0.5,-0.1,-1.6,0.3,0.2,-3.0,-4.7,-0.2,2.9,-3.8,-6.0,10.8,11.2,-0.1,0.1,0.5,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.6,,0.4,0.7,0.3,1.0,0.2,0.0,0.0,3.2,5.7,1.9,6.7,1.6,2.3,0.1,0.4,-1.8,0.1,0.2,0.4,0.6,0.1,0.2,0.4,0.0,0.1,0.0,0.0,0.0,0.0,-0.3,-0.1,-1.6,0.1,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,-0.2,
198211,-1.0,0.1,-1.1,0.0,0.0,0.0,-2.7,-14.0,0.2,0.5,-1.5,-2.5,-0.2,-1.0,-15.1,-24.0,-17.7,-18.4,0.3,0.0,-0.1,0.0,0.0,0.2,0.2,0.2,0.3,0.3,0.2,-0.1,0.0,0.1,-0.2,,0.0,-0.3,0.0,0.2,0.2,0.3,0.3,0.1,0.2,0.6,0.1,-0.1,-0.2,0.1,-0.1,0.5,0.1,0.2,0.4,0.5,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.3,-2.5,0.0,0.0,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.1,-0.5,
198212,-0.1,0.0,-0.2,0.1,0.1,0.1,-0.5,-2.7,-0.1,0.2,-1.2,-2.4,-0.1,-1.6,0.0,-0.5,-5.7,-6.0,0.0,0.4,-0.1,0.1,0.0,0.3,0.3,0.5,0.2,0.4,0.4,0.0,0.0,0.0,-0.4,,0.0,-0.2,0.3,0.1,0.1,-0.1,0.0,-0.8,-1.4,-0.4,-1.8,-0.4,-0.7,0.1,0.2,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.5,-0.7,1.3,1.8,-0.1,0.2,0.3,0.2,0.4,0.0,0.0,-0.1,0.0,0.5,
198301,0.1,-0.5,0.2,-0.5,-0.5,-0.6,1.5,9.0,-0.1,0.0,1.7,2.9,0.1,-4.6,12.3,21.7,3.6,3.7,0.0,-0.1,0.3,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.3,-0.2,0.0,0.0,-1.1,,-0.2,-0.4,-0.3,-0.2,0.1,0.0,0.4,-4.2,-7.0,0.9,-8.8,-3.1,-4.7,0.0,0.1,-0.1,0.1,-0.4,0.4,0.5,-1.0,-0.1,0.3,-0.5,0.0,0.0,0.0,0.0,0.1,0.3,-0.3,2.1,-1.8,0.5,0.1,0.2,0.2,-0.1,0.0,0.0,-0.4,0.0,0.2,
198302,-0.3,-0.4,-0.4,-0.6,-0.3,-0.6,0.4,1.4,0.2,0.0,-0.8,-1.3,0.5,0.3,1.2,1.5,6.3,6.7,-0.2,0.0,-0.1,0.0,0.0,0.2,0.3,0.2,0.3,0.4,0.0,-0.4,0.0,0.0,-2.7,,0.0,0.0,0.2,-0.7,0.0,0.4,0.1,-4.3,-7.7,0.3,-9.6,-2.9,-4.3,-0.4,-0.2,-0.8,0.1,0.2,0.2,0.2,0.2,-0.5,-0.2,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.2,-0.2,0.1,0.0,0.0,0.3,0.0,0.0,-1.0,0.1,-0.1,
198303,0.6,0.2,0.6,0.3,0.3,0.3,1.3,5.1,0.5,0.0,0.4,0.6,0.3,6.1,5.0,7.7,8.6,9.0,0.0,0.2,0.6,0.1,0.0,0.2,0.1,0.1,0.2,0.2,0.0,-0.4,0.0,0.0,-2.1,,-0.1,-0.6,-0.1,-0.5,0.1,0.1,0.3,0.9,1.8,-0.2,2.4,-0.2,-0.6,0.4,0.5,0.8,0.1,0.1,0.1,0.1,0.0,-0.5,0.3,-1.2,0.1,0.1,0.0,0.0,0.7,0.5,-0.3,2.1,-0.1,0.2,0.2,0.2,0.0,0.6,0.0,0.0,-1.0,0.1,0.5,
198304,0.5,0.5,0.4,0.5,0.7,0.9,0.0,-0.5,0.1,0.3,0.0,0.2,0.2,-2.3,-0.6,-1.3,-0.2,-0.2,0.2,0.1,0.5,0.0,0.0,0.4,0.5,0.5,0.6,0.6,0.2,-0.4,0.0,0.1,-3.1,,0.2,0.5,-0.7,0.3,0.2,0.1,1.3,1.2,1.5,0.9,1.6,1.2,1.7,0.4,0.4,2.7,0.4,0.2,0.2,0.5,0.3,-0.9,0.0,-2.0,0.0,4.3,4.8,0.0,2.3,1.1,1.0,-0.7,0.1,2.3,0.5,0.2,0.8,-0.1,0.0,24.4,-1.6,3.4,0.9,
198305,1.0,0.7,1.1,0.7,0.8,1.2,1.0,5.3,0.0,0.3,-0.6,-1.2,0.0,-2.9,5.5,8.5,10.6,11.1,0.4,0.1,-0.3,0.1,0.1,0.2,0.6,0.5,0.7,0.8,0.1,0.0,0.0,0.1,-1.0,,-0.4,-1.4,0.4,-0.1,0.1,-0.1,0.3,6.6,11.6,0.6,14.6,4.9,8.0,0.0,0.3,0.1,-0.1,0.1,0.0,0.6,-0.1,-0.4,0.0,-0.9,-0.1,0.2,0.2,0.0,0.1,-0.4,-0.2,-1.8,-0.1,0.1,3.4,0.5,0.0,0.1,12.0,0.0,-0.6,0.2,-0.3,
198306,-0.6,0.1,-0.7,0.0,0.1,0.1,-1.7,-9.5,0.2,0.3,-1.8,-2.9,0.0,-0.6,-14.0,-21.9,-1.3,-1.4,0.4,0.0,0.5,0.1,2.2,0.2,0.4,0.3,0.4,0.4,0.0,-0.1,0.0,0.2,-0.7,,0.2,0.0,0.3,0.9,0.3,0.0,0.3,-0.1,-0.9,-0.4,-1.0,1.4,1.5,1.3,-0.1,-0.1,0.1,0.2,0.1,0.4,0.2,-0.4,-0.3,-0.6,0.0,0.0,0.1,0.0,0.0,-0.5,-0.2,-2.6,0.0,0.1,0.3,0.1,1.1,-0.4,0.0,0.0,-0.6,0.0,-0.6,
198307,-0.4,-0.2,-0.5,-0.2,-0.1,-0.3,-0.5,-3.7,0.4,0.6,0.3,0.8,0.1,0.8,-0.7,-1.5,-12.0,-12.5,0.2,0.0,0.1,0.1,0.4,0.1,0.2,0.2,0.2,0.3,0.3,-0.1,0.0,0.0,-0.8,,0.0,0.0,-0.2,-0.2,-0.1,-0.2,0.3,-2.3,-3.2,0.0,-4.1,-3.1,-4.7,-0.1,0.2,-0.2,0.1,0.1,0.3,0.1,0.0,-0.4,0.3,-1.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,1.0,0.0,0.3,0.1,0.2,0.1,0.0,0.0,0.0,-0.6,0.0,0.4,
198308,-0.3,-0.7,-0.3,-0.8,-0.8,-1.2,1.4,7.4,0.1,0.4,0.8,1.6,0.1,-0.3,9.6,16.4,5.2,5.4,0.0,-0.1,0.0,0.0,0.1,0.2,0.1,0.2,0.1,0.2,0.1,-0.1,0.0,0.0,-0.8,,-0.3,-0.5,-0.4,-0.5,0.2,-0.2,0.0,-8.2,-13.0,0.0,-16.1,-7.8,-12.4,0.0,-0.3,-1.3,0.0,0.1,0.3,0.4,0.0,-0.7,0.1,-1.0,-2.3,0.0,0.0,0.0,0.0,0.9,-0.2,2.1,0.3,0.7,-0.1,0.1,0.0,-0.2,0.0,0.0,-0.8,0.0,0.8,
198309,1.2,1.3,1.3,1.4,1.3,1.8,0.1,-0.6,0.2,0.3,-1.1,-1.6,0.1,2.8,3.2,4.9,-6.1,-6.3,0.2,0.1,0.2,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.1,-0.2,,0.9,1.9,0.5,1.2,0.1,0.2,0.0,11.8,19.9,0.9,25.5,11.1,18.5,0.0,0.4,2.0,0.2,0.3,0.5,0.4,0.1,0.8,-0.2,2.1,0.0,0.0,0.0,0.0,0.0,-0.2,-0.4,0.7,-0.2,-0.4,0.1,0.1,0.0,0.3,0.0,0.7,1.3,0.0,-0.3,
198310,0.8,0.5,0.9,0.5,0.5,0.5,1.5,6.0,0.5,0.4,-0.8,-1.2,-0.2,1.1,3.5,5.1,18.2,19.0,0.9,0.2,-0.3,0.1,3.0,0.3,0.2,0.4,0.3,0.6,-0.1,0.0,0.0,0.1,-0.1,,0.5,0.9,0.5,0.5,0.1,0.1,0.3,2.3,4.0,0.6,4.8,2.0,2.8,0.3,0.3,-2.4,0.1,0.2,0.8,0.2,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.4,0.2,0.3,0.1,0.1,0.0,0.2,0.0,0.0,0.4,0.0,0.4,
198311,-0.5,0.3,-0.6,0.2,0.4,0.3,-1.9,-10.7,0.2,0.7,-0.9,-1.2,-0.4,0.1,-7.3,-12.1,-20.8,-21.6,0.1,0.1,0.2,0.0,1.2,0.4,0.3,0.1,0.2,0.2,0.2,-0.2,0.0,0.0,-1.7,,0.0,0.0,-0.1,-0.2,0.0,0.1,0.0,1.0,2.0,0.7,2.2,-0.1,-0.2,0.2,-0.1,0.6,0.1,0.6,2.1,0.4,0.0,-0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.2,-0.6,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,-0.4,0.0,-0.1,
198312,-0.3,-0.1,-0.3,0.0,0.0,0.0,-0.5,-3.9,0.4,0.2,-0.6,-0.8,-0.1,1.0,-2.8,-5.9,-5.7,-5.9,0.1,0.1,0.2,0.0,0.2,0.3,-0.1,0.2,-0.1,0.1,0.3,-0.5,0.0,0.0,-3.0,,-0.1,-0.6,0.3,-0.1,0.3,-0.2,0.0,-1.1,-2.1,0.6,-2.7,-0.4,-0.6,0.2,0.1,0.0,0.1,0.4,1.5,0.1,0.0,-0.1,0.6,-0.7,0.1,0.1,0.0,1.2,0.0,0.4,-0.2,0.8,2.0,-0.3,0.2,0.1,0.3,0.1,0.0,0.0,-0.8,0.1,0.4,
198401,0.3,-0.4,0.3,-0.4,-0.4,-0.6,1.8,10.3,0.0,0.1,1.7,2.6,0.0,-2.3,12.9,21.6,6.5,6.9,0.3,0.1,0.1,0.0,0.0,0.3,0.0,0.2,-0.1,0.1,0.3,-0.1,0.0,0.0,-1.6,,-0.2,-0.1,-0.7,-0.3,0.1,0.1,0.1,-4.1,-7.0,0.1,-8.5,-2.6,-3.9,-0.2,0.0,-0.4,0.0,0.3,1.0,0.5,0.0,-0.1,0.2,-0.3,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,-0.4,-1.7,0.4,0.0,0.1,0.0,-0.1,0.0,0.0,-0.5,0.0,-0.2,
198402,0.6,-0.1,0.6,-0.2,-0.1,-0.4,2.4,10.8,0.5,0.8,0.0,-0.3,0.4,3.7,15.4,24.3,6.1,6.4,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.0,0.0,1.5,,-0.1,-0.2,-0.5,-0.6,0.3,0.1,0.2,-3.9,-6.8,0.3,-8.6,-2.6,-4.1,-0.2,-0.2,-0.4,0.0,0.3,0.8,0.3,0.0,0.4,1.4,-0.5,0.0,0.0,0.0,0.0,0.0,0.2,-0.3,1.2,0.2,-0.2,0.1,0.1,0.0,0.4,0.0,0.0,-0.1,0.1,0.4,
198403,0.2,0.2,0.3,0.3,0.1,0.1,0.3,0.7,0.2,0.4,0.3,0.5,0.1,-0.3,-0.1,-0.4,3.3,3.5,0.0,0.1,0.3,0.0,0.0,0.2,0.2,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,,0.1,0.2,0.0,-0.3,0.5,0.0,0.0,0.6,0.8,0.3,0.9,0.4,0.4,0.4,0.7,0.3,0.1,-0.3,0.5,0.1,-0.8,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.3,0.7,-0.3,3.6,-0.2,0.0,0.1,0.3,0.0,0.4,0.0,0.0,0.1,0.0,0.7,
198404,0.3,0.5,0.3,0.5,0.5,0.8,-0.5,-2.9,-0.1,0.2,1.2,1.7,0.0,-2.0,-5.8,-8.7,1.5,1.6,0.2,0.2,0.2,-0.1,0.0,0.4,0.3,0.4,0.3,0.4,0.2,0.4,0.0,0.0,-0.2,,0.2,-0.8,0.3,0.7,0.5,0.2,2.8,1.5,1.8,0.9,2.1,1.4,2.2,0.2,0.1,3.3,0.3,1.0,1.2,0.2,1.2,0.1,0.2,-0.1,0.0,4.0,4.1,0.0,4.4,0.2,-0.2,-5.1,0.2,2.7,0.3,0.1,0.3,0.1,0.0,9.6,-0.1,3.0,0.2,
198405,0.7,1.1,0.7,1.2,1.2,1.7,-0.4,-4.1,0.7,0.0,-1.4,-2.3,0.1,-2.2,-7.4,-11.4,5.8,6.0,-0.1,0.2,0.2,0.1,6.9,0.6,0.3,0.4,0.3,0.4,0.1,0.5,0.0,0.0,-0.2,,-0.1,-0.9,0.5,0.3,0.4,0.0,0.2,6.3,11.7,0.3,14.7,3.8,6.1,-0.4,0.3,0.0,0.0,0.0,0.1,0.3,0.0,1.2,3.6,-0.3,-0.1,0.2,0.2,0.0,0.0,1.2,-0.2,4.0,0.0,0.7,0.0,0.1,0.0,-0.1,0.0,0.0,-0.4,0.2,1.8,
198406,-0.7,-0.2,-0.8,-0.2,-0.2,-0.2,-1.6,-8.0,-0.1,0.1,0.6,1.0,-0.1,-1.7,-12.3,-19.8,-3.8,-4.0,0.3,-0.2,0.3,0.3,0.0,0.3,0.3,0.1,0.3,0.2,0.2,0.0,0.0,0.0,-0.4,,0.0,-0.1,-0.2,0.1,0.3,0.0,0.2,-0.1,-0.4,0.1,-0.6,0.4,0.3,0.7,0.2,0.0,0.0,0.1,0.1,0.1,0.0,-0.3,-0.1,-0.6,0.0,0.0,0.0,0.0,0.0,-1.2,-0.3,-5.0,-0.2,-0.2,0.1,0.4,0.0,-0.1,0.0,0.0,-0.4,0.0,-1.1,
198407,0.2,-0.1,0.2,-0.2,-0.1,-0.3,0.9,4.2,0.2,0.0,0.5,0.6,0.2,-0.2,1.9,3.3,10.5,11.0,0.7,0.0,0.6,0.0,0.0,0.2,0.2,0.4,0.3,0.5,0.2,0.0,0.0,0.0,-0.2,,0.0,0.0,-0.4,0.2,0.1,-0.2,0.1,-2.5,-3.5,-0.3,-4.1,-3.5,-5.5,0.1,-0.2,-0.3,0.2,0.0,0.0,0.3,0.0,0.4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.3,-0.2,1.1,0.0,0.1,0.1,0.5,0.0,-0.4,0.0,0.0,0.0,0.0,0.4,
198408,-0.8,-0.6,-0.9,-0.7,-0.6,-1.1,-0.5,-3.6,0.2,0.1,2.4,3.8,0.0,0.5,-2.4,-4.1,-12.8,-13.3,0.5,0.1,0.4,0.1,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,,0.0,-0.1,0.2,-0.1,0.2,-0.2,0.1,-7.9,-12.6,-0.1,-15.8,-7.5,-11.8,-0.1,0.2,-1.5,0.0,0.0,0.0,0.0,0.0,-0.2,0.5,0.1,-2.1,0.0,0.0,0.0,0.0,0.3,-0.1,-0.5,0.3,0.6,0.0,0.2,0.1,-0.4,0.0,0.0,0.0,0.0,0.3,
198409,1.5,1.2,1.6,1.3,1.1,1.5,1.5,7.0,0.4,0.1,-0.4,-1.0,0.1,4.3,10.5,18.3,5.5,5.7,0.2,0.0,0.2,0.1,0.0,0.1,0.2,0.1,0.1,0.2,0.1,0.4,0.0,0.0,2.9,,0.5,0.7,0.5,0.6,0.2,0.3,0.0,11.1,18.0,0.7,23.1,11.1,18.3,0.5,0.2,1.7,0.1,0.1,0.1,0.2,0.0,0.8,-0.5,2.3,0.0,0.0,0.0,0.0,0.0,-0.3,-0.2,0.0,0.1,-0.6,0.2,0.2,0.0,0.3,0.0,1.5,1.8,0.0,-0.3,
198410,0.7,0.6,0.8,0.7,0.7,1.0,0.4,1.8,0.0,0.5,0.3,0.7,-0.2,-0.9,-5.1,-8.5,17.2,18.1,0.0,0.2,-0.4,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.8,,0.7,1.5,1.0,0.1,0.2,0.0,0.0,4.0,6.9,0.6,8.4,2.9,4.3,0.2,0.3,-1.4,0.1,3.7,-0.1,0.1,6.3,0.2,0.3,0.2,0.0,0.1,0.2,0.0,0.0,0.3,0.1,1.5,-0.2,0.2,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.1,0.3,
198411,-0.5,0.2,-0.6,0.0,0.1,0.2,-1.7,-8.7,-0.1,0.3,-1.3,-2.1,-0.3,-0.7,-9.8,-16.5,-8.5,-8.8,0.1,0.4,-0.4,0.1,0.0,0.1,0.2,0.2,0.2,0.3,0.0,-0.3,0.0,0.0,-2.3,,0.0,0.0,-0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.5,0.3,0.2,0.2,0.3,0.2,0.7,0.1,0.1,0.0,0.4,0.0,0.0,0.3,-0.3,0.0,0.0,0.0,0.0,0.0,-0.3,-0.1,-1.4,0.1,0.0,0.6,0.1,2.2,0.4,0.0,0.0,-0.5,0.1,-0.2,
198412,0.2,0.0,0.2,0.0,0.0,0.0,0.6,3.0,0.3,0.1,0.0,-0.3,0.0,-0.1,-0.6,-1.1,11.3,11.8,0.2,0.1,0.3,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,-0.4,0.0,0.1,-3.3,,-0.2,-0.2,-0.4,-0.6,0.3,0.0,0.2,-0.8,-1.3,-0.3,-1.6,-0.1,-0.2,0.1,0.1,-0.3,0.3,0.1,0.1,0.4,0.0,-0.1,0.2,-0.5,0.0,0.0,0.0,0.0,0.0,0.6,-0.3,1.6,2.2,-0.2,0.1,0.1,-0.1,0.2,0.0,0.0,-0.8,0.0,0.6,
198501,0.5,-0.3,0.5,-0.3,-0.1,-0.2,2.0,10.7,-0.1,0.1,2.4,3.6,0.3,-2.3,14.0,26.2,5.9,6.0,0.1,0.0,-0.2,0.0,0.0,0.3,0.1,0.2,0.1,0.2,0.3,-0.3,0.0,0.0,-2.2,,0.2,-0.1,0.1,0.4,0.4,-0.1,0.2,-3.4,-5.8,0.3,-7.1,-2.5,-3.8,-0.1,-0.2,0.0,0.0,0.1,0.0,0.4,0.0,-0.2,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.9,-0.1,2.1,-1.9,1.6,0.0,0.3,0.1,-0.2,0.0,0.0,-0.9,0.0,1.0,
198502,-0.4,-0.3,-0.5,-0.3,-0.2,-0.3,-0.4,-3.2,0.3,0.0,-2.1,-3.4,-0.1,3.3,-2.6,-4.3,-1.5,-1.6,0.1,0.0,0.1,0.2,0.0,0.0,0.2,0.2,0.2,0.1,0.3,-0.2,0.0,0.0,-1.7,0.0,-0.4,-0.5,-1.0,-0.7,0.0,0.0,0.1,-1.7,-2.1,-0.1,-2.5,-2.8,-4.2,-0.2,-0.1,-0.9,0.1,0.0,0.0,0.1,0.0,-0.4,-0.1,-0.8,0.0,0.1,0.0,0.7,0.0,-0.8,-0.5,-1.1,0.1,-1.1,0.1,0.1,0.2,0.3,0.0,0.0,-0.7,0.3,-0.7,
198503,0.4,0.3,0.5,0.4,0.3,0.4,0.4,2.6,-0.1,0.7,0.9,1.3,-0.1,-3.1,1.5,2.6,4.4,4.5,0.2,-0.1,-0.1,0.1,0.0,0.2,0.2,0.1,0.2,0.2,0.0,0.0,0.0,0.0,-0.5,0.0,0.1,0.0,0.4,-0.2,0.1,0.1,0.0,1.7,3.1,0.0,3.7,0.0,-0.1,0.1,0.6,0.7,0.1,1.6,0.0,0.1,2.9,0.4,0.1,0.7,0.0,0.0,0.0,0.0,0.1,0.3,-0.4,1.7,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.1,0.3,
198504,0.6,0.5,0.6,0.5,0.6,0.7,0.4,1.6,0.2,0.1,0.6,1.0,-0.1,0.8,4.8,7.9,-5.6,-5.9,-0.1,0.0,0.1,0.6,0.0,0.3,0.3,0.4,0.3,0.4,0.2,0.2,0.0,0.0,-0.4,1.7,0.2,0.2,0.2,-0.2,0.2,0.1,1.3,1.7,2.0,0.6,2.3,3.3,5.1,0.0,0.2,0.6,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.0,4.2,4.0,0.0,5.7,0.7,-0.4,0.6,-0.1,1.2,0.0,0.1,0.0,-0.1,0.0,1.8,0.0,3.2,0.6,
198505,0.2,0.4,0.1,0.3,0.4,0.6,-0.4,-2.4,0.0,0.0,-1.5,-3.0,-0.2,-1.0,-5.4,-8.5,7.7,7.8,0.0,-0.2,-0.2,0.5,0.0,0.1,0.5,0.3,0.5,0.6,0.2,0.0,0.0,0.0,-0.1,0.2,0.0,-0.2,-0.1,0.2,0.2,0.2,0.3,1.6,2.1,-0.4,2.6,2.1,3.2,0.1,0.2,-0.1,0.1,0.1,0.0,0.0,0.0,1.4,1.9,1.5,0.0,0.0,0.0,0.0,0.0,-0.5,-0.3,-2.6,0.0,0.3,0.1,0.2,0.0,-0.1,0.0,0.1,-0.2,0.1,0.0,
198506,0.0,0.1,0.0,0.1,0.1,0.1,-0.1,-1.4,0.2,0.0,0.0,-0.2,-0.2,0.9,-1.4,-2.5,-1.8,-1.9,0.3,0.1,0.3,0.4,0.0,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.3,0.0,-0.2,0.0,0.1,0.1,-0.2,0.2,0.0,-0.1,0.1,-0.2,0.2,0.1,0.3,0.2,0.0,0.1,0.0,0.1,-0.1,0.0,-0.2,-0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.0,0.1,
198507,0.2,0.0,0.2,-0.1,-0.1,-0.1,0.8,3.6,0.3,0.0,1.1,1.6,0.0,1.2,10.6,17.3,-10.5,-11.0,0.2,0.1,0.1,0.3,0.0,0.2,0.1,0.2,0.2,0.2,0.2,-0.1,0.0,0.0,-0.2,0.1,0.0,-0.1,0.4,-0.2,0.1,-0.2,0.1,-0.8,-1.1,0.2,-1.3,-1.0,-1.5,0.1,0.1,-0.2,0.1,0.1,0.3,0.3,0.0,-0.1,0.2,-0.4,0.0,0.0,0.0,0.0,0.0,-0.1,-0.3,-0.3,0.1,0.0,0.1,0.1,0.2,-0.1,0.0,0.0,-0.3,0.0,0.0,
198508,-0.2,-0.3,-0.2,-0.2,-0.2,-0.3,0.0,-0.1,-0.1,0.0,2.1,3.6,0.0,0.5,-5.7,-8.8,8.3,8.7,0.3,-0.1,0.1,-0.1,0.0,0.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,-0.2,0.0,-0.1,-0.3,-0.2,0.1,0.1,0.0,0.3,-3.9,-5.6,-0.2,-6.6,-4.8,-7.3,0.1,-0.3,-1.2,0.1,0.1,0.2,0.0,0.0,-0.2,0.2,-0.4,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,1.9,1.9,0.6,0.0,0.1,0.0,0.1,0.0,0.0,-0.4,0.0,0.9,
198509,0.1,0.4,0.1,0.4,0.5,0.6,-0.6,-4.3,0.3,0.1,-2.1,-3.5,0.0,3.7,-5.3,-8.7,0.7,0.7,0.0,0.1,-0.2,-0.2,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.0,0.0,0.0,-0.1,0.0,0.2,0.0,0.2,1.2,-0.1,0.1,0.2,4.6,6.3,0.6,7.4,5.9,8.7,0.9,0.4,1.9,0.0,0.0,0.2,0.0,0.0,0.0,-0.3,0.2,0.0,0.1,0.0,0.0,0.5,-0.6,0.1,-1.2,-0.4,-0.5,0.0,0.1,0.0,0.1,0.0,0.0,-0.2,0.1,-0.7,
198510,0.9,0.2,0.9,0.3,0.3,0.4,2.0,10.7,-0.1,0.3,0.7,1.3,-0.2,0.7,10.6,17.7,15.0,15.6,0.0,0.4,0.1,0.0,0.0,0.2,0.1,0.2,0.2,0.2,0.1,0.0,0.0,0.0,-0.5,0.2,0.1,-0.1,0.8,0.2,0.0,-0.1,0.1,1.2,1.5,0.2,1.8,2.0,2.9,0.2,0.1,0.7,0.1,0.1,0.1,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.5,-0.2,1.6,-0.1,0.2,0.0,0.1,0.0,-0.1,0.0,0.0,-0.1,0.0,0.6,
