類・品目,持家の帰属家賃を除く総合
196212,4.9
196301,6.0
196302,7.1
196303,7.8
196304,7.4
196305,7.6
196306,9.0
196307,8.3
196308,6.9
196309,9.0
196310,7.8
196311,7.5
196312,5.9
196401,3.7
196402,3.2
196403,3.1
196404,3.9
196405,3.5
196406,2.5
196407,2.7
196408,4.1
196409,3.4
196410,5.6
196411,5.2
196412,4.7
196501,6.9
196502,6.8
196503,7.0
196504,7.9
196505,6.8
196506,6.9
196507,6.9
196508,6.3
196509,6.4
196510,5.9
196511,5.7
196512,6.5
196601,5.2
196602,6.2
196603,6.0
196604,5.0
196605,4.9
196606,5.3
196607,6.1
196608,4.8
196609,4.5
196610,3.9
196611,4.1
196612,4.4
196701,4.6
196702,4.2
196703,4.0
196704,3.1
196705,3.1
196706,2.4
196707,2.0
196708,3.6
196709,4.1
196710,5.2
196711,5.9
196712,5.6
196801,5.3
196802,5.3
196803,5.3
196804,5.2
196805,5.9
196806,5.6
196807,5.7
196808,5.7
196809,6.5
196810,4.7
196811,5.1
196812,3.9
196901,3.4
196902,3.0
196903,3.9
196904,4.6
196905,4.7
196906,5.8
196907,7.1
196908,7.2
196909,5.6
196910,6.0
196911,5.3
196912,6.4
197001,7.8
197002,8.5
197003,8.3
197004,8.3
197005,7.6
197006,6.8
197007,6.3
197008,5.8
197009,7.4
197010,8.6
197011,8.6
197012,8.3
197101,6.3
197102,5.8
197103,5.1
197104,5.6
197105,6.1
197106,6.7
197107,6.7
197108,6.9
197109,8.0
197110,6.4
197111,5.2
197112,4.6
197201,3.8
197202,4.1
197203,5.0
197204,4.5
197205,4.8
197206,4.4
197207,4.6
197208,5.6
197209,3.3
197210,3.9
197211,4.5
197212,5.3
197301,6.2
197302,6.7
197303,8.4
197304,9.4
197305,10.9
197306,11.1
197307,11.9
197308,12.0
197309,14.6
197310,14.2
197311,15.9
197312,19.1
197401,23.1
197402,26.3
197403,24.0
197404,24.9
197405,23.1
197406,23.6
197407,25.2
197408,25.4
197409,23.8
197410,26.2
197411,25.8
197412,21.9
197501,17.4
197502,13.9
197503,14.2
197504,13.6
197505,14.1
197506,13.4
197507,11.4
197508,10.0
197509,10.3
197510,9.6
197511,8.1
197512,7.6
197601,8.7
197602,9.3
197603,8.6
197604,9.3
197605,9.2
197606,9.5
197607,9.9
197608,9.2
197609,9.7
197610,8.6
197611,9.1
197612,10.4
197701,9.2
197702,9.2
197703,9.4
197704,8.6
197705,9.3
197706,8.5
197707,7.7
197708,8.5
197709,7.6
197710,7.5
197711,6.2
197712,4.8
197801,4.3
197802,4.2
197803,4.5
197804,3.9
197805,3.5
197806,3.5
197807,4.1
197808,4.2
197809,3.7
197810,3.3
197811,3.4
197812,3.5
197901,3.2
197902,2.4
197903,2.3
197904,2.6
197905,3.1
197906,3.8
197907,4.2
197908,3.1
197909,3.1
197910,4.2
197911,4.9
197912,5.8
198001,6.6
198002,8.0
198003,8.0
198004,8.4
198005,8.2
198006,8.4
198007,7.7
198008,8.7
198009,8.9
198010,7.8
198011,8.4
198012,7.1
198101,7.3
198102,6.4
198103,6.3
198104,5.1
198105,5.1
198106,4.7
198107,4.4
198108,4.1
198109,3.9
198110,4.1
198111,3.6
198112,4.3
198201,3.3
198202,3.1
198203,2.8
198204,2.8
198205,2.3
198206,2.2
198207,1.7
198208,3.1
198209,3.2
198210,3.1
198211,2.3
198212,1.8
198301,2.0
198302,1.9
198303,2.3
198304,2.0
198305,2.7
198306,2.0
198307,2.2
198308,1.2
198309,0.7
198310,1.4
198311,1.8
198312,1.8
198401,1.8
198402,2.9
198403,2.5
198404,2.4
198405,2.0
198406,1.9
198407,2.6
198408,1.9
198409,2.3
198410,2.2
198411,2.2
198412,2.6
198501,2.9
198502,1.4
198503,1.6
198504,1.9
198505,1.6
198506,2.5
198507,2.4
198508,2.3
198509,1.7
198510,2.3
198511,1.9
198512,1.8
198601,1.4
198602,1.7
198603,1.1
198604,0.8
198605,1.0
198606,0.4
198607,-0.1
198608,-0.2
198609,0.2
198610,-0.6
198611,-0.2
198612,-0.5
198701,-1.5
198702,-1.4
198703,-0.8
198704,-0.2
198705,-0.3
198706,0.0
198707,-0.4
198708,0.1
198709,0.6
198710,0.5
198711,0.4
198712,0.5
198801,0.7
198802,0.6
198803,0.5
198804,0.0
198805,-0.1
198806,0.0
198807,0.5
198808,0.6
198809,0.5
198810,1.0
198811,1.1
198812,0.9
198901,0.9
198902,0.8
198903,0.9
198904,2.4
198905,3.0
198906,3.0
198907,3.0
198908,2.5
198909,2.6
198910,2.9
198911,2.3
198912,2.6
199001,3.2
199002,3.8
199003,3.7
199004,2.6
199005,2.6
199006,2.1
199007,2.2
199008,2.9
199009,3.0
199010,3.5
199011,4.2
199012,3.9
199101,4.2
199102,3.6
199103,3.6
199104,3.4
199105,3.4
199106,3.5
199107,3.5
199108,3.3
199109,2.7
199110,2.6
199111,3.0
199112,2.8
199201,1.7
199202,2.0
199203,1.9
199204,2.4
199205,2.0
199206,2.2
199207,1.5
199208,1.6
199209,2.0
199210,1.0
199211,0.4
199212,0.9
199301,1.1
199302,1.3
199303,1.2
199304,0.6
199305,0.7
199306,0.9
199307,1.9
199308,1.8
199309,1.3
199310,1.2
199311,0.9
199312,0.9
199401,1.1
199402,1.0
199403,1.1
199404,0.7
199405,0.7
199406,0.3
199407,-0.4
199408,-0.2
199409,0.0
199410,0.6
199411,0.8
199412,0.5
199501,0.4
199502,0.0
199503,-0.6
199504,-0.3
199505,-0.2
199506,0.1
199507,-0.2
199508,-0.5
199509,-0.1
199510,-0.7
199511,-0.8
199512,-0.4
199601,-0.8
199602,-0.5
199603,-0.3
199604,0.0
199605,0.0
199606,-0.3
199607,0.3
199608,0.1
199609,-0.2
199610,0.3
199611,0.3
199612,0.5
199701,0.4
199702,0.3
199703,0.2
199704,1.9
199705,1.9
199706,2.3
199707,1.9
199708,2.1
199709,2.5
199710,2.6
199711,2.2
199712,1.8
199801,2.0
199802,2.0
199803,2.3
199804,0.3
199805,0.5
199806,0.0
199807,-0.3
199808,-0.5
199809,-0.3
199810,0.2
199811,0.9
199812,0.6
199901,0.2
199902,0.0
199903,-0.4
199904,-0.2
199905,-0.5
199906,-0.4
199907,-0.1
199908,0.3
199909,-0.2
199910,-0.8
199911,-1.4
199912,-1.3
200001,-1.1
200002,-0.9
200003,-0.6
200004,-0.9
200005,-0.9
200006,-0.9
200007,-0.7
200008,-0.9
200009,-1.1
200010,-1.2
200011,-0.7
200012,-0.3
200101,-0.4
200102,-0.4
200103,-0.9
200104,-1.0
200105,-0.9
200106,-1.0
200107,-1.1
200108,-0.9
200109,-1.0
200110,-0.9
200111,-1.3
200112,-1.6
200201,-1.7
200202,-1.9
200203,-1.5
200204,-1.3
200205,-1.1
200206,-0.8
200207,-0.8
200208,-1.0
200209,-0.9
200210,-1.0
200211,-0.3
200212,-0.3
200301,-0.5
200302,-0.3
200303,-0.2
200304,0.0
200305,-0.3
200306,-0.5
200307,-0.3
200308,-0.4
200309,-0.2
200310,-0.1
200311,-0.6
200312,-0.4
200401,-0.3
200402,0.0
200403,-0.1
200404,-0.6
200405,-0.5
200406,0.0
200407,-0.2
200408,-0.2
200409,0.1
200410,0.6
200411,0.9
200412,0.3
200501,0.0
200502,-0.3
200503,-0.1
200504,0.1
200505,0.2
200506,-0.6
200507,-0.3
200508,-0.4
200509,-0.5
200510,-0.9
200511,-1.0
200512,-0.4
200601,-0.1
200602,-0.1
200603,-0.3
200604,-0.1
200605,0.1
200606,0.6
200607,0.5
200608,1.0
200609,0.8
200610,0.6
200611,0.4
200612,0.4
200701,0.0
200702,-0.1
200703,0.0
200704,0.0
200705,0.0
200706,-0.2
200707,-0.1
200708,-0.2
200709,-0.2
200710,0.2
200711,0.6
200712,0.9
200801,0.9
200802,1.1
200803,1.3
200804,1.0
200805,1.5
200806,2.3
200807,2.8
200808,2.5
200809,2.4
200810,2.1
200811,1.2
200812,0.4
200901,0.0
200902,0.0
200903,-0.2
200904,-0.1
200905,-1.2
200906,-1.9
200907,-2.6
200908,-2.6
200909,-2.5
200910,-2.9
200911,-2.2
200912,-1.8
201001,-1.5
201002,-1.3
201003,-1.3
201004,-1.4
201005,-1.0
201006,-0.8
201007,-1.0
201008,-0.9
201009,-0.6
201010,0.3
201011,0.2
201012,0.1
201101,-0.6
201102,-0.6
201103,-0.6
201104,-0.5
201105,-0.4
201106,-0.4
201107,0.3
201108,0.2
201109,0.0
201110,-0.2
201111,-0.6
201112,-0.2
201201,0.2
201202,0.4
201203,0.7
201204,0.6
201205,0.3
201206,-0.1
201207,-0.5
201208,-0.4
201209,-0.3
201210,-0.4
201211,-0.1
201212,-0.1
201301,-0.3
201302,-0.7
201303,-1.0
201304,-0.7
201305,-0.3
201306,0.3
201307,0.9
201308,1.1
201309,1.4
201310,1.4
201311,1.9
201312,2.0
201401,1.7
201402,1.9
201403,2.0
201404,4.1
201405,4.4
201406,4.4
201407,4.1
201408,4.0
201409,3.9
201410,3.4
201411,2.9
201412,2.9
201501,2.8
201502,2.6
201503,2.8
201504,0.8
201505,0.7
201506,0.5
201507,0.3
201508,0.3
201509,0.1
201510,0.3
201511,0.4
201512,0.2
201601,-0.1
201602,0.3
201603,0.0
201604,-0.3
201605,-0.5
201606,-0.4
201607,-0.4
201608,-0.5
201609,-0.5
201610,0.2
201611,0.6
201612,0.4
201701,0.6
201702,0.4
201703,0.3
201704,0.5
201705,0.5
201706,0.5
201707,0.6
201708,0.8
201709,0.9
201710,0.3
201711,0.7
201712,1.3
201801,1.7
201802,1.8
201803,1.3
201804,0.8
201805,0.8
201806,0.8
201807,1.1
201808,1.5
201809,1.4
201810,1.7
201811,1.0
201812,0.3
201901,0.2
201902,0.2
201903,0.6
201904,1.0
201905,0.9
201906,0.8
201907,0.6
201908,0.3
201909,0.3
201910,0.3
201911,0.6
201912,0.9
202001,0.8
202002,0.5
202003,0.5
202004,0.1
202005,0.0
202006,0.1
202007,0.3
202008,0.2
202009,0.0
202010,-0.5
202011,-1.1
202012,-1.4
202101,-0.8
202102,-0.6
202103,-0.5
202104,-1.3
202105,-0.9
202106,-0.6
202107,-0.4
202108,-0.5
202109,0.2
202110,0.1
202111,0.7
202112,0.9
202201,0.6
202202,1.1
202203,1.5
202204,3.0
202205,2.9
202206,2.8
202207,3.1
202208,3.5
202209,3.5
202210,4.4
202211,4.5
202212,4.8
202301,5.1
202302,3.9
202303,3.8
202304,4.1
202305,3.8
202306,3.9
202307,3.9
202308,3.7
202309,3.6
202310,3.9
202311,3.3
202312,3.0
202401,2.5
202402,3.3
202403,3.1
202404,2.9
202405,3.3
202406,3.3
202407,3.2
202408,3.5
202409,2.9
202410,2.6
202411,3.4
202412,4.2
202501,4.7
202502,4.3
202503,4.2
202504,4.1
202505,4.0
202506,3.8
202507,3.6
202508,3.1
202509,3.4
202510,3.4
202511,3.3
202512,2.4
202601,1.8
202602,1.4
202603,1.7
202604,1.5
202605,1.7
202606,1.9
202607,2.2
202608,2.2
