series_code,name_en,name_ja,serial_number,weight_per_10000,weight_raw,first_period,last_period,observations,missing_periods,source_file_id,base_year
0111,Transportation & communication,交通・通信,506,1444,511544532,1971,2025,55,1,000040482833,2025
0112,Public transportation,交通,507,177,62835244,1971,2025,55,1,000040482833,2025
0113,Private transportation,自動車等関係費,526,928,328857072,1971,2025,55,1,000040482833,2025
0117,Communication,通信,554,338,119852216,1971,2025,55,1,000040482833,2025
0118,Education,教育,561,311,110104238,1971,2025,55,1,000040482833,2025
0119,School fees,授業料等,562,225,79573626,1971,2025,55,1,000040482833,2025
0120,School textbooks & reference books for study,教科書・学習参考教材,572,6,2099663,1971,2025,55,1,000040482833,2025
0121,Tutorial fees,補習教育,575,80,28430949,1977,2025,49,7,000040482833,2025
0122,Culture & recreation,教養娯楽,580,906,320898162,1971,2025,55,1,000040482833,2025
0123,Recreational durable goods,教養娯楽用耐久財,581,72,25613499,1971,2025,55,1,000040482833,2025
0128,Recreational goods,教養娯楽用品,592,198,70186803,1971,2025,55,1,000040482833,2025
0134,Books & other reading materials,書籍・他の印刷物,627,85,30205061,1971,2025,55,1,000040482833,2025
0138,Recreational services,教養娯楽サービス,637,550,194892799,1971,2025,55,1,000040482833,2025
0145,Miscellaneous,諸雑費,675,570,201944448,1971,2025,55,1,000040482833,2025
0146,Personal care services,理美容サービス,676,111,39164099,1971,2025,55,1,000040482833,2025
0147,Toilet articles,理美容用品,683,157,55642785,1971,2025,55,1,000040482833,2025
0151,Personal effects,身の回り用品,712,58,20480111,1971,2025,55,1,000040482833,2025
0155,Tobacco,たばこ,724,38,13470674,1971,2025,55,1,000040482833,2025
0156,Other miscellaneous,他の諸雑費,727,207,73186779,1971,2025,55,1,000040482833,2025
0167,Energy,エネルギー,746,749,265346205,1971,2025,55,1,000040482833,2025
0162,Expenses for education,教育関係費,749,370,131247113,1976,2025,50,6,000040482833,2025
0173,Expenses for culture & recreation,教養娯楽関係費,750,988,350010046,1981,2025,45,11,000040482833,2025
0169,Expenses for information & communication,情報通信関係費,751,428,151648778,2006,2025,20,36,000040482833,2025
