code,name,parent,depth,raw_weight,rounded_weight,official_type
1782,Ice cream,0033,3,14279782,40,Item
1772,Peanuts,0033,3,1004820,3,Item
1781,Chewing gum,0033,3,1004820,3,Item
1785,Gummies,0033,3,2009636,6,Item
0034,Cooked food,0002,2,138511440,391,Group
0035,"Cooked food with rice, bread or noodles",0034,3,59851735,169,Group
1795,Sushi (box lunch)-A,0035,4,11020652,31,Item
1798,Sushi (box lunch)-B,0035,4,5510330,16,Item
1791,Box lunch-A,0035,4,4803578,14,Item
1797,Box lunch-B,0035,4,4803578,14,Item
1862,Box lunch-C,0035,4,9607146,27,Item
1793,Rice balls,0035,4,6481538,18,Item
1792,Bread like sandwiches,0035,4,7136696,20,Item
1794,Frozen cooked rice,0035,4,2622057,7,Item
1796,Cooked pasta,0035,4,2622057,7,Item
1799,Processed pizza,0035,4,1748028,5,Item
1863,"“Takoyaki”, octopus balls",0035,4,874018,2,Item
1790,Aseptic packaged cooked rice,0035,4,2622057,7,Item
0036,Other cooked food,0034,3,78659705,222,Group
1801,"“Kabayaki”, broiled eels",0036,4,3745558,11,Item
1811,Salad,0036,4,9283468,26,Item
1821,Croquettes,0036,4,5852876,17,Item
1831,Pork cutlets,0036,4,5918229,17,Item
1842,Deep fried chicken,0036,4,14317614,40,Item
1881,“Gyoza”,0036,4,4416161,12,Item
1843,"“Yakitori”, grilled chicken",0036,4,4013587,11,Item
1844,Hamburg steaks,0036,4,2399773,7,Item
1851,Frozen croquettes,0036,4,3335760,9,Item
1852,Frozen hamburg steak,0036,4,3335760,9,Item
1853,Frozen“Gyoza”,0036,4,10007285,28,Item
1871,Cooked curry,0036,4,2865158,8,Item
1891,"“Mazegohan no moto”, prepared materials to steamed rice with assorted ingredients   ",0036,4,1146057,3,Item
1812,Boiled beans,0036,4,1146057,3,Item
1802,Grilled fish,0036,4,1719094,5,Item
1813,“Kimpira”,0036,4,573030,2,Item
1814,Roast pork,0036,4,1146057,3,Item
1892,“Salad chicken”,0036,4,573030,2,Item
1893,"“Oden”, Japanese stew",0036,4,1146057,3,Item
1894,Meat balls,0036,4,1719094,5,Item
0037,Beverages,0002,2,60169161,170,Group
0038,Tea,0037,3,12526164,35,Group
1902,Green tea,0038,4,3722121,11,Item
1911,Black tea,0038,4,1081658,3,Item
1914,Tea beverages,0038,4,7722385,22,Item
0039,Coffee & cocoa,0037,3,14066407,40,Group
1921,Instant coffee,0039,4,4058767,11,Item
1922,Coffee beans,0039,4,4058767,11,Item
1923,Coffee beverages-A,0039,4,4759102,13,Item
1924,Coffee beverages-B,0039,4,1189771,3,Item
0040,Other beverages,0037,3,33576590,95,Group
1930,Fruit juice,0040,4,2012432,6,Item
1931,Beverages containing juice,0040,4,2012432,6,Item
1941,Vegetable juice,0040,4,4024875,11,Item
1951,Carbonated beverages-A,0040,4,5082197,14,Item
1953,Carbonated beverages-B,0040,4,2541095,7,Item
1952,Carbonated beverages-C,0040,4,1270555,4,Item
1972,Fermented lactic drinks,0040,4,5922311,17,Item
1982,Mineral water,0040,4,3775455,11,Item
1984,Home delivery water,0040,4,1258485,4,Item
1981,Sports drinks,0040,4,1717825,5,Item
1983,Soy milk,0040,4,1979464,6,Item
1985,Jelly drinks,0040,4,1979464,6,Item
0041,Alcoholic beverages,0002,2,39342683,111,Group
2003,“Sake” ,0041,3,4920909,14,Item
2011,"“Shochu”, distilled spirits",0041,3,5044472,14,Item
2021,Beer,0041,3,11987210,34,Item
2026,Low-malt beer,0041,3,6728685,19,Item
2033,Whisky,0041,3,2613534,7,Item
2041,Wine (domestic),0041,3,892828,3,Item
2042,Wine (imported),0041,3,2083283,6,Item
2012,"“Chu-hi”, liquor with soda & fruits",0041,3,5071762,14,Item
0042,Meals outside the home,0002,2,180021637,508,Group
0043,Eating out,0042,3,173952365,491,Group
2101,"“Udon”, Japanese noodles (eating out)",0043,4,5414308,15,Item
2103,"“Soba”, Japanese noodles (eating out)",0043,4,5414308,15,Item
2102,Chinese noodles (eating out),0043,4,13086479,37,Item
2112,Spaghetti (eating out),0043,4,4674126,13,Item
2123,Sushi (eating out)-A,0043,4,14157122,40,Item
2121,Sushi (eating out)-B,0043,4,9438080,27,Item
2132,Tempura bowls (eating out),0043,4,3772893,11,Item
2133,Curry & rice (eating out),0043,4,8300355,23,Item
2136,Beef bowls (eating out),0043,4,7545773,21,Item
2142,Pork cutlet set meals (eating out),0043,4,8300355,23,Item
2146,Ginger pork set meals (eating out),0043,4,2263741,6,Item
2164,Fried chickens (eating out),0043,4,7545773,21,Item
2134,“Gyoza” (eating out),0043,4,7497947,21,Item
2141,Hamburg steaks (eating out),0043,4,11711665,33,Item
2145,Broiled meat (eating out),0043,4,19480039,55,Item
2135,Hamburgers (eating out),0043,4,9214567,26,Item
2161,Sandwiches (eating out),0043,4,2115373,6,Item
2144,Delivered pizza,0043,4,4057924,11,Item
2163,Doughnuts (eating out),0043,4,1081346,3,Item
2162,Coffee (eating out)-A,0043,4,5568694,16,Item
2165,Coffee (eating out)-B,0043,4,4454957,13,Item
2171,Beer (eating out),0043,4,11313925,32,Item
2172,"“Yakitori”, grilled chicken (eating out)",0043,4,7542615,21,Item
0044,School lunch,0042,3,6069272,17,Group
2182,(elementary school),0044,4,4041700,11,Item
2183,(junior high school),0044,4,2027572,6,Item
0045,Housing,0001,1,773321148,2182,Group
0046,Rent,0045,2,659437087,1861,Group
0047,"House rent, private",0046,3,76922872,217,Group
3000,"House rent, private",0047,4,76922872,217,Item
0048,"House rent, public, Urban Renaissance Agency & public corporation",0046,3,3442595,10,Group
3016,"House rent, public",0048,4,2345686,7,Item
3017,"House rent, Urban Renaissance Agency & public corporation",0048,4,1096909,3,Item
0050,Imputed rent,0046,3,579071620,1634,Group
3030,Imputed rent,0050,4,579071620,1634,Item
0051,Repairs & maintenance,0045,2,113884061,321,Group
0052,Tools & materials for repairs & maintenance,0051,3,35853886,101,Group
3101,Custom bath,0052,4,4830587,14,Item
3103,Toilet seat with a hot douche,0052,4,4830587,14,Item
3104,Hot-water supply equipment,0052,4,12881565,36,Item
3105,Custom kitchen,0052,4,8050977,23,Item
3106,Carports,0052,4,1610273,5,Item
3121,Materials for repairs & maintenance,0052,4,3649897,10,Item
0053,Service charges for repairs & maintenance,0051,3,78030175,220,Group
3151,“Tatami” reupholstering,0053,4,392078,1,Item
3176,Plumbing,0053,4,4711169,13,Item
3175,Fence construction,0053,4,2510597,7,Item
3178,External wall coating,0053,4,20015253,56,Item
3162,Repairing roofs,0053,4,7510056,21,Item
3174,Gardening,0053,4,3710463,10,Item
3171,"“Fusuma”, sliding doors, reupholstering ",0053,4,2184157,6,Item
3172,Carpentering,0053,4,3276235,9,Item
3179,Parking lot construction,0053,4,7644542,22,Item
3185,Wallpaper reupholstering,0053,4,4368307,12,Item
3180,Fire & earthquake insurance premium,0053,4,21707318,61,Item
0054,"Fuel, light & water charges",0001,1,247346867,698,Group
0056,Electricity,0054,2,133318023,376,Group
3500,Electricity,0056,3,133318023,376,Item
0057,Gas,0054,2,49084785,139,Group
3600,"Gas, manufactured & piped",0057,3,31707459,89,Item
3612,Liquefied propane,0057,3,17377326,49,Item
0058,Other fuel & light,0054,2,13761542,39,Group
3701,Kerosene,0058,3,13761542,39,Item
0059,Water & sewerage charges,0054,2,51182517,144,Group
3810,Water charges,0059,3,30077349,85,Item
4610,Sewerage charges,0059,3,21105168,60,Item
0060,Furniture & household utensils,0001,1,131897186,372,Group
0061,Household durable goods,0060,2,44403921,125,Group
0062,Durable goods assisting housework,0061,3,21639795,61,Group
4003,Microwave ovens,0062,4,1440552,4,Item
4002,Electric rice-cookers,0062,4,3333337,9,Item
4011,Gas cooking tables,0062,4,469674,1,Item
4021,Refrigerators,0062,4,6569095,19,Item
4032,Vacuum cleaners,0062,4,3085133,9,Item
4042,Washing machines,0062,4,3371002,10,Item
4043,Washing & drying machines,0062,4,3371002,10,Item
0063,Heating & cooling appliances,0061,3,17126149,48,Group
4063,Room air conditioners,0063,4,14792559,42,Item
4072,Fan heaters,0063,4,1429690,4,Item
4075,Air cleaners,0063,4,903900,3,Item
0064,General furniture,0061,3,5637977,16,Group
4092,Dining sets,0064,4,1325007,4,Item
4093,Sofas,0064,4,3804188,11,Item
4083,Kitchen cabinets,0064,4,508782,1,Item
0066,Interior furnishings,0060,2,5998863,17,Group
4115,Lighting apparatus,0066,3,1632795,5,Item
4121,Carpets,0066,3,1991275,6,Item
4141,Curtains,0066,3,1607755,5,Item
4142,Cushions,0066,3,767038,2,Item
0070,Bedding,0060,2,8214562,23,Group
4201,Beds,0070,3,1961159,6,Item
4211,Japanese style futon,0070,3,3173216,9,Item
4251,Sheets,0070,3,857973,2,Item
4271,Duvet covers,0070,3,740740,2,Item
4272,Mattress pads,0070,3,1481474,4,Item
0073,Domestic utensils,0060,2,24963736,70,Group
0074,Tableware,0073,3,2846287,8,Group
4301,Bowls,0074,4,569254,2,Item
4302,Dishes,0074,4,2277033,6,Item
0075,Kitchen utensils,0073,3,7901280,22,Group
4326,Canteens,0075,4,1528088,4,Item
4331,Pans,0075,4,1999667,6,Item
4334,Frying pans,0075,4,2999511,8,Item
4342,Scrubbing sponges,0075,4,1374014,4,Item
0076,Other domestic utensils,0073,3,14216169,40,Group
4352,Electric bulbs & lamps,0076,4,2047804,6,Item
4361,Towels,0076,4,5333483,15,Item
4362,Mattings,0076,4,2733951,8,Item
4372,Clothes drying hangers,0076,4,1366980,4,Item
4373,Storage cases,0076,4,2733951,8,Item
0077,Domestic non-durable goods,0060,2,38822448,110,Group
0078,Facial tissue & rolled toilet paper,0077,3,8361221,24,Group
4412,Facial tissue,0078,4,3044602,9,Item
4413,Rolled toilet paper,0078,4,5316619,15,Item
0079,Detergent,0077,3,12294181,35,Group
4431,"Liquid detergent, kitchen",0079,4,4770735,13,Item
4441,"Detergent, laundry",0079,4,7523446,21,Item
0080,Other domestic non-durable goods,0077,3,18167046,51,Group
4401,Food wrap,0080,4,2234363,6,Item
4402,Plastic bags,0080,4,3351559,9,Item
4451,Insecticide,0080,4,2934055,8,Item
4442,Fabric softener,0080,4,3603276,10,Item
4471,Air fresheners & deodorizer,0080,4,2791807,8,Item
4403,Kitchen paper,0080,4,1083994,3,Item
4472,Bleach,0080,4,2167992,6,Item
0081,Domestic services,0060,2,9493656,27,Group
0174,Domestic help,0081,3,1956216,6,Group
4501,Domestic help,0174,4,1956216,6,Item
0175,Cleaning fees,0081,3,5840773,16,Group
4521,Recycle fees,0175,4,1665077,5,Item
4515,Septic tank cleaning fees,0175,4,4175696,12,Item
0176,Other domestic services,0081,3,1696667,5,Group
4701,Mop-rental fees,0176,4,1696667,5,Item
0082,Clothes & footwear,0001,1,105807048,299,Group
0083,Clothes,0082,2,42767080,121,Group
0084,Japanese clothing,0083,3,1089323,3,Group
5011,Women's“Kimono”,0084,4,1089323,3,Item
0085,Clothing,0083,3,41677757,118,Group
0086,Men's clothing,0085,4,14832249,42,Group
5101,"Men's suits (for spring & summer, medium)",0086,5,1496857,4,Item
5103,"Men's suits (for spring & summer, ordinary)",0086,5,749320,2,Item
5102,"Men's suits (for autumn & winter, medium)",0086,5,1122941,3,Item
5104,"Men's suits (for autumn & winter, ordinary)",0086,5,749320,2,Item
5111,Men's jackets,0086,5,2209178,6,Item
5122,Men's slacks (for spring & summer),0086,5,3041350,9,Item
5121,Men's slacks (for autumn & winter),0086,5,2433083,7,Item
5123,Men's slacks (jeans),0086,5,608267,2,Item
5131,Men's coats,0086,5,1031839,3,Item
5141,Boys' school uniforms,0086,5,1390094,4,Item
0087,Women's clothing,0085,4,21622040,61,Group
5166,"Women's suits (for spring & summer, medium)",0087,5,701925,2,Item
5167,"Women's suits (for spring & summer, ordinary)",0087,5,244360,1,Item
5162,"Women's suits (for autumn & winter, medium)",0087,5,1871278,5,Item
5168,"Women's suits (for autumn & winter, ordinary)",0087,5,469215,1,Item
5161,One-piece dresses (for spring & summer),0087,5,244360,1,Item
5163,One-piece dresses (for autumn & winter),0087,5,1403462,4,Item
5183,Women's jackets,0087,5,2484238,7,Item
5169,Skirts (for spring & summer),0087,5,951735,3,Item
5172,Skirts (for autumn & winter),0087,5,951735,3,Item
5181,Women's slacks (for autumn & winter),0087,5,2126102,6,Item
5179,Women's slacks (jeans),0087,5,6378311,18,Item
