Date,headline_yoy,official_core_yoy,model_headline_input
1988-06-30,7.140620106482931,,7.168850666666877
1988-09-30,7.39143825069295,,8.091514744061726
1988-12-31,7.624810892586997,,8.704307802669671
1989-03-31,6.7796610169491345,,3.9867082635968223
1989-06-30,7.570885705933916,,10.537685215718534
1989-09-30,7.9724691712073525,,9.825968671686875
1989-12-31,7.815574922687651,,7.732188078308058
1990-03-31,8.63269284321917,,7.119962566321322
1990-06-30,7.690217391304355,,6.543078653153403
1990-09-30,6.0823373173970685,,3.2194263355301946
1990-12-31,6.85788787483701,,11.111109683354586
1991-03-31,4.844911561138177,,-0.4762015459095862
1991-06-30,3.406510219530645,,0.8188443471956285
1991-09-30,3.1797696544817233,,2.433651712193808
1991-12-31,1.512933138116157,,3.9158145242367515
1992-03-31,1.7114914425427896,,0.1347937552203955
1992-06-30,1.2201073694485087,,-1.0790516871472748
1992-09-30,0.7522446008250583,,0.52598652911812
1992-12-31,0.26442307692307043,,1.8972285054449938
1993-03-31,1.2019230769230838,,3.84896750391786
1993-06-30,1.8563162970106184,,1.4674713001850566
1993-09-30,2.2398843930635737,,1.942688840165369
1993-12-31,1.965955406377362,,0.8230027770115318
1994-03-31,1.377672209026115,,1.4299084648934817
1994-06-30,1.7514792899408382,,2.966546546969627
1994-09-30,1.9081272084805478,,2.5495360081542513
1994-12-31,2.539383964260522,,3.3666316041437137
1995-03-31,3.8894095595126688,,7.230603762602975
1995-06-30,4.489416143289127,,5.387982487473432
1995-09-30,5.08552935737403,,4.964319875636965
1995-12-31,5.044714515019488,,3.1416397334325863
1996-03-31,3.743797925124026,,1.704410417032488
1996-06-30,3.0943900267141666,,2.73417057383136
1996-09-30,2.1337439507259193,,1.0569158560463094
1996-12-31,1.528050643964196,,0.8825474960904023
1997-03-31,1.2608695652173818,,0.8487372561752453
1997-06-30,0.3454977326711184,,-0.6939164551552242
1997-09-30,-0.3230669825543764,,-1.6092708125328308
1997-12-31,-0.25800903031605316,,1.074300896949403
1998-03-31,-0.15027908973808124,,1.0986065249364976
1998-06-30,0.6670970518614316,,2.3558996356776603
1998-09-30,1.361279170267915,,1.1396113522638531
1998-12-31,1.5520586333261477,,1.7287867328335083
1999-03-31,1.225542894001297,,-0.18803091276205341
1999-06-30,1.090209491235572,,1.80681632692415
1999-09-30,1.7267107226604184,,3.7722031749470846
1999-12-31,1.8255147527064253,,2.1618281711305505
2000-03-31,2.8037383177570208,,3.700077281233998
2000-06-30,3.1296257136815386,,3.1030288076792116
2000-09-30,6.01424979044427,,16.066903041060844
2000-12-31,5.816135084427776,,1.3597389753202456
2001-03-31,5.991735537190079,,4.441667069403758
2001-06-30,6.069304900553596,,3.425843324628905
2001-09-30,2.5301442972919475,,1.1640152419295535
2001-12-31,3.1323877068557993,,3.822707664667258
2002-03-31,2.9629629629629672,,3.6911977949739114
2002-06-30,2.841677943166454,,2.9442635457803084
2002-09-30,3.2581453634085378,,2.7610541154674157
2002-12-31,2.999044890162361,,2.7311253553651538
2003-03-31,3.407800075728895,,5.365816038406553
2003-06-30,2.669172932330821,,0.10634575201270471
2003-09-30,2.55787901418969,,2.352941511304637
2003-12-31,2.4109792284866316,,2.1637856079181486
2004-03-31,1.995606005126338,,3.6367614763335894
2004-06-30,2.4716221164408747,,1.924690333410008
2004-09-30,2.312033497178234,,1.6897171373884758
2004-12-31,2.553422672944583,,3.1213104580048943
2005-03-31,2.3335128343205946,,2.791727486593229
2005-06-30,2.4656065749508738,,2.4366716998596267
2005-09-30,3.0604982206405618,,4.104305946208273
2005-12-31,2.8076990994172712,,2.1252545263811817
2006-03-31,2.999473776530426,,3.5290899228744053
2006-06-30,4.010462074978194,,6.655601093510247
2006-09-30,3.9019337016574562,,3.651048323417053
2006-12-31,3.246307110958435,,-0.3238598354510054
2007-03-31,2.452316076294281,,0.44813844765630645
2007-06-30,2.095557418273253,,5.06235874439711
2007-09-30,1.8943170488534333,,2.9089760783102188
2007-12-31,2.9612377308268156,,3.810293404484545
2008-03-31,4.255319148936176,,5.553818482827847
2008-06-30,4.482758620689653,,5.999972238457739
2008-09-30,4.973907371167652,,4.813331122496906
2008-12-31,3.6677977056067235,,-0.789167278477635
2009-03-31,2.4075255102040893,,0.5897767357756201
2009-06-30,1.4458588716014464,,2.0809710405269333
2009-09-30,1.227279788721436,,3.9624508143488777
2009-12-31,2.1041147132169646,,2.1980664226815456
2010-03-31,2.942550210182149,,3.8906558249291625
2010-06-30,3.0518977536793113,,2.6176105595684502
2010-09-30,2.823818293431568,,3.0268191387474324
2010-12-31,2.671347885818953,,1.6427338902822761
2011-03-31,3.2970356926799615,,6.445631099349875
2011-06-30,3.6229705351774166,,3.7591274745688557
2011-09-30,3.492537313432842,,2.4420578253169962
2011-12-31,3.092476955099621,,0.042476275959801746
2012-03-31,1.5812591508052698,,0.3500739151820441
2012-06-30,1.1751051791672573,,2.112600851634743
2012-09-30,1.9469281799826765,,5.6707910735368445
2012-12-31,2.2065186039803786,,1.0331427054748388
