Date,headline_yoy,official_core_yoy
1977-07-01,7.884615384615379,8.143939393939403
1977-08-01,8.4942084942085,7.969639468690692
1977-09-01,7.735849056603783,7.462686567164178
1977-10-01,7.692307692307687,7.620817843866168
1977-11-01,6.566604127579745,7.011070110701101
1977-12-01,5.000000000000004,5.636363636363639
1978-01-01,4.595588235294112,5.454545454545445
1978-02-01,4.570383912248621,5.6261343012704135
1978-03-01,4.909090909090907,5.605786618444841
1978-04-01,4.29338103756709,4.982206405693934
1978-05-01,3.8938053097345104,4.577464788732399
1978-06-01,3.9145907473309594,4.210526315789465
1978-07-01,4.456327985739761,4.378283712784592
1978-08-01,4.62633451957295,4.393673110720564
1978-09-01,4.028021015761807,3.819444444444442
1978-10-01,3.658536585365857,3.4542314335060498
1978-11-01,3.69718309859155,3.4482758620689724
1978-12-01,3.880070546737202,3.442340791738374
1979-01-01,3.5149384885764468,3.4482758620689724
1979-02-01,2.7972027972027913,2.9209621993127044
1979-03-01,2.772963604852685,3.082191780821919
1979-04-01,3.087478559176682,3.050847457627115
1979-05-01,3.236797274275971,3.0303030303030276
1979-06-01,3.9383561643835607,3.703703703703698
1979-07-01,4.436860068259385,3.691275167785224
1979-08-01,3.061224489795933,3.535353535353547
1979-09-01,3.1986531986532007,4.013377926421424
1979-10-01,4.3697478991596705,4.340567612687818
1979-11-01,5.093378607809851,4.500000000000015
1979-12-01,5.602716468590829,4.825291181364388
1980-01-01,6.621392190152808,5.3333333333333455
1980-02-01,7.823129251700678,5.843071786310516
1980-03-01,7.4198988195615545,6.146179401993357
1980-04-01,7.986688851913493,7.565789473684226
1980-05-01,7.920792079207928,8.333333333333325
1980-06-01,8.237232289950569,8.279220779220786
1980-07-01,7.516339869281041,8.252427184466038
1980-08-01,8.085808580858078,8.130081300813007
1980-09-01,8.809135399673739,8.038585209003223
1980-10-01,7.568438003220601,8.15999999999999
1980-11-01,8.239095315024226,8.133971291866015
1980-12-01,7.234726688102899,7.7777777777777946
1981-01-01,7.32484076433122,7.436708860759489
1981-02-01,6.151419558359628,6.940063091482651
1981-03-01,6.122448979591821,6.259780907668233
1981-04-01,4.930662557781185,4.587155963302747
1981-05-01,5.045871559633031,4.52488687782806
1981-06-01,4.718417047184165,4.197901049475261
1981-07-01,4.255319148936176,3.7369207772795177
1981-08-01,4.274809160305337,4.060150375939853
1981-09-01,3.8980509745127456,4.166666666666652
1981-10-01,4.191616766467066,3.9940828402367012
1981-11-01,3.731343283582089,3.9823008849557473
1981-12-01,4.347826086956519,3.9764359351988077
1982-01-01,3.264094955489605,3.6818851251841034
1982-02-01,3.268945022288272,3.539823008849563
1982-03-01,2.9585798816567976,3.534609720176718
1982-04-01,2.936857562408224,3.50877192982455
1982-05-01,2.4745269286754024,3.03030303030305
1982-06-01,2.3255813953488413,3.021582733812944
1982-07-01,1.8950437317784452,3.0259365994236287
1982-08-01,3.221083455344065,3.0346820809248554
1982-09-01,3.1746031746031855,2.857142857142847
1982-10-01,3.0172413793103647,2.8449502133712556
1982-11-01,2.302158273381294,2.695035460992923
1982-12-01,2.011494252873569,2.5495750708215414
1983-01-01,2.155172413793105,2.414772727272707
1983-02-01,1.8705035971223083,2.2792022792022637
1983-03-01,2.298850574712663,2.2759601706970223
1983-04-01,1.9971469329529423,1.9774011299435124
1983-05-01,2.6988636363636243,1.9607843137254832
1983-06-01,1.9886363636363535,1.6759776536312998
1983-07-01,2.2889842632331847,1.6783216783216925
1983-08-01,1.276595744680864,1.2622720897615736
1983-09-01,0.9790209790209836,1.5277777777777724
1983-10-01,1.5341701534170138,1.5214384508990486
1983-11-01,1.8284106891701901,1.6574585635358963
1983-12-01,1.6901408450704203,1.6574585635358963
1984-01-01,1.8284106891701901,1.664355062413314
1984-02-01,2.9661016949152685,1.9498607242339983
1984-03-01,2.528089887640439,1.947148817802491
1984-04-01,2.3776223776223793,2.0775623268697974
1984-05-01,1.9363762102351467,2.335164835164849
1984-06-01,1.9498607242339983,2.197802197802212
1984-07-01,2.5174825174825166,2.2008253094910613
1984-08-01,1.8207282913165201,2.216066481994461
1984-09-01,2.216066481994461,2.1887824897401043
1984-10-01,2.197802197802212,2.452316076294281
1984-11-01,2.20994475138121,2.309782608695654
1984-12-01,2.631578947368407,2.309782608695654
1985-01-01,2.7624309392265234,2.4556616643929052
1985-02-01,1.6460905349794164,2.3224043715847076
1985-03-01,1.9178082191780854,2.4556616643929052
1985-04-01,2.1857923497267784,2.578018995929443
1985-05-01,1.7639077340569909,1.744966442953011
1985-06-01,2.4590163934426146,2.016129032258074
1985-07-01,2.4556616643929052,2.0188425302826385
1985-08-01,3.1636863823933936,2.57452574525745
1985-09-01,1.6260162601626105,1.7402945113788482
1985-10-01,1.7473118279569766,1.3297872340425565
1985-11-01,1.4864864864864824,1.3280212483399723
1985-12-01,1.4844804318488558,1.3280212483399723
1986-01-01,1.4784946236559016,1.4647137150466172
1986-02-01,1.7543859649122862,1.6021361815754087
1986-03-01,1.2096774193548265,1.4647137150466172
1986-04-01,1.0695187165775444,1.1904761904762085
1986-05-01,1.0666666666666602,1.3192612137203241
1986-06-01,0.5333333333333412,0.7905138339920903
1986-07-01,0.13315579227697327,0.6596306068601621
1986-08-01,0.0,0.39630118890356947
1986-09-01,0.5333333333333412,0.39473684210526994
1986-10-01,-0.26420079260238705,0.3937007874015741
1986-11-01,0.0,0.1310615989515096
1986-12-01,-0.26595744680851796,0.1310615989515096
1987-01-01,-1.059602649006619,-0.2624671916010568
1987-02-01,-0.9283819628647216,-0.13140604467805073
1987-03-01,-0.3984063745019917,0.0
1987-04-01,0.0,0.13071895424836555
1987-05-01,0.0,-0.26041666666667407
1987-06-01,0.2652519893899141,0.2614379084967311
1987-07-01,0.13297872340425343,0.3931847968545288
1987-08-01,0.40000000000000036,0.6578947368421018
1987-09-01,0.7957559681697646,0.5242463958060384
1987-10-01,0.6622516556291425,0.5228758169934622
1987-11-01,0.665778961384822,0.654450261780104
1987-12-01,0.8000000000000007,0.654450261780104
1988-01-01,0.8032128514056103,0.6578947368421018
1988-02-01,0.6693440428380271,0.5263157894736858
1988-03-01,0.6666666666666599,0.3937007874015741
1988-04-01,0.3968253968254176,0.26109660574413773
1988-05-01,0.13192612137205018,0.3916449086162066
1988-06-01,0.2645502645502784,0.26075619295957697
1988-07-01,0.3984063745019917,0.26109660574413773
1988-08-01,0.7968127490040056,0.2614379084967311
1988-09-01,0.6578947368421018,0.39113428943937656
1988-10-01,1.0526315789473717,0.39011703511053764
1988-11-01,1.1904761904762085,0.5201560468140354
1988-12-01,0.92592592592593,0.6501950585175553
1989-01-01,1.195219123505975,0.7843137254901933
1989-02-01,0.9308510638297962,0.9162303664921323
1989-03-01,1.059602649006619,1.0457516339869244
1989-04-01,2.371541501976271,2.473958333333348
1989-05-01,2.898550724637672,2.860858257477239
1989-06-01,2.902374670184704,2.860858257477239
1989-07-01,3.0423280423280685,2.994791666666674
1989-08-01,2.5032938076416267,2.8683181225554133
