,headline_index,headline_yoy,ex_fresh_food_index,ex_fresh_food_yoy,ex_fresh_food_energy_index,ex_fresh_food_energy_yoy,ex_food_energy_index,ex_food_energy_yoy
2009-06,98.83882129281288,-1.7560975609756668,99.87754436882936,-1.6569200779727233,100.7081008644737,-0.7843137254901156,102.968033644427,-0.9719866114161646
2009-07,98.74066953383291,-2.235179786200159,99.77855770444003,-2.135922330097084,100.7081008644737,-0.8814887365327762,102.868912336758,-1.192211383152475
2009-08,98.74066953383291,-2.1400778210116767,99.58058437566137,-2.4248302618816497,100.6085869308131,-0.9794319294809228,102.813951448596,-1.2504785693492448
2009-09,98.64251777485296,-2.1421616358324846,99.58058437566137,-2.3300970873786464,100.5090729971526,-1.0773751224289696,102.724857636329,-1.3587456155603972
2009-10,98.24991073893314,-2.4366471734893147,99.48159771127206,-2.2373540856030716,100.409559063492,-1.1753183153771163,102.459552818871,-1.551618720451453
2009-11,98.44621425689304,-1.8590998043053197,99.58058437566137,-1.6617790811339184,100.409559063492,-1.0784313725490047,102.636928656202,-1.17079075911658
2009-12,98.3480624979131,-1.6683022571148065,99.58058437566137,-1.2757605495583801,100.3100451298315,-1.1764705882352455,102.437949528141,-1.2378089489667676
2010-01,98.54436601587301,-0.9861932938856066,99.58058437566137,-0.984251968503902,100.4095590634921,-0.7866273352998276,102.514985904621,-0.8859783748827232
2010-02,98.44074417989418,-0.9926683918730528,99.47696253968255,-1.0872860455397926,100.2023153915344,-0.89395269089807,102.460083550151,-0.8184023158099074
2010-03,98.44074417989418,-0.8948350602444699,99.26971886772488,-1.1961062727146698,100.2023153915344,-0.7963112649778115,102.353949885711,-0.907462540275239
2010-04,98.33712234391535,-0.9012326032985185,98.95885335978836,-1.4083784355136464,99.68420621164022,-1.2119287661083278,101.897845898967,-1.3445055612308354
2010-05,98.33712234391535,-0.606295795570233,98.85523152380954,-1.2193653371704083,99.58058437566137,-1.2172001340671867,101.76219730281,-1.2715789315991377
2010-06,98.33712234391535,-0.5075930108587867,98.95885335978836,-0.9198173772158813,99.47696253968255,-1.2224819197493852,101.639326731267,-1.2904071935066042
2010-07,98.02625683597884,-0.7235242592813163,98.64798785185187,-1.1330789686668896,99.26971886772488,-1.4282684157499004,101.371225688503,-1.4559176472597302
2010-08,97.922635,-0.8284676797260526,98.54436601587301,-1.0405827263267442,99.16609703174605,-1.4337641975421422,101.147753595765,-1.6205950937155156
2010-09,98.02625683597884,-0.6247416963552244,98.44074417989418,-1.144640998959412,99.06247519576719,-1.4392708620707184,101.044172988674,-1.6361031656086933
2010-10,98.23350050793651,-0.016702540361823726,98.64798785185187,-0.83795383125993,99.26971886772488,-1.135190918472584,101.422036191376,-1.012610926898283
2010-11,98.23350050793651,-0.21607102981274773,98.64798785185187,-0.9365244536940542,99.26971886772488,-1.135190918472584,101.303171699469,-1.2994903239950006
2010-12,98.02625683597884,-0.32721098287126216,98.64798785185187,-0.9365244536940542,99.26971886772488,-1.0371107507330057,101.394532570433,-1.018584384512078
2011-01,97.922635,-0.6309148264984188,98.7516096878307,-0.8324661810613865,99.16609703174605,-1.2383900928792713,101.265771831259,-1.2185672780799628
2011-02,97.922635,-0.5263157894736858,98.64798785185187,-0.8333333333333304,98.95885335978836,-1.2409513960703222,101.181616770386,-1.2477705809591955
2011-03,97.922635,-0.5263157894736858,98.54436601587301,-0.7306889352818535,98.95885335978836,-1.2409513960703222,101.041763886682,-1.2820081691954144
2011-04,97.922635,-0.42149631190727677,98.64798785185187,-0.3141361256544406,98.85523152380954,-0.8316008316008205,100.905696075664,-0.9736710472631027
2011-05,97.922635,-0.42149631190727677,98.7516096878307,-0.10482180293501786,98.85523152380954,-0.7284079084287076,101.028470045665,-0.7210214368324475
2011-06,98.02625683597884,-0.31612223393046035,98.64798785185187,-0.3141361256544406,98.85523152380954,-0.6249999999999978,100.948145327388,-0.6800334340136605
2011-07,98.12987867195768,0.10570824524314126,98.7516096878307,0.10504201680672232,98.7516096878307,-0.521920668058462,100.97262932344,-0.39320464200346406
2011-08,98.12987867195768,0.2116402116402183,98.7516096878307,0.2103049421661618,98.7516096878307,-0.4179728317659448,100.862501062914,-0.2820156876553015
2011-09,98.02625683597884,0.0,98.64798785185187,0.21052631578948322,98.7516096878307,-0.3138075313807387,100.787633029383,-0.2538889197695293
2011-10,98.02625683597884,-0.21097046413501852,98.54436601587301,-0.10504201680674452,98.64798785185187,-0.6263048016701411,100.606049410094,-0.8045458481451551
2011-11,97.81901316402117,-0.42194092827003704,98.54436601587301,-0.10504201680674452,98.44074417989418,-0.8350730688935326,100.302809848192,-0.9874931203977755
2011-12,97.81901316402117,-0.21141649048626032,98.54436601587301,-0.10504201680674452,98.44074417989418,-0.8350730688935326,100.475672212039,-0.9062227864759076
2012-01,98.12987867195768,0.2116402116402183,98.64798785185187,-0.10493179433367361,98.54436601587301,-0.6269592476489283,100.543911674405,-0.7128372635690328
2012-02,98.23350050793651,0.31746031746031633,98.7516096878307,0.10504201680672232,98.64798785185187,-0.3141361256544406,100.704509417893,-0.4715356086627098
2012-03,98.44074417989418,0.5291005291005346,98.85523152380954,0.3154574132492316,98.64798785185187,-0.3141361256544406,100.726060921191,-0.31244799511325194
2012-04,98.33712234391535,0.4232804232804366,98.85523152380954,0.21008403361344463,98.54436601587301,-0.3144654088050536,100.894074702929,-0.011517063146049278
2012-05,98.12987867195768,0.2116402116402183,98.64798785185187,-0.10493179433367361,98.44074417989418,-0.41928721174004924,100.588603064034,-0.43538913479752583
2012-06,97.81901316402117,-0.21141649048626032,98.44074417989418,-0.21008403361345573,98.44074417989418,-0.41928721174004924,100.426306534896,-0.5169374739868782
2012-07,97.71539132804233,-0.42238648363253084,98.33712234391535,-0.41972717733472775,98.33712234391535,-0.41972717733472775,100.274006005406,-0.6918937564715177
2012-08,97.71539132804233,-0.42238648363253084,98.44074417989418,-0.31479538300105414,98.33712234391535,-0.41972717733472775,100.341802372211,-0.5162460629230425
2012-09,97.71539132804233,-0.3171247357293905,98.54436601587301,-0.10504201680674452,98.23350050793651,-0.5246589716684125,100.247991615605,-0.5354242356506944
2012-10,97.6117694920635,-0.42283298097250954,98.54436601587301,0.0,98.12987867195768,-0.5252100840336116,100.122031565958,-0.4811021275301641
2012-11,97.6117694920635,-0.21186440677966045,98.44074417989418,-0.1051524710830587,98.02625683597884,-0.42105263157894424,99.9947683834601,-0.30711150086235595
2012-12,97.71539132804233,-0.10593220338983578,98.33712234391535,-0.2103049421661285,98.02625683597884,-0.42105263157894424,99.924886040255,-0.5481786383291332
