Date,Food and non-alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear,"Housing, water, electricity and other fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
1995-09-01,4.405652250732849,2.4987940228383287,1.9022828779215604,4.85033959218526,2.126527913066184,1.1003558742860717,5.8022197280027346,0.003222953671533228,2.1284489470806536,4.153516783119738,5.2389259438882245,2.9154607663909413
1995-10-01,4.385718534598459,2.577067426821495,1.9483858684022017,4.9920245732427615,2.1830397040082734,1.0696230905318846,5.851337551671671,0.008172290730573399,2.1059746437368068,4.15984682585298,5.381424553130691,2.9972737581038866
1995-11-01,4.792130643066511,2.5093248547571996,1.9636395814900829,5.123729399295375,2.378038756202639,1.0721483598188533,6.005505095452531,0.012859433557876991,2.435644196406202,4.341508268955353,5.728573643287638,3.242633160585166
1995-12-01,5.359869241937336,2.5205125002794366,2.01213446314644,5.744862540801801,2.7843907465446454,1.092988296806772,6.376240438322544,0.00016798347618867011,2.9201844409768514,4.711048169947628,6.258351268320575,3.6567234088064025
1996-01-01,5.811260872838686,2.581320340789566,2.063857440539566,6.192951867788938,3.205769534046655,1.1042068150921347,6.699018103723473,-0.009478457221765772,3.4354830396119875,5.053660860720952,6.979581177217108,4.023606107760084
1996-02-01,5.704847189254988,2.579995721911526,1.9722796512159857,6.080244546819058,2.853574607149675,1.0310208026815855,6.491812061109489,-0.008600306720496123,3.1560786150465545,4.7610361629916795,6.494265033727156,3.7980690902533585
1996-03-01,5.156939494395314,2.4918706989698856,1.822542003412946,5.375773987424908,2.2708246896144955,0.9516705746026156,6.023133430834958,-0.005820621146371744,2.510283571465238,4.258989923459794,5.609289245831005,3.3038401908532067
1996-04-01,4.947788626058386,2.550337725192817,1.7361764350747073,5.140066232163488,1.9033915700226756,0.9008892067337684,5.841323566846155,-0.009988541865177648,2.1388906403137353,3.9667098475681284,5.050259145765146,3.0195814267448964
1996-05-01,4.5805563415369,2.5206170211343877,1.6828878653978463,4.828119349086144,1.5395834321877786,0.854594560199047,5.5837397198223755,-0.020753392727821014,1.7065801290715663,3.6199569169773658,4.437429813793212,2.756740780951345
1996-06-01,4.3487699345650555,2.5107175644115776,1.6380392512176614,4.667040496946095,1.3740291126507267,0.8132636309963609,5.438423931437896,-0.038556542513667004,1.4877428258804906,3.469846790196522,4.108357650565063,2.648943070374721
1996-07-01,4.49300382626356,2.6236259848889762,1.6278148480074557,5.055260092013188,1.4391902476733844,0.8536926814711912,5.578649701651017,-0.051976391295246206,1.5550244068993275,3.506442643494655,4.189278488279514,2.6889232129996374
1996-08-01,4.6061282929136205,2.6476156436311076,1.644527498685986,5.251180315962476,1.550025003452396,0.8634673928541311,5.707403130498326,-0.060579842871244564,1.6506391614067155,3.5877600764994138,4.277875103971045,2.810882172823039
1996-09-01,4.391871957396074,2.5825567383605135,1.6002651482774586,5.026701533758627,1.271734768950304,0.8847596034032363,5.53341521927349,-0.06321012325692085,1.4015838490417547,3.4091585030117173,3.862922232326765,2.6877410790205625
1996-10-01,4.039309260780542,2.293680348910876,1.5430926738975754,4.604108851673844,0.8457374695689193,0.8877590116445373,5.295987766062573,-0.057241944217368154,1.0547284385979405,3.1487251095827338,3.293723670013813,2.4145977120782116
1996-11-01,4.0186987506632255,2.085275460369142,1.5372785742625412,4.489455047181426,0.6768025963259974,0.9428775235646907,5.277219833046635,-0.054196049881668686,0.9865936929001393,3.0914238589695495,3.1347786091269674,2.288088891685515
1996-12-01,4.308619670164887,2.0414490164137202,1.5230643411901565,4.44503478911029,0.7624521942285994,0.9774992286179003,5.432625609517464,-0.0534544694831566,1.135993201378094,3.221644923342656,3.30049492348314,2.3681256702806945
1997-01-01,4.8300374420072805,2.049607498000898,1.546443957387107,4.923903412303762,1.1343891682726182,1.003619581647085,5.694487351731505,-0.05344175967960119,1.4561059765326674,3.4972061671528873,3.809286397720185,2.598476912015239
1997-02-01,4.987940331463133,2.039412351193624,1.5370375230321003,4.637869742809632,1.2114822853976634,0.9816563245160763,5.522882389143097,-0.04207586925026156,1.4551374773115064,3.4514587963296304,3.596598200788462,2.5412715250579354
1997-03-01,4.726392055596753,1.9948110041823233,1.4846853635625616,4.059931589372013,0.8965352809472301,0.9290112519073217,5.183339624794052,-0.033342954752297704,1.0964119146031748,3.1860514369452058,3.1208205979537036,2.2303906011712287
1997-04-01,4.865716329935406,2.0608140690168564,1.466456326977872,3.9116565693893826,0.9186747466034768,0.9012627356136866,5.1163498833796,-0.0293209253169747,0.9989771766187038,3.1318003694765673,3.0825384490663947,2.140611089996651
1997-05-01,4.680411714206443,2.143702401739474,1.443594668124016,3.601421102821293,0.8248314405321799,0.8963055494633461,4.941909959686678,-0.022267707401710905,0.7575813788612533,2.935050134026993,2.8578343436260574,1.9350034911446696
1997-06-01,4.709658193283466,2.3382081181907415,1.4646902504398196,3.4395963365696796,0.8093468285962749,0.8712818917124646,4.873917298661034,-0.023159551886006137,0.6371269713042251,2.8111891351063596,2.7934510958828165,1.8773134412168917
1997-07-01,4.718861196070138,2.411067222254718,1.4673778762306395,3.1082213437408273,0.8292110137118098,0.8549688502305561,4.777607129525452,-0.03772700327952795,0.6173728176019125,2.7546745871963623,2.676527137936926,1.785207466751594
