"Timestamp","Country","Status","Iteration","Total","Percent","Elapsed","ETA","Updated","StatusFile"
"2026-09-21 16:12:10","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:12:20","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:12:30","AU","complete","6001","6001","100.0%","00:25:21","00:00:00","2026-09-21 16:04:29","C:\Users\micha\Desktop\Stats Research\michaelwjones\macro-work\AU\Inflation Model\mct_model\results\python\australia_core_d3000_b3000_t2_s2022_status.json"
"2026-09-21 16:12:40","AU","not found",,,,,,,
"2026-09-21 16:12:50","AU","not found",,,,,,,
"2026-09-21 16:13:00","AU","not found",,,,,,,
"2026-09-21 16:13:10","AU","not found",,,,,,,
"2026-09-21 16:13:20","AU","not found",,,,,,,
"2026-09-21 16:13:30","AU","not found",,,,,,,
"2026-09-21 16:13:40","AU","not found",,,,,,,
"2026-09-21 16:13:50","AU","not found",,,,,,,
"2026-09-21 16:14:00","AU","not found",,,,,,,
"2026-09-21 16:14:10","AU","not found",,,,,,,
"2026-09-21 16:14:20","AU","not found",,,,,,,
"2026-09-21 16:14:30","AU","not found",,,,,,,
"2026-09-21 16:14:40","AU","not found",,,,,,,
"2026-09-21 16:14:50","AU","not found",,,,,,,
"2026-09-21 16:15:00","AU","not found",,,,,,,
"2026-09-21 16:15:10","AU","not found",,,,,,,
"2026-09-21 16:15:20","AU","not found",,,,,,,
"2026-09-21 16:15:30","AU","not found",,,,,,,
"2026-09-21 16:15:40","AU","not found",,,,,,,
"2026-09-21 16:15:50","AU","not found",,,,,,,
"2026-09-21 16:16:00","AU","not found",,,,,,,
"2026-09-21 16:16:10","AU","not found",,,,,,,
"2026-09-21 16:16:21","AU","not found",,,,,,,
"2026-09-21 16:16:31","AU","not found",,,,,,,
"2026-09-21 16:16:41","AU","not found",,,,,,,
"2026-09-21 16:16:51","AU","not found",,,,,,,
"2026-09-21 16:17:01","AU","not found",,,,,,,
"2026-09-21 16:17:11","AU","not found",,,,,,,
"2026-09-21 16:17:21","AU","not found",,,,,,,
"2026-09-21 16:17:31","AU","not found",,,,,,,
"2026-09-21 16:17:41","AU","not found",,,,,,,
"2026-09-21 16:17:51","AU","not found",,,,,,,
"2026-09-21 16:18:01","AU","not found",,,,,,,
"2026-09-21 16:18:11","AU","not found",,,,,,,
"2026-09-21 16:18:21","AU","not found",,,,,,,
"2026-09-21 16:18:31","AU","not found",,,,,,,
"2026-09-21 16:18:41","AU","not found",,,,,,,
"2026-09-21 16:18:51","AU","not found",,,,,,,
"2026-09-21 16:19:01","AU","not found",,,,,,,
"2026-09-21 16:19:11","AU","not found",,,,,,,
"2026-09-21 16:19:21","AU","not found",,,,,,,
"2026-09-21 16:19:31","AU","not found",,,,,,,
"2026-09-21 16:19:41","AU","not found",,,,,,,
"2026-09-21 16:19:51","AU","not found",,,,,,,
"2026-09-21 16:20:01","AU","not found",,,,,,,
"2026-09-21 16:20:11","AU","not found",,,,,,,
"2026-09-21 16:20:21","AU","not found",,,,,,,
"2026-09-21 16:20:31","AU","not found",,,,,,,
"2026-09-21 16:20:41","AU","not found",,,,,,,
"2026-09-21 16:20:51","AU","not found",,,,,,,
"2026-09-21 16:21:01","AU","not found",,,,,,,
"2026-09-21 16:21:11","AU","not found",,,,,,,
"2026-09-21 16:21:21","AU","not found",,,,,,,
"2026-09-21 16:21:31","AU","not found",,,,,,,
"2026-09-21 16:21:42","AU","not found",,,,,,,
"2026-09-21 16:21:52","AU","not found",,,,,,,
"2026-09-21 16:22:02","AU","not found",,,,,,,
"2026-09-21 16:22:12","AU","not found",,,,,,,
"2026-09-21 16:22:22","AU","not found",,,,,,,
"2026-09-21 16:22:32","AU","not found",,,,,,,
"2026-09-21 16:22:43","AU","not found",,,,,,,
"2026-09-21 16:22:58","AU","not found",,,,,,,
"2026-09-21 16:23:08","AU","not found",,,,,,,
"2026-09-21 16:23:18","AU","not found",,,,,,,
"2026-09-21 16:23:28","AU","not found",,,,,,,
"2026-09-21 16:23:38","AU","not found",,,,,,,
"2026-09-21 16:23:48","AU","not found",,,,,,,
"2026-09-21 16:23:58","AU","not found",,,,,,,
"2026-09-21 16:24:08","AU","not found",,,,,,,
"2026-09-21 16:24:18","AU","not found",,,,,,,
"2026-09-21 16:24:28","AU","not found",,,,,,,
"2026-09-21 16:24:39","AU","not found",,,,,,,
"2026-09-21 16:24:49","AU","not found",,,,,,,
"2026-09-21 16:24:59","AU","not found",,,,,,,
"2026-09-21 16:25:09","AU","not found",,,,,,,
"2026-09-21 16:25:19","AU","not found",,,,,,,
"2026-09-21 16:25:29","AU","not found",,,,,,,
"2026-09-21 16:25:39","AU","not found",,,,,,,
"2026-09-21 16:25:49","AU","not found",,,,,,,
"2026-09-21 16:25:59","AU","not found",,,,,,,
"2026-09-21 16:26:09","AU","not found",,,,,,,
"2026-09-21 16:26:19","AU","not found",,,,,,,
"2026-09-21 16:26:29","AU","not found",,,,,,,
"2026-09-21 16:26:39","AU","not found",,,,,,,
"2026-09-21 16:26:49","AU","not found",,,,,,,
"2026-09-21 16:26:59","AU","not found",,,,,,,
"2026-09-21 16:27:10","AU","not found",,,,,,,
"2026-09-21 16:27:20","AU","not found",,,,,,,
"2026-09-21 16:27:31","AU","not found",,,,,,,
"2026-09-21 16:27:42","AU","not found",,,,,,,
"2026-09-21 16:27:52","AU","not found",,,,,,,
"2026-09-21 16:28:02","AU","not found",,,,,,,
"2026-09-21 16:28:12","AU","not found",,,,,,,
"2026-09-21 16:28:22","AU","not found",,,,,,,
"2026-09-21 16:28:32","AU","not found",,,,,,,
"2026-09-21 16:28:42","AU","not found",,,,,,,
"2026-09-21 16:28:52","AU","not found",,,,,,,
"2026-09-21 16:29:02","AU","not found",,,,,,,
"2026-09-21 16:29:12","AU","not found",,,,,,,
"2026-09-21 16:29:22","AU","not found",,,,,,,
"2026-09-21 16:29:32","AU","not found",,,,,,,
"2026-09-21 16:29:42","AU","not found",,,,,,,
"2026-09-21 16:29:52","AU","not found",,,,,,,
"2026-09-21 16:30:02","AU","not found",,,,,,,
"2026-09-21 16:30:12","AU","not found",,,,,,,
"2026-09-21 16:30:22","AU","not found",,,,,,,
"2026-09-21 16:30:33","AU","not found",,,,,,,
"2026-09-21 16:30:43","AU","not found",,,,,,,
"2026-09-21 16:30:53","AU","not found",,,,,,,
"2026-09-21 16:31:03","AU","not found",,,,,,,
"2026-09-21 16:31:13","AU","not found",,,,,,,
"2026-09-21 16:31:23","AU","not found",,,,,,,
"2026-09-21 16:31:33","AU","not found",,,,,,,
"2026-09-21 16:31:43","AU","not found",,,,,,,
"2026-09-21 16:31:53","AU","not found",,,,,,,
"2026-09-21 16:32:03","AU","not found",,,,,,,
"2026-09-21 16:32:13","AU","not found",,,,,,,
"2026-09-21 16:32:23","AU","not found",,,,,,,
"2026-09-21 16:32:33","AU","not found",,,,,,,
"2026-09-21 16:32:43","AU","not found",,,,,,,
"2026-09-21 16:32:53","AU","not found",,,,,,,
"2026-09-21 16:33:03","AU","not found",,,,,,,
"2026-09-21 16:33:13","AU","not found",,,,,,,
"2026-09-21 16:33:23","AU","not found",,,,,,,
"2026-09-21 16:33:33","AU","not found",,,,,,,
"2026-09-21 16:33:43","AU","not found",,,,,,,
"2026-09-21 16:33:53","AU","not found",,,,,,,
"2026-09-21 16:34:03","AU","not found",,,,,,,
"2026-09-21 16:34:13","AU","not found",,,,,,,
"2026-09-21 16:34:23","AU","not found",,,,,,,
"2026-09-21 16:34:33","AU","not found",,,,,,,
"2026-09-21 16:34:44","AU","not found",,,,,,,
"2026-09-21 16:34:54","AU","not found",,,,,,,
"2026-09-21 16:35:04","AU","not found",,,,,,,
"2026-09-21 16:35:14","AU","not found",,,,,,,
