,headline_yoy
1990-09-30,6.0823373173970685
1990-12-31,6.85788787483701
1991-03-31,4.844911561138177
1991-06-30,3.406510219530645
1991-09-30,3.1797696544817233
1991-12-31,1.512933138116157
1992-03-31,1.7114914425427896
1992-06-30,1.2201073694485087
1992-09-30,0.7522446008250583
1992-12-31,0.26442307692307043
1993-03-31,1.2019230769230838
1993-06-30,1.8563162970106184
1993-09-30,2.2398843930635737
1993-12-31,1.965955406377362
1994-03-31,1.377672209026115
1994-06-30,1.7514792899408382
1994-09-30,1.9081272084805478
1994-12-31,2.539383964260522
1995-03-31,3.8894095595126688
1995-06-30,4.489416143289127
1995-09-30,5.08552935737403
1995-12-31,5.044714515019488
1996-03-31,3.743797925124026
1996-06-30,3.0943900267141666
1996-09-30,2.1337439507259193
1996-12-31,1.528050643964196
1997-03-31,1.2608695652173818
1997-06-30,0.3454977326711184
1997-09-30,-0.3230669825543764
1997-12-31,-0.25800903031605316
1998-03-31,-0.15027908973808124
1998-06-30,0.6670970518614316
1998-09-30,1.361279170267915
1998-12-31,1.5520586333261477
1999-03-31,1.225542894001297
1999-06-30,1.090209491235572
1999-09-30,1.7267107226604184
1999-12-31,1.8255147527064253
2000-03-31,2.8037383177570208
2000-06-30,3.1296257136815386
2000-09-30,6.01424979044427
2000-12-31,5.816135084427776
2001-03-31,5.991735537190079
2001-06-30,6.069304900553596
2001-09-30,2.5301442972919475
2001-12-31,3.1323877068557993
2002-03-31,2.9629629629629672
2002-06-30,2.841677943166454
2002-09-30,3.2581453634085378
2002-12-31,2.999044890162361
2003-03-31,3.407800075728895
2003-06-30,2.669172932330821
2003-09-30,2.55787901418969
2003-12-31,2.4109792284866316
2004-03-31,1.995606005126338
2004-06-30,2.4716221164408747
2004-09-30,2.312033497178234
2004-12-31,2.553422672944583
2005-03-31,2.3335128343205946
2005-06-30,2.4656065749508738
2005-09-30,3.0604982206405618
2005-12-31,2.8076990994172712
2006-03-31,2.999473776530426
2006-06-30,4.010462074978194
2006-09-30,3.9019337016574562
2006-12-31,3.246307110958435
2007-03-31,2.452316076294281
2007-06-30,2.095557418273253
2007-09-30,1.8943170488534333
2007-12-31,2.9612377308268156
2008-03-31,4.255319148936176
2008-06-30,4.482758620689653
2008-09-30,4.973907371167652
2008-12-31,3.6677977056067235
2009-03-31,2.4075255102040893
2009-06-30,1.4458588716014464
2009-09-30,1.227279788721436
2009-12-31,2.1041147132169646
2010-03-31,2.942550210182149
2010-06-30,3.0518977536793113
2010-09-30,2.823818293431568
2010-12-31,2.671347885818953
2011-03-31,3.2970356926799615
2011-06-30,3.6229705351774166
2011-09-30,3.492537313432842
2011-12-31,3.092476955099621
2012-03-31,1.5812591508052698
2012-06-30,1.1751051791672573
2012-09-30,1.9469281799826765
2012-12-31,2.2065186039803786
2013-03-31,2.493513980974349
2013-06-30,2.351591626039573
2013-09-30,2.2068185033243815
2013-12-31,2.6809651474530627
2014-03-31,2.9391084235691256
2014-06-30,3.0680862986830926
2014-09-30,2.256055363321785
2014-12-31,1.7177408272639916
2015-03-31,1.3114754098360493
2015-06-30,1.5223596574690745
2015-09-30,1.4889009204114956
2015-12-31,1.6887327749256942
2016-03-31,1.2944983818770295
2016-06-30,1.0175391618690632
2016-09-30,1.3336889837289867
2016-12-31,1.4746911119968065
2017-03-31,2.1432374866879655
2017-06-30,1.8952948972829509
2017-09-30,1.8031060805475008
2017-12-31,1.9507724535218873
2018-03-31,1.9288413918936431
2018-06-30,2.09417273673258
2018-09-30,1.913380736910164
2018-12-31,1.7593424939000846
2019-03-31,1.3041810510165064
2019-06-30,1.5415976557523248
2019-09-30,1.674489407585944
2019-12-31,1.842503785966687
2020-03-31,2.2340022718667196
2020-06-30,-0.32622333751568533
2020-09-30,0.6487835308796042
2020-12-31,0.867410161090465
2021-03-31,1.0740740740740717
2021-06-30,3.81419939577039
2021-09-30,3.099045493987851
2021-12-31,3.4766584766584785
2022-03-31,5.105655307194312
2022-06-30,6.208318176306538
2022-09-30,7.25021041240832
2022-12-31,7.859432506232933
2023-03-31,7.007553747821027
2023-06-30,6.02808539787647
2023-09-30,5.313901345291483
2023-12-31,4.0506329113924044
2024-03-31,3.6164205039096453
2024-06-30,3.811779907397428
2024-09-30,2.852884820097934
2024-12-31,2.4119327197714924
2025-03-31,2.400167697306377
2025-06-30,2.0952183383466494
2025-09-30,3.2187952804802356
2025-12-31,3.625658506352636
2026-03-31,4.094165813715445
2026-06-30,3.9418876358833677
