,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing,"Furnishings, household equipment and services",Transport,Other goods and services
1981-09-30,15.233117122571048,12.58374856860749,3.6275687382517408,10.11263208358204,10.021908419472702,0.0,4.623018223624076
1981-12-31,6.521855139534649,7.193592562836115,11.074809785333573,13.392914181767402,14.603165791362848,19.55342999137899,31.632404798381984
1982-03-31,3.7741096882465186,11.357885761657261,1.4670153741423109,9.547827614771531,10.891511257559095,4.751656285220474,8.669361156866294
1982-06-30,5.74824713798483,9.24265209375761,10.736010281155362,13.619155108852588,12.989210077190805,12.513527461719587,7.501947664984998
1982-09-30,13.032661447176451,18.666766895543006,4.088836609289337,10.622324347634638,13.28074615887207,24.556222027057405,16.08724520227758
1982-12-31,9.807735244908855,22.64525787031564,9.633725438617336,11.92130644897762,15.705256219267948,5.777026513865047,13.372547659137668
1983-03-31,7.452611586723545,6.105144224978876,0.6510512916839684,6.196543190681791,6.311740242689257,11.966301073356501,12.424641190292075
1983-06-30,18.629150838720278,8.597385736159314,14.327934573829415,6.102040589668567,4.989073071515637,0.0,9.415099620833246
1983-09-30,5.218578232380944,8.927675188447415,0.0,4.381826751414786,6.84705865186519,15.428369972120448,7.4786036843695225
1983-12-31,4.976532823100754,27.33725441040018,9.072223205229623,10.4700562005678,11.818296826366081,11.350654715443254,7.5120338989167035
1984-03-31,6.1285224824516815,7.26982879532776,1.2328621619567492,6.388729184713182,2.900736104313828,3.1482393946873133,-14.882409820848963
1984-06-30,-1.143078690730459,10.381289062500066,12.213323648559072,9.24265209375761,2.8798531935241956,7.648678628629968,-7.946360892920879
1984-09-30,9.181791175139065,6.072054356998691,1.7950187897703307,6.9117772658322085,4.641761690358126,4.910515852285058,1.7822558655094634
1984-12-31,6.087570757617411,8.181131502225947,10.445024197072762,6.79441386563282,4.029725453638289,3.587089643235619,6.65887457585852
1985-03-31,4.022836648177819,4.584985375228312,1.1594081839550574,5.943013744812831,6.308832337097381,6.778478798753573,5.978943565772954
1985-06-30,7.750937594145912,6.219016390268961,11.391904365356487,9.342221706467303,6.764322509822973,19.31474457380038,9.16874496533373
1985-09-30,7.440964911621095,11.654958041926466,5.1381526931295385,9.674212434608975,8.388427158658796,8.65088458501122,10.684357671407142
1985-12-31,9.718642401568989,10.067965671899092,14.021721090016669,9.623614815107118,12.787457819834813,2.2583802707824896,6.675967484037404
1986-03-31,8.227524313371749,12.281824882499581,2.7039713804122956,7.330362679503644,7.356625456244648,14.183398181140227,10.922484425962597
1986-06-30,9.29632079925231,8.352700685482839,19.95439196315234,7.198494409943446,6.204871398845624,-6.080059326933074,8.414319106688485
1986-09-30,11.835213348223173,9.72186392169836,2.048297692169121,7.236232169098034,6.610733553301684,21.90286884660546,11.541054333978117
1986-12-31,6.206300505857265,12.543172365543654,17.822257979327926,6.945750994154287,9.157965831131708,19.573705620388537,15.58946123665843
1987-03-31,4.558074577239202,11.417552235013485,2.4486996750057832,7.464776184953648,4.364984707560282,11.652798996233681,10.672581553435357
1987-06-30,0.5383567923514354,10.022763044029714,12.615905237886672,7.956411326855561,9.34098851598215,3.9318116359682964,6.1773499128195075
1987-09-30,5.893903929897748,6.32877484924077,3.318346922772264,7.185519088551162,7.630242072414073,7.674140083354364,7.398643572181318
1987-12-31,5.395094956480961,6.902570237983441,12.126853110770064,4.814030977172856,6.567471602463382,10.996811050562405,8.63975094450713
1988-03-31,6.823764996830883,8.450756375472789,0.45211858887197476,6.527914145753688,4.520716022394344,4.562406360157323,9.965631533948205
1988-06-30,13.750774686069045,6.645978525857732,15.784643697077904,8.483102376593177,6.388729184713182,-0.904403188209546,5.064904127068481
1988-09-30,11.800284726367206,4.9526339193044056,1.7498673595883973,17.121144182574444,6.6542976118733055,5.886121047060389,2.477163590324394
1988-12-31,6.3090019483458715,0.9039490575448061,12.67861060105393,27.2264894868532,6.617525501819421,1.4020817707664168,1.9855401761518898
1989-03-31,6.211066088249395,8.020812107330165,0.0,-4.138205062589728,3.0088516952617494,3.928511555979952,8.027083687723714
1989-06-30,13.021897848649244,9.112880041084814,11.4265654010695,22.996375449118144,4.296434790740067,9.884451822450835,2.8697504814269026
1989-09-30,10.268040214562513,9.5244498522431,0.8201346758657024,23.40871205934214,5.905251479608964,9.132619017407206,2.7078824463738327
1989-12-31,1.226466510686608,8.106062474233,8.412646828639868,14.458630094921121,6.298374678366447,9.833368416224285,6.236063242032941
1990-03-31,0.77680312141446,9.117637458407767,0.40042216778837236,8.30098037253948,6.200765836741695,10.980503051669,8.871957804942166
1990-06-30,11.389664576704561,7.483842793069062,8.230971358913287,6.445179132371304,6.90529938641633,2.345412316688189,5.038975469109763
1990-09-30,-2.7657898197817388,7.906272392433533,2.769523599479018,2.3310280065282463,3.5445227848943883,8.056522749570338,4.336847787158149
1990-12-31,4.06597784279219,13.928929835432724,6.823083499954441,3.4912748260662596,7.575739056724662,29.686814867004795,14.076796392277057
1991-03-31,8.854159187341049,5.6505233211611605,1.926623814285633,-5.574579772927812,1.8984389697043635,-17.08584394835252,1.7418827531454406
1991-06-30,-1.5647109996447028,8.443483353612802,5.834751876024313,0.0,1.1549154711459897,-2.2921684251892116,1.6446903863638784
1991-09-30,2.767266170358118,5.457820173931149,-1.493130163619849,-7.944960564978865,3.8566047181129326,7.797850126709882,6.667572632154384
1991-12-31,1.8966805960832334,3.8948605726186747,1.8973803287537505,-1.9163671600476495,2.5955038591522817,6.49213761050893,8.497228500413767
1992-03-31,2.310829060038966,1.6741041556948,-0.7479709549234492,-8.849647579632636,-1.064921737503155,0.0,5.054463074222548
1992-06-30,1.0394923096026742,4.573449107122718,1.8919957237548246,-7.603230548376616,2.2219706322649024,-1.4894237231781071,0.0133757616899155
1992-09-30,-1.4380865085745098,13.250726926230861,-0.7458788551623297,-6.473319577065729,-2.173672272723326,7.555264888942426,1.946169414315868
1992-12-31,2.616635347384344,11.097695453327884,4.572633924195579,-2.4927952904992834,0.3578347403353055,0.0,3.3586230670279438
1993-03-31,8.935584752011415,9.137151426422152,-1.1069436823670564,1.7378304566795677,-2.242129552711214,1.4845107112175793,4.260340177972477
1993-06-30,-3.5799432606903214,6.192889506982624,2.2480387847214844,3.36544044036724,1.9288172861986475,2.8908825827714146,1.2805065544500671
1993-09-30,2.9829511184708224,9.022854105726964,-3.6440772970859348,-1.2445047168332946,0.3578347403353055,4.03532494585408,2.259043471536293
1993-12-31,2.548617027511013,7.277606233416689,-1.1141377910430683,-5.361890457068174,-0.3565588489042093,1.0484838336081381,3.097993595998738
1994-03-31,1.108441364874646,4.159615453611765,-1.8568639374621276,0.4632302617012529,1.859160091531753,-1.037604715905105,2.7951881451191873
1994-06-30,-1.0962896370586561,5.165573508856891,0.3762734283239144,3.0362809092764786,1.13119363704417,7.259337968462476,3.846208849770738
1994-09-30,3.3529428883110057,3.6525940848816996,0.7528984872747335,2.079052658511271,0.0,6.383802742024414,1.6374140942799098
1994-12-31,1.8035617884473165,5.05335043108579,0.751484015534154,11.404001497428684,2.5664591639924295,-0.6977393661476761,0.4297472169033423
1995-03-31,8.586406349730824,5.805772643795115,-2.225111267168023,23.59339362177424,1.4767526946049658,1.7240982332206167,0.2108277543236614
1995-06-30,1.7586291021715494,15.945988172031234,3.8143461098385734,7.685765292470648,3.3782323151254845,5.2163102138276685,4.3956528608938505
1995-09-30,6.127765551566489,14.30286762294839,-1.849993751953316,2.6084453525923035,2.9340777946766483,11.239107105973222,2.938720523248617
1995-12-31,1.051490546633027,10.667639009355012,1.5057771435590173,2.696245051529078,2.149367729516105,0.9725917435968068,4.2259063001415464
1996-03-31,0.6664263517845326,6.6569357948464525,-1.1141377910430683,-1.4202158568026646,0.0,0.29778501641506416,4.542540612749035
1996-06-30,4.237318120155487,5.105743326604695,2.262875383680063,2.270877273031102,3.3076652548689855,4.687304359462585,0.9556400309938651
1996-09-30,4.192907329107598,1.5447043140689676,-0.741729570210603,-0.81176647860709,2.120422031253333,-1.3157715590052965,1.2682271896270247
1996-12-31,3.7669552367061376,2.055607345070065,1.122475111379173,-10.4742821899106,1.7649563534660961,3.6607797962988853,5.407867441232317
1997-03-31,2.6953294648384807,1.1891990856102153,-1.8448743819039715,-11.140115813794626,-0.3374575170395411,2.2094544886926526,7.829742322316391
1997-06-30,2.0261847974715197,1.0156499179565959,1.1245789439878973,-12.53819940556643,1.416508866464583,-4.0770771971959885,5.881245333724694
1997-09-30,0.0,-0.5036716120435769,-0.7424179088727167,-4.068191458740311,-1.7297492658534863,1.6247821206061275,-2.280019488202223
1997-12-31,1.004214426020722,6.02632645433967,2.636255635314866,-6.921342855321944,1.4177137703005327,-1.2371360292884659,6.018379619382919
1998-03-31,3.3062663910702783,2.8515722652319386,-1.4738744931095282,-3.2900305113569117,0.0,-3.545552268947194,4.653149103722831
1998-06-30,3.279164137919466,3.168402420572969,-0.37138248451445977,4.71479073408545,0.6762444221954933,-0.2956937544716487,1.7513785559239325
1998-09-30,5.371614846996309,1.8110262464326343,-1.0710511113780297,1.4970230693261533,-0.33627544852955493,-1.6925383753799261,0.06792179748145166
1998-12-31,4.205717706307199,0.9803848309446472,-0.2486014957278404,2.766407443086427,0.6192367686180367,-1.1109974664922917,1.3318258212790424
1999-03-31,4.883116606004068,3.1215569106264995,-2.3037190576708055,2.9788855766446076,-3.6500554225292525,-2.365447005693322,-3.8734226772578983
1999-06-30,0.8644860052189118,2.7680026467132413,1.2581099323556888,1.8119584685112766,1.9383700985654118,5.590933968691059,0.7878321022262602
1999-09-30,2.0796531536988683,0.9638484596851571,-1.6540530502804796,6.068454957474656,-1.9570248059418205,13.840807387017207,2.0730682908188136
1999-12-31,1.28933546233172,8.226271557649145,-3.829668359629934,6.5552449536000035,1.0799191654323526,-1.7087538484531706,0.7224932072968704
2000-03-31,0.7696383547081576,7.068446193516831,-1.42689981250409,4.527800947233418,-1.6829918931490218,12.17858185110845,2.8512064923036595
2000-06-30,3.4479609958109947,3.2713958851759317,3.6047906712599165,1.9474678703354176,4.613525325233403,6.370546551660872,2.062340326882972
2000-09-30,7.1014763560828476,28.591318047416415,32.93529203037404,26.69132971518433,8.14211317817266,11.0334237121563,13.396576979379082
2000-12-31,2.8503770366544945,4.222980911993868,-1.4771369255296318,1.214560985562918,-0.054963928623408265,2.3685633290074115,0.33628557298457373
2001-03-31,13.301638705149532,10.614500666773875,-8.172397691277201,1.718651438226182,3.058521558430627,0.9369184832510813,3.044020748712195
2001-06-30,3.6415110611585977,4.787894695704709,6.652799521233477,0.7020156091530616,7.112627747289935,8.155691126925824,1.9305758218926883
2001-09-30,2.6369577895589913,4.307187935097656,-4.915573877731716,6.126958364629265,-1.0685091838103622,-6.800284151015667,0.42258501609846455
2001-12-31,10.958112246696473,0.6783085756066898,5.7099570675609,2.482195489864014,4.539456149382448,-2.434296629562227,3.3633311701368074
2002-03-31,2.0064974195834306,4.254000074209396,-1.5273621670625848,2.965691409048432,-2.8935928579228554,1.883884331624408,7.751472786272706
2002-06-30,-1.8919151805058987,2.1562567387430676,5.322506067275645,2.547643130684585,2.925051045776228,7.588398568986232,4.0959369549385505
2002-09-30,4.279139842738133,4.461041827653567,-2.5896098402445444,5.511893907679233,0.693376963273673,-1.2995279012684935,2.251728253550178
2002-12-31,5.648238503589131,0.13160057440850803,3.7042358615781312,1.6277343813811074,3.988194765969899,4.326583625401148,1.437386908173588
2003-03-31,7.845539374396493,5.091121600460591,-5.489614224212747,5.612012172585312,-4.039355230633401,10.013536935132116,5.636046072297707
2003-06-30,0.07337429756613112,2.358234789719149,4.782363691972535,3.8890309372012544,3.4987626726317833,-11.378260228762437,-0.03872824496111704
2003-09-30,-1.240974117156013,7.838210857448935,-1.3203702459180233,7.129084647592454,0.15813398771167275,5.4572424395956,-0.1990719657539608
2003-12-31,7.329544739139404,2.429168556098338,-0.9364875538490636,2.480644798642251,-0.31558160811330227,-1.5995838581047361,1.3631170369337697
2004-03-31,7.350083288031306,4.48146349816958,-5.420494140764798,3.761491108822801,-2.350533957089429,2.7422504589097674,4.057118952867711
2004-06-30,-3.5726295840156297,3.0234093212348823,4.368294571813425,2.7166215444131447,0.0,6.980302968020835,2.5759391316561464
2004-09-30,-2.3438562952691866,3.7613473408584674,-0.8635019639887775,5.636283821361365,-0.1059883319757815,3.129005157639231,1.005932512003782
2004-12-31,5.8174899947780245,2.7226167083503006,-5.411446877445125,3.5599562569061716,2.353784544998394,5.6270433519305385,1.5849309697293146
2005-03-31,3.674301899300003,5.209841007937821,-5.332116000937592,4.065783608540152,-5.118179992857897,-3.655918194510399,6.0267470125895395
2005-06-30,0.4232798320515041,2.0583554428272643,3.3683003671625134,2.2602889647258095,4.89506606799226,8.48961837471034,0.8606215554919139
2005-09-30,3.1319935794962506,4.003755249543306,0.5644578268217515,5.60041504412232,1.4328130032391195,13.732027106928712,1.2192606214705748
2005-12-31,7.31412199612953,1.9075468786566407,-0.6012910759284895,2.8200387241024583,2.548657622703532,-1.8217403268469545,0.4736921363928115
2006-03-31,5.959645248459222,5.163340978531572,-9.797987885919346,2.543323689818955,-1.4554663132061219,5.334603004459448,4.432462303056495
2006-06-30,17.394047643252076,3.536353628198352,3.513576142979713,2.953076680517408,3.0775151599697237,14.194164143478737,2.4323072774431465
