date,python_mle,at_eviews_params
1990Q4,-2.6621522158705493,-2.0423695610131776
1991Q1,-4.132287527376103,-3.324468551948133
1991Q2,-4.447693175413819,-3.8049156060064897
1991Q3,-4.237573167043185,-3.745664019121982
1991Q4,-4.7049754495752865,-4.037562136168948
1992Q1,-4.785565358464168,-4.202196288190144
1992Q2,-5.2106481646045895,-4.431351693240231
1992Q3,-5.150918864838319,-4.273090516719668
1992Q4,-5.099031347215646,-3.86631321977369
1993Q1,-4.629946702066406,-3.680542433930943
1993Q2,-4.762641368608364,-3.686933529338712
1993Q3,-4.896807629011944,-3.8202936028663785
1993Q4,-4.492287807621423,-3.3273933983062722
1994Q1,-3.507481370123047,-2.426438244986473
1994Q2,-2.7870264468256205,-1.711062953926926
1994Q3,-2.38591465934536,-1.2852171728359414
1994Q4,-2.008319570751659,-0.9202645975061537
1995Q1,-1.7573586343237801,-0.9703163282413471
1995Q2,-1.7561776862651444,-1.175037929948855
1995Q3,-1.9919031545150254,-1.162920550358313
1995Q4,-2.0879300921915567,-1.4384163941282315
1996Q1,-2.1198064284185394,-1.4336535034623366
1996Q2,-2.191079285615262,-1.5888810008353076
1996Q3,-2.5718095381737456,-1.9054394345470187
1996Q4,-2.35177405476326,-1.8810961732271763
1997Q1,-2.2948360780048755,-1.649541411072062
1997Q2,-1.874056605891459,-0.9678848183940776
1997Q3,-1.5412431485613471,-0.7839739128107525
1997Q4,-1.059788646114464,-0.4671244187875616
1998Q1,-1.1089482770046473,-0.513005762740267
1998Q2,-1.288197502331252,-0.5339182157480648
1998Q3,-0.8958294906510527,-0.05652032661655794
1998Q4,-0.22555138674541178,0.520299523455386
1999Q1,-0.026990933846847507,0.6952633758567401
1999Q2,0.032263903388172685,0.5965645547658265
1999Q3,-0.17889548929759352,0.5364738797626661
1999Q4,0.2569482593844199,0.9945722258664389
2000Q1,0.3182596426471129,1.072558362616141
2000Q2,0.9505703383554289,1.3904853751706412
2000Q3,0.8846833185064289,1.0733527200791817
2000Q4,0.12785012885882882,0.27858172537936887
2001Q1,-0.4260581564425028,-0.1796555975737766
2001Q2,-0.8922328699818672,-0.45642172363024486
2001Q3,-0.6275637124220478,-0.23482266664671247
2001Q4,-0.36306698110569124,0.14108707761227962
2002Q1,0.4182001109219388,0.6259081387576144
2002Q2,0.5930777307105546,1.0213457881307397
2002Q3,0.5382818061868603,0.9955232470654354
2002Q4,0.6390767035187562,1.0597172710538862
2003Q1,0.6398130485099323,0.9504818926497266
2003Q2,0.5094048990082574,0.8186852292543827
2003Q3,0.9574390248001589,1.1808922835081013
2003Q4,1.2672131327929854,1.520154852545952
2004Q1,1.2801966511634544,1.5099769507711016
2004Q2,1.260440654743695,1.4989730005593853
2004Q3,1.3824895451985832,1.581824698896072
2004Q4,1.8094429255421718,1.7922591193453254
2005Q1,1.560126821424259,1.6607826339863094
2005Q2,1.6077265764599293,1.565146272008275
2005Q3,1.6732411700315912,1.6556052311197944
2005Q4,1.4756921558024736,1.547476018676032
2006Q1,1.5433806623849526,1.4317477681237298
2006Q2,1.9179676107745416,1.5600844782428285
2006Q3,2.16783613480416,1.927385352892459
2006Q4,2.2264722247510274,2.1761391370403436
2007Q1,2.2320212396414814,2.3161140150857444
2007Q2,2.54187891157549,2.4458833945208007
2007Q3,2.444477558321858,2.449925056907126
2007Q4,2.3045122820105473,2.308083205577444
2008Q1,2.6385394081870066,2.3964214512318316
2008Q2,2.221559176533497,2.0326802886165787
2008Q3,2.2307925912651885,1.7188839854392397
2008Q4,1.2222316868905698,0.7346826923064544
2009Q1,0.014896984573203875,0.06773080546802687
2009Q2,0.11814476911443939,0.1106871371316407
2009Q3,0.6239440323265516,0.36835487741510187
2009Q4,1.0125758496291704,0.6813595242477244
2010Q1,1.0656551995585544,0.7684458967095883
2010Q2,1.1036145479702255,0.802981152045757
