,headline_index,headline_yoy,core_index,core_yoy
2005-08,74.5654635119377,1.9412405897031748,75.7565881101292,2.067686438673766
2005-09,74.7738710418237,2.468859918952493,75.8243975335357,2.081306773228908
2005-10,74.8417740995054,2.2921783448003996,75.9393248973044,2.077491863342984
2005-11,74.9980069363953,2.470105653955823,76.0568489731623,2.2504669146859557
2005-12,75.1907261845578,2.6244499445026825,76.2096794912658,2.1181663346689694
2006-01,75.3330238765616,2.238934322929964,76.2512191113232,1.5137592783758702
2006-02,75.4244519262784,2.0707799177380526,76.3897780914495,1.579604351634889
2006-03,75.5467591049823,2.0643936661794537,76.5365829732175,1.817150916634036
2006-04,75.6300044296424,2.047344020101516,76.6809864821974,1.8507634723018196
2006-05,75.8730393080585,2.280705896094437,76.9346773436738,2.1172850387365827
2006-06,75.9790138172025,2.383125723528634,76.993104614648,2.004473576250687
2006-07,76.1598438402281,2.3046599098505594,77.1856221623408,2.1777349244489708
2006-08,76.5429482360787,2.6520115761426544,77.2645928815598,1.9905922495326411
2006-09,76.6415510897632,2.4977709752312283,77.4856899616402,2.1909734625583432
2006-10,76.5032116985618,2.2199334783906233,77.6019852480571,2.189458956872725
2006-11,76.5486260476261,2.0675470916792005,77.779068881209,2.2643850373743613
2006-12,76.7562370938524,2.082053184926047,77.8674845083911,2.1753208098917343
2007-01,76.6050760322145,1.688571744759959,77.9863558163784,2.2755527390611263
2007-02,77.0898695967944,2.2080606858685847,78.2571056945925,2.4444731347531112
2007-03,77.2336232653996,2.2328742892506748,78.5202913540451,2.591843408428307
2007-04,77.5130388218512,2.4897980720873347,78.7659431946736,2.719000899864854
2007-05,77.6367471929092,2.3245515151827822,78.8344103598887,2.4692805400724938
2007-06,77.8748355123177,2.4951912375124286,78.9647062753003,2.56075095363435
2007-07,78.0561890307429,2.4899541476122833,79.1373799866365,2.528654650461526
2007-08,78.0807216143648,2.0090333776316083,79.3086849489571,2.6455741124925325
2007-09,78.4404320930925,2.3471354346970896,79.3661489911883,2.4268468545340705
2007-10,78.8338861595778,3.046505380975817,79.638025623444,2.623696248077456
2007-11,79.2331965561494,3.507013315762242,79.7260858601972,2.503265990445147
2007-12,79.5275358424612,3.610519292680081,79.8930041947465,2.6012393994018446
2008-01,79.5719461292694,3.8729419128926468,80.159457876857,2.7865157151274467
2008-02,79.835554951675,3.56166817928405,80.3483990732149,2.67233672911944
2008-03,80.3108564537169,3.984318044671986,80.9661180575497,3.114897641523595
2008-04,80.7174202218404,4.133990163066437,81.2334256917341,3.1326768867123267
2008-05,81.4208334634734,4.874091725097185,81.4994889006476,3.3806031257067826
2008-06,82.1666770924225,5.5112046810371185,81.7608440808486,3.5409969053768364
2008-07,82.663180191625,5.902147181522799,82.157905080029,3.8168120980281994
2008-08,82.4631822776907,5.612730739055616,82.2521479346582,3.711400570562362
2008-09,82.4732490247685,5.1412477265422085,82.6107975593407,4.088202097990967
2008-10,82.6652078891343,4.859993482753122,82.8067352042262,3.9788901796297127
2008-11,82.8056609730858,4.5087975396836955,83.1168416588883,4.253006731870568
2008-12,82.7941208812447,4.107489316976176,83.4212055238001,4.416158041138729
2009-01,82.5248413331658,3.7109752212158176,83.3011816086936,3.9193425392958448
2009-02,83.0612891199068,4.040473157835955,83.5706803341156,4.010386389857601
2009-03,83.4430769142368,3.9001208539283905,83.7272343779393,3.410212057378148
2009-04,83.6357688231489,3.6155127273491017,83.7836403350618,3.139366118825637
2009-05,83.6657288257725,2.7571510469813543,84.0236627126569,3.0971652044179176
2009-06,83.8033424591355,1.9918845749013814,84.2601572456467,3.0568583200127897
2009-07,84.0303593363943,1.6539154936937805,84.3535283313062,2.672443082790954
2009-08,84.2619687745648,2.181320738771375,84.5080697745692,2.7426904908345096
2009-09,84.2720459282629,2.181067103290868,84.716479656237,2.548918735936123
2009-10,84.3165235372424,1.997594502299882,84.839483505015,2.4548103433560398
2009-11,84.8125308442293,2.4235901840041763,85.0691648486616,2.3488900093023624
