date ,mcpi_monthly_chg,mcpi_ann_monthly_chg
11/1/1997,0.0022291001,2.7
12/1/1997,0.0025220001,3.1
1/1/1998,0.0019960999,2.4
2/1/1998,0.0023612999,2.9
3/1/1998,0.0020134,2.4
4/1/1998,0.0018762,2.3
5/1/1998,0.0024969,3
6/1/1998,0.0025667001,3.1
7/1/1998,0.0026403,3.2
8/1/1998,0.0027673,3.4
9/1/1998,0.002601,3.2
10/1/1998,0.0027391999,3.3
11/1/1998,0.0018094,2.2
12/1/1998,0.0016464,2
1/1/1999,0.0012819,1.5
2/1/1999,0.0014389,1.7
3/1/1999,0.0015227,1.8
4/1/1999,0.0022030999,2.7
5/1/1999,0.0014182,1.7
6/1/1999,0.00098040001,1.2
7/1/1999,0.0019731999,2.4
8/1/1999,0.001947,2.4
9/1/1999,0.002044,2.5
10/1/1999,0.0014005,1.7
11/1/1999,0.0018051,2.2
12/1/1999,0.0021432,2.6
1/1/2000,0.0031544999,3.9
2/1/2000,0.0022922,2.8
3/1/2000,0.0028037,3.4
4/1/2000,0.0018779,2.3
5/1/2000,0.0023473999,2.9
6/1/2000,0.0025818001,3.1
7/1/2000,0.0028194999,3.4
8/1/2000,0.0023654001,2.9
9/1/2000,0.0025220001,3.1
10/1/2000,0.0022235001,2.7
11/1/2000,0.0021834001,2.7
12/1/2000,0.0027063999,3.3
1/1/2001,0.0033352,4.1
2/1/2001,0.0023338001,2.8
3/1/2001,0.0024599,3
4/1/2001,0.0025835,3.1
5/1/2001,0.0028718,3.5
6/1/2001,0.0028885,3.5
7/1/2001,0.0020069,2.4
8/1/2001,0.0031172,3.8
9/1/2001,0.0022897001,2.8
10/1/2001,0.0034216,4.2
11/1/2001,0.0028250001,3.4
12/1/2001,0.0020397,2.5
1/1/2002,0.0022727,2.8
2/1/2002,0.0027768,3.4
3/1/2002,0.0023628999,2.9
4/1/2002,0.0022034999,2.7
5/1/2002,0.0019948001,2.4
6/1/2002,0.0020619,2.5
7/1/2002,0.0018519,2.2
8/1/2002,0.0018851,2.3
9/1/2002,0.0022370999,2.7
10/1/2002,0.0019081,2.3
11/1/2002,0.0015787,1.9
12/1/2002,0.0024765001,3
1/1/2003,0.0017999,2.2
2/1/2003,0.0016318,2
3/1/2003,0.00093370001,1.1
4/1/2003,0.00045970001,0.6
5/1/2003,0.00089209998,1.1
6/1/2003,0.00093109999,1.1
7/1/2003,0.0021991001,2.7
8/1/2003,0.0019436,2.4
9/1/2003,0.0016698,2
10/1/2003,0.00173,2.1
11/1/2003,0.00098330004,1.2
12/1/2003,0.0014868,1.8
1/1/2004,0.0018315,2.2
2/1/2004,0.0023954001,2.9
3/1/2004,0.0022505999,2.7
4/1/2004,0.0020911,2.5
5/1/2004,0.0026425,3.2
6/1/2004,0.0022429,2.7
7/1/2004,0.0014641,1.8
8/1/2004,0.0023634001,2.9
9/1/2004,0.0017715,2.1
10/1/2004,0.0021905,2.7
11/1/2004,0.0012251,1.5
12/1/2004,0.0015822001,1.9
1/1/2005,0.0028077001,3.4
2/1/2005,0.0027125,3.3
3/1/2005,0.0015673999,1.9
4/1/2005,0.0017305,2.1
5/1/2005,0.0026028,3.2
6/1/2005,0.001344,1.6
7/1/2005,0.0024895,3
8/1/2005,0.0018332,2.2
9/1/2005,0.0032935999,4
10/1/2005,0.0027348001,3.3
11/1/2005,0.0023339,2.8
12/1/2005,0.0018191,2.2
1/1/2006,0.0023723999,2.9
2/1/2006,0.0017105,2.1
3/1/2006,0.0025329001,3.1
4/1/2006,0.0023745999,2.9
5/1/2006,0.0035051,4.3
6/1/2006,0.0026282,3.2
7/1/2006,0.00251,3.1
8/1/2006,0.0037719,4.6
9/1/2006,0.0017385,2.1
10/1/2006,0.0029925001,3.7
11/1/2006,0.0024863,3
12/1/2006,0.0022434001,2.7
1/1/2007,0.0024373999,3
2/1/2007,0.0036324,4.4
3/1/2007,0.0022133,2.7
4/1/2007,0.0019525,2.4
5/1/2007,0.0019404,2.4
6/1/2007,0.0026833999,3.3
7/1/2007,0.0023268,2.8
8/1/2007,0.0018025,2.2
9/1/2007,0.0030358001,3.7
10/1/2007,0.0028180999,3.4
11/1/2007,0.0028510001,3.5
12/1/2007,0.0024522,3
1/1/2008,0.002696,3.3
2/1/2008,0.0023506,2.9
3/1/2008,0.0024991001,3
4/1/2008,0.0018486,2.2
5/1/2008,0.0020295,2.5
6/1/2008,0.0033169,4.1
7/1/2008,0.0032649999,4
8/1/2008,0.0024176999,2.9
9/1/2008,0.0026076001,3.2
10/1/2008,0.0018165,2.2
11/1/2008,0.0015994,1.9
12/1/2008,0.0003024,0.4
1/1/2009,0.0019813001,2.4
2/1/2009,0.001769,2.1
3/1/2009,0.0015765,1.9
4/1/2009,0.0015379,1.9
5/1/2009,0.0010718,1.3
6/1/2009,0.00062770001,0.8
7/1/2009,0.0001048,0.1
8/1/2009,0.0013446,1.6
9/1/2009,0.00075880002,0.9
10/1/2009,0.00098659995,1.2
11/1/2009,0.00042900001,0.5
12/1/2009,0.00038320001,0.5
1/1/2010,0.00056499999,0.7
2/1/2010,-8.89e-05,-0.1
3/1/2010,-0.0002387,-0.3
4/1/2010,0.00037640001,0.5
5/1/2010,0.0002295,0.3
6/1/2010,0.0010478999,1.3
7/1/2010,0.00052539998,0.6
8/1/2010,0.00035779999,0.4
9/1/2010,0.0012713,1.5
10/1/2010,0.00093360001,1.1
11/1/2010,0.001092,1.3
12/1/2010,0.0011538001,1.4
1/1/2011,0.0018749,2.3
2/1/2011,0.0023177001,2.8
3/1/2011,0.001442,1.7
4/1/2011,0.0018553,2.2
5/1/2011,0.0019015,2.3
6/1/2011,0.0015916,1.9
7/1/2011,0.0020900001,2.5
8/1/2011,0.0026105,3.2
9/1/2011,0.0020532999,2.5
10/1/2011,0.0016698,2
11/1/2011,0.0015263,1.8
12/1/2011,0.0019574,2.4
1/1/2012,0.00262679,3.2
2/1/2012,0.00139307,1.7
3/1/2012,0.0019948799,2.4
4/1/2012,0.0018846201,2.3
5/1/2012,0.00143206,1.7
6/1/2012,0.00158778,1.9
7/1/2012,0.00172006,2.1
8/1/2012,0.0019977901,2.4
9/1/2012,0.0018858199,2.3
10/1/2012,0.00154927,1.9
11/1/2012,0.00171061,2.1
12/1/2012,0.0014801,1.8
1/1/2013,0.00225662,2.7
2/1/2013,0.00202035,2.5
3/1/2013,0.0010072,1.2
4/1/2013,0.00172429,2.1
5/1/2013,0.0016158801,2
6/1/2013,0.00176383,2.1
7/1/2013,0.0016542,2
8/1/2013,0.00177264,2.1
9/1/2013,0.00184137,2.2
10/1/2013,0.00096464,1.2
11/1/2013,0.00214575,2.6
12/1/2013,0.0023401801,2.8
1/1/2014,0.0019834901,2.4
2/1/2014,0.00193823,2.4
3/1/2014,0.00235182,2.9
4/1/2014,0.0018272999,2.2
5/1/2014,0.0020969999,2.5
6/1/2014,0.00108629,1.3
7/1/2014,0.0019823301,2.4
8/1/2014,0.00144819,1.8
9/1/2014,0.00159871,1.9
10/1/2014,0.00200194,2.4
11/1/2014,0.00186109,2.3
12/1/2014,0.00196479,2.4
1/1/2015,0.0016086324,1.9
2/1/2015,0.0016143346,2
3/1/2015,0.00200551,2.4
4/1/2015,0.0024359722,3
5/1/2015,0.0020608881,2.5
6/1/2015,0.0024438815,3
7/1/2015,0.0015877489,1.9
8/1/2015,0.0013530443,1.6
9/1/2015,0.0024649848,3
10/1/2015,0.0018830126,2.3
11/1/2015,0.0018685767,2.3
12/1/2015,0.0015162248,1.8
1/1/2016,0.0022294716480058,2.7
2/1/2016,0.00209055636329225,2.5
3/1/2016,0.00183307615033312,2.2
4/1/2016,0.00313333251416137,3.8
5/1/2016,0.0026935032737061,3.3
6/1/2016,0.00173615085815459,2.1
7/1/2016,0.00205182327669751,2.5
8/1/2016,0.0022572405743575,2.7
9/1/2016,0.00205847519758939,2.5
10/1/2016,0.0016663311958458,2
11/1/2016,0.0020262908387596,2.5
12/1/2016,0.00168298806155276,2
1/1/2017,0.00281945338165057,3.4
2/1/2017,0.00270307137755355,3.3
3/1/2017,0.00158149083043702,1.9
4/1/2017,0.00128558621039643,1.6
5/1/2017,0.0017441860465115,2.1
6/1/2017,0.00156711681148636,1.9
7/1/2017,0.00175144101451985,2.1
8/1/2017,0.0018761503997915,2.3
9/1/2017,0.00236097983616879,2.9
10/1/2017,0.00199868441556372,2.4
11/1/2017,0.00199495868548394,2.4
12/1/2017,0.00243037115713696,3
1/1/2018,0.00341030172716317,4.2
2/1/2018,0.00166244771028845,2
3/1/2018,0.00162039716265139,2
4/1/2018,0.00241110863505667,2.9
5/1/2018,0.00245153374683804,3
6/1/2018,0.00216740690553929,2.6
7/1/2018,0.00174277586465044,2.1
8/1/2018,0.0018940697148031,2.3
9/1/2018,0.00192427272574491,2.3
10/1/2018,0.0021463655455296,2.6
11/1/2018,0.00305140109164048,3.7
12/1/2018,0.00239468780995766,2.9
1/1/2019,0.00237668891421139,2.9
2/1/2019,0.0024486013161833,3
3/1/2019,0.00263662797825903,3.2
4/1/2019,0.00232784894723692,2.8
5/1/2019,0.00210751136853871,2.6
6/1/2019,0.0024363409116912,3
7/1/2019,0.00262905655210188,3.2
8/1/2019,0.00216223046709096,2.6
9/1/2019,0.00206342312247965,2.5
10/1/2019,0.00219881880135642,2.7
11/1/2019,0.00269135032990331,3.3
12/1/2019,0.00208054077613218,2.5
1/1/2020,0.00296023132148715,3.6
2/1/2020,0.00237440477061557,2.9
3/1/2020,0.00243442468698829,3
4/1/2020,0.00179947196801322,2.2
5/1/2020,0.00238414687008492,2.9
6/1/2020,0.0015160979100135,1.8
7/1/2020,0.00282497141793625,3.4
8/1/2020,0.00214705966636397,2.6
9/1/2020,0.000948652451923326,1.1
10/1/2020,0.00150463219691077,1.8
11/1/2020,0.00120848761132364,1.5
12/1/2020,0.00119518610383884,1.4
1/1/2021,0.00105775517617146,1.3
2/1/2021,0.00201350555426183,2.4
3/1/2021,0.00179170847941568,2.2
4/1/2021,0.00235179473013836,2.9
5/1/2021,0.00274609824827965,3.3
6/1/2021,0.00265728988543956,3.2
7/1/2021,0.00249710499385158,3
8/1/2021,0.00330930748470948,4
9/1/2021,0.00431379230044393,5.3
10/1/2021,0.00576979729547533,7.1
11/1/2021,0.00433865153232893,5.3
12/1/2021,0.00396148277809605,4.9
1/1/2022,0.00514297766784111,6.3
2/1/2022,0.00517992658907973,6.4
3/1/2022,0.00498499847473699,6.1
4/1/2022,0.00554702162939069,6.9
5/1/2022,0.00604987150100711,7.5
6/1/2022,0.00630807076346329,7.8
7/1/2022,0.00562980401861313,7
8/1/2022,0.00624335523116537,7.8
9/1/2022,0.00562365727284209,7
10/1/2022,0.00612985931883925,7.6
11/1/2022,0.00482804332434528,6
12/1/2022,0.00443078803517483,5.4
1/1/2023,0.00547890484585078,6.8
2/1/2023,0.0058521759091783,7.3
3/1/2023,0.00382711886409015,4.7
4/1/2023,0.00402952492796893,4.9
5/1/2023,0.00395577011197235,4.9
6/1/2023,0.00383403420876638,4.7
7/1/2023,0.00263073957089577,3.2
8/1/2023,0.00344077416009614,4.2
9/1/2023,0.00455023294244516,5.6
10/1/2023,0.00373718838114856,4.6
11/1/2023,0.00471087572238948,5.8
12/1/2023,0.00344874730833644,4.2
1/1/2024,0.0044637969001371,5.5
2/1/2024,0.00369074276198078,4.5
3/1/2024,0.00389884080906389,4.8
4/1/2024,0.003388502788644,4.1
5/1/2024,0.00192035679932778,2.3
6/1/2024,0.00210990279017031,2.6
7/1/2024,0.00208075612561576,2.5
8/1/2024,0.00303365307664527,3.7
9/1/2024,0.00339140484085232,4.1
10/1/2024,0.00324872952734179,4
11/1/2024,0.00286189202861875,3.5
12/1/2024,0.00260463189735161,3.2
1/1/2025,0.00321760464925025,3.9
2/1/2025,0.00286888206820524,3.5
3/1/2025,0.00317444314204152,3.9
4/1/2025,0.00315397531317485,3.9
5/1/2025,0.00252325632539341,3.1
6/1/2025,0.00309102863453159,3.8
7/1/2025,0.00276420640104513,3.4
8/1/2025,0.00285129979942589,3.5
9/1/2025,0.00200746814873209,2.4
10/1/2025,0.00116278643203294,1.4
11/1/2025,0.00116278643203294,1.4
12/1/2025,0.00257060038647849,3.1
1/1/2026,0.00193661188723859,2.3
2/1/2026,0.00169723627099772,2.1
3/1/2026,0.00190103312097589,2.3
4/1/2026,0.00401855047525523,4.9
5/1/2026,0.00300346084066416,3.7
6/1/2026,0.00174123999368447,2.1
7/1/2026,0.0025592482739043,3.1
8/1/2026,0.00173673814269359,2.1
