Section/Chart Name,,MCT Common to all,,,,Trend Inflation,,Sector Aggs,,,Sector Specifc,,,,,
Top-Level-Route,,MCT,MCT,MCT,MCT,trend-inflation,trend-inflation,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-aggregates,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific,decompositions#sector-specific
Radio Button Routes,,,,,,,,,,,all: goods,all: goods,all: services-ex-housing,all: services-ex-housing,all: housing,all: housing
column name,Date,MCT,MCT,MCT,MCT,Headline PCE inflation (YoY),Core PCE inflation (YoY),Goods,Services ex. housing,Housing,Goods: Common,Goods: Sector-specific,Services ex. housing: Common,Services ex. housing: Sector-specific,Housing: Common,Housing: Sector-specific
,8/1/1964,0.98,1.23,1.48,-0.6,1.32,1.55,0.17,-0.36,-0.41,-0.17,0.35,-0.11,-0.22,0,-0.4
,9/1/1964,0.96,1.22,1.47,-0.61,1.49,1.41,0.18,-0.36,-0.42,-0.18,0.37,-0.13,-0.21,0,-0.41
,10/1/1964,1.04,1.3,1.54,-0.53,1.36,1.22,0.23,-0.34,-0.42,-0.15,0.39,-0.11,-0.21,0,-0.42
,11/1/1964,1.12,1.36,1.61,-0.47,1.35,1.28,0.3,-0.35,-0.42,-0.12,0.43,-0.08,-0.25,0,-0.41
,12/1/1964,1.12,1.35,1.6,-0.47,1.35,1.28,0.33,-0.39,-0.41,-0.11,0.45,-0.08,-0.29,0,-0.41
,1/1/1965,1.28,1.53,1.8,-0.3,1.25,1.27,0.48,-0.37,-0.4,-0.03,0.5,-0.03,-0.34,0,-0.4
,2/1/1965,1.32,1.59,1.84,-0.24,1.15,1.2,0.52,-0.37,-0.39,-0.01,0.52,-0.02,-0.35,0,-0.39
,3/1/1965,1.25,1.53,1.81,-0.29,1.22,1.16,0.5,-0.41,-0.4,-0.04,0.54,-0.03,-0.37,0,-0.39
,4/1/1965,1.47,1.73,2,-0.09,1.3,1.19,0.58,-0.29,-0.39,0.02,0.55,0.01,-0.3,0,-0.39
,5/1/1965,1.6,1.85,2.12,0.03,1.52,1.29,0.63,-0.23,-0.37,0.06,0.56,0.03,-0.27,0,-0.37
,6/1/1965,1.52,1.77,2.03,-0.05,1.67,1.2,0.53,-0.22,-0.37,0,0.53,-0.01,-0.21,0,-0.37
,7/1/1965,1.21,1.47,1.74,-0.35,1.61,1.19,0.33,-0.3,-0.38,-0.17,0.51,-0.12,-0.16,0,-0.37
,8/1/1965,1.19,1.45,1.73,-0.38,1.56,1.25,0.3,-0.3,-0.38,-0.19,0.51,-0.14,-0.14,0,-0.37
,9/1/1965,1.32,1.6,1.87,-0.23,1.46,1.33,0.35,-0.22,-0.37,-0.14,0.51,-0.1,-0.1,0,-0.36
,10/1/1965,1.46,1.73,2,-0.1,1.42,1.25,0.41,-0.16,-0.35,-0.09,0.52,-0.07,-0.07,0,-0.35
,11/1/1965,1.71,1.96,2.23,0.13,1.45,1.3,0.51,-0.05,-0.34,-0.01,0.53,-0.02,-0.02,0,-0.33
,12/1/1965,2.08,2.34,2.61,0.51,1.67,1.46,0.69,0.15,-0.32,0.11,0.56,0.06,0.07,0,-0.33
,1/1/1966,2.26,2.52,2.8,0.69,1.68,1.35,0.79,0.23,-0.31,0.18,0.59,0.11,0.1,0,-0.32
,2/1/1966,2.48,2.76,3.04,0.93,2.06,1.48,0.91,0.34,-0.32,0.29,0.6,0.18,0.13,0.01,-0.33
,3/1/1966,2.59,2.87,3.14,1.04,2.18,1.55,1,0.35,-0.32,0.37,0.6,0.24,0.09,0.01,-0.34
,4/1/1966,2.94,3.21,3.48,1.38,2.37,1.8,1.19,0.49,-0.3,0.55,0.6,0.37,0.09,0.02,-0.33
,5/1/1966,2.97,3.24,3.51,1.41,2.26,1.88,1.17,0.55,-0.31,0.58,0.57,0.4,0.11,0.03,-0.34
,6/1/1966,3.16,3.43,3.7,1.6,2.22,2.23,1.27,0.62,-0.29,0.7,0.56,0.49,0.1,0.03,-0.34
,7/1/1966,3.27,3.53,3.8,1.71,2.35,2.43,1.33,0.66,-0.28,0.76,0.55,0.53,0.1,0.04,-0.33
,8/1/1966,3.27,3.51,3.79,1.68,2.71,2.43,1.31,0.65,-0.27,0.75,0.53,0.53,0.1,0.04,-0.31
,9/1/1966,3.31,3.57,3.85,1.74,2.99,2.62,1.36,0.62,-0.24,0.8,0.54,0.56,0.04,0.04,-0.29
,10/1/1966,3.3,3.56,3.84,1.73,3.23,2.99,1.37,0.59,-0.23,0.82,0.55,0.57,0,0.04,-0.28
,11/1/1966,3.21,3.47,3.75,1.64,3.21,3.06,1.36,0.51,-0.24,0.79,0.56,0.56,-0.07,0.04,-0.28
,12/1/1966,2.88,3.14,3.4,1.31,3.05,3.06,1.24,0.3,-0.24,0.67,0.55,0.47,-0.19,0.03,-0.28
,1/1/1967,2.46,2.74,2.99,0.91,2.93,3.12,1.03,0.1,-0.25,0.46,0.56,0.32,-0.24,0.02,-0.27
,2/1/1967,2.26,2.52,2.8,0.69,2.63,3.06,0.93,0.01,-0.25,0.38,0.54,0.26,-0.27,0.01,-0.27
,3/1/1967,2.24,2.51,2.78,0.68,2.43,3.08,0.91,0.02,-0.26,0.35,0.54,0.24,-0.23,0.01,-0.28
,4/1/1967,2.63,2.88,3.16,1.06,2.25,3,1.09,0.21,-0.26,0.53,0.56,0.36,-0.17,0.02,-0.29
,5/1/1967,2.74,3,3.28,1.17,2.32,2.95,1.14,0.27,-0.25,0.57,0.55,0.4,-0.14,0.02,-0.28
,6/1/1967,2.96,3.24,3.51,1.42,2.39,2.88,1.25,0.39,-0.23,0.67,0.57,0.46,-0.1,0.03,-0.27
,7/1/1967,3.31,3.59,3.87,1.76,2.54,2.92,1.46,0.51,-0.22,0.82,0.62,0.58,-0.09,0.04,-0.27
