code,description,measure,name,frequency,unit,adjustment,source
A130394077W,Index Numbers ;  All groups CPI excluding Insurance and financial services ;  Australia ;,Index Numbers,All groups CPI excluding Insurance and financial services,Month,Index Numbers,Original,640106.xlsx
A130390192F,Index Numbers ;  All groups CPI excluding Housing and Insurance and financial services ;  Australia ;,Index Numbers,All groups CPI excluding Housing and Insurance and financial services,Month,Index Numbers,Original,640106.xlsx
A130390164W,Index Numbers ;  All groups CPI excluding Medical and hospital services ;  Australia ;,Index Numbers,All groups CPI excluding Medical and hospital services,Month,Index Numbers,Original,640106.xlsx
A130391634W,Index Numbers ;  All groups CPI excluding food and energy ;  Australia ;,Index Numbers,All groups CPI excluding food and energy,Month,Index Numbers,Original,640106.xlsx
A130389933F,Index Numbers ;  All groups CPI excluding 'volatile items' ;  Australia ;,Index Numbers,All groups CPI excluding 'volatile items',Month,Index Numbers,Original,640106.xlsx
A130392950T,Index Numbers ;  Non-Discretionary ;  Australia ;,Index Numbers,Non-Discretionary,Month,Index Numbers,Original,640106.xlsx
A130392929X,Index Numbers ;  Discretionary ;  Australia ;,Index Numbers,Discretionary,Month,Index Numbers,Original,640106.xlsx
A130394266J,Index Numbers ;  Discretionary excluding tobacco ;  Australia ;,Index Numbers,Discretionary excluding tobacco,Month,Index Numbers,Original,640106.xlsx
A130393721F,Percentage Change from Corresponding Month of Previous Year ;  All groups CPI ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,All groups CPI,Month,Percent,Original,640106.xlsx
A130607783A,"Percentage Change from Corresponding Month of Previous Year ;  All groups CPI, seasonally adjusted ;  Australia ;",Percentage Change from Corresponding Month of Previous Year,"All groups CPI, seasonally adjusted",Month,Percent,Seasonally Adjusted,640106.xlsx
A130400382R,Percentage Change from Corresponding Month of Previous Year ;  Trimmed Mean ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Trimmed Mean,Month,Percent,Seasonally Adjusted,640106.xlsx
A130400613L,Percentage Change from Corresponding Month of Previous Year ;  Weighted Median ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Weighted Median,Month,Percent,Seasonally Adjusted,640106.xlsx
A130392363X,Percentage Change from Corresponding Month of Previous Year ;  Tradables ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Tradables,Month,Percent,Original,640106.xlsx
A130395030F,Percentage Change from Corresponding Month of Previous Year ;  Non-tradables ;  Australia ;,Percentage Change from Corresponding Month of Previous Year,Non-tradables,Month,Percent,Original,640106.xlsx
A130397425K,"Percentage Change from Corresponding Month of Previous Year ;  All groups, goods component ;  Australia ;",Percentage Change from Corresponding Month of Previous Year,"All groups, goods component",Month,Percent,Original,640106.xlsx
