Period,Value,id
2021-11,102.06,KO0001
2021-12,102.51,KO0001
2022-01,103.17,KO0001
2022-02,103.59,KO0001
2022-03,103.68,KO0001
2022-04,104.05,KO0001
2022-05,104.57,KO0001
2022-06,105.09,KO0001
2022-07,105.52,KO0001
2022-08,105.84,KO0001
2022-09,105.7,KO0001
2022-10,106.1,KO0001
2022-11,106.35,KO0001
2022-12,106.65,KO0001
2023-01,107.29,KO0001
2023-02,107.6,KO0001
2023-03,107.81,KO0001
2023-04,108.12,KO0001
2023-05,108.51,KO0001
2023-06,108.61,KO0001
2023-07,108.91,KO0001
2023-08,109.16,KO0001
2023-09,109.02,KO0001
2023-10,109.4,KO0001
2023-11,109.4,KO0001
2023-12,109.6,KO0001
2024-01,110.01,KO0001
2024-02,110.34,KO0001
2024-03,110.42,KO0001
2024-04,110.66,KO0001
2024-05,110.91,KO0001
2024-06,110.95,KO0001
2024-07,111.27,KO0001
2024-08,111.4,KO0001
2024-09,111.18,KO0001
2024-10,111.39,KO0001
2024-11,111.44,KO0001
2024-12,111.59,KO0001
2025-01,112.14,KO0001
2025-02,112.29,KO0001
2025-03,112.52,KO0001
2025-04,112.93,KO0001
2025-05,113.1,KO0001
2025-06,113.17,KO0001
2025-07,113.47,KO0001
2025-08,112.84,KO0001
2025-09,113.36,KO0001
2025-10,113.79,KO0001
2025-11,113.64,KO0001
2025-12,113.83,KO0001
2026-01,114.41,KO0001
2026-02,114.87,KO0001
2026-03,114.98,KO0001
2026-04,115.38,KO0001
2026-05,115.97,KO0001
2026-06,115.98,KO0001
2026-07,116.43,KO0001
2026-08,116.64,KO0001
1990-02,0.5667694143382862,KO0002
1990-03,1.3965789994067501,KO0002
1990-04,0.6874527680943876,KO0002
1990-05,0.825605888192138,KO0002
1990-06,0.6771683795985028,KO0002
1990-07,0.27190764680626867,KO0002
1990-08,0.2664129400570925,KO0002
1990-09,0.13522490036059764,KO0002
1990-10,0.4003885427278364,KO0002
1990-11,0.5356552928406089,KO0002
1990-12,0.26757422837695444,KO0002
1991-01,2.1184952831292847,KO0002
1991-02,1.0384192187786523,KO0002
1991-03,1.2818476756585095,KO0002
1991-04,0.5084897630034391,KO0002
1991-05,0.6307249994428332,KO0002
1991-06,0.7485825655563438,KO0002
1991-07,0.7474170147285131,KO0002
1991-08,0.2487453632991521,KO0002
1991-09,0.24595159324394267,KO0002
1991-10,0.49069631109277534,KO0002
1991-11,0.6114556100512036,KO0002
1991-12,0.24266632306833014,KO0002
1992-01,0.6084106343323459,KO0002
1992-02,0.7218448565892377,KO0002
1992-03,1.553845503361373,KO0002
1992-04,0.355975602140024,KO0002
1992-05,0.46672751410554714,KO0002
1992-06,0.115623645035412,KO0002
1992-07,0.11755243457278741,KO0002
1992-08,0.0,KO0002
1992-09,0.23276892019938877,KO0002
1992-10,0.3493701062496246,KO0002
1992-11,0.23141985295622725,KO0002
1992-12,0.23088553798373823,KO0002
1993-01,0.6951381102843879,KO0002
1993-02,0.9130293950927237,KO0002
1993-03,1.4765181455252963,KO0002
1993-04,0.446790423660115,KO0002
1993-05,0.3326182369265407,KO0002
1993-06,0.22362587782964738,KO0002
1993-07,0.11156345416112323,KO0002
1993-08,0.11143912881972362,KO0002
1993-09,0.0,KO0002
1993-10,0.4433074249111435,KO0002
1993-11,0.0,KO0002
1993-12,0.2177590263060747,KO0002
1994-01,1.0961295954990735,KO0002
1994-02,0.9786989061600471,KO0002
1994-03,1.0737362219688462,KO0002
1994-04,0.3196389959575052,KO0002
1994-05,0.4254521600599803,KO0002
1994-06,0.737187861595312,KO0002
1994-07,0.3168016006817931,KO0002
1994-08,0.3121075570658105,KO0002
1994-09,-0.10493952169671195,KO0002
1994-10,0.1050497604128342,KO0002
1994-11,0.31481856509012474,KO0002
1994-12,0.10461018939951217,KO0002
1995-01,1.0340086167384799,KO0002
1995-02,0.20504817724873448,KO0002
1995-03,1.0267646952301535,KO0002
1995-04,0.8084030902149264,KO0002
1995-05,0.4036273115220368,KO0002
1995-06,0.10094391414454673,KO0002
1995-07,0.5006722808010844,KO0002
1995-08,0.4964176950023713,KO0002
1995-09,0.297780658270419,KO0002
1995-10,0.0995476693620212,KO0002
1995-11,0.29485658454881936,KO0002
1995-12,0.49578150821953937,KO0002
1996-01,0.6837458888696579,KO0002
1996-02,0.2905527379007955,KO0002
1996-03,1.0697020605478613,KO0002
1996-04,0.3816275993079765,KO0002
1996-05,0.285554973556601,KO0002
1996-06,0.19038954036934008,KO0002
1996-07,0.1917094088959903,KO0002
1996-08,0.4749995803890572,KO0002
1996-09,0.19043800741704864,KO0002
1996-10,0.18840869681204797,KO0002
1996-11,0.0,KO0002
1996-12,0.0931950939439874,KO0002
1997-01,0.3757585834234023,KO0002
1997-02,0.37435192393697747,KO0002
1997-03,0.6551479446177177,KO0002
1997-04,0.2787159392727112,KO0002
1997-05,0.2763063239814123,KO0002
1997-06,0.18424013173985454,KO0002
1997-07,0.18390131172085766,KO0002
1997-08,0.3687519290436869,KO0002
1997-09,0.367397144984305,KO0002
1997-10,0.18060729201940795,KO0002
1997-11,0.09336016096579414,KO0002
1997-12,0.4535001527748772,KO0002
1998-01,1.8106139438085256,KO0002
1998-02,0.9796213598339376,KO0002
1998-03,0.792600320777348,KO0002
1998-04,0.17457669014955268,KO0002
1998-05,-0.17427245107262124,KO0002
1998-06,-0.17612161661103576,KO0002
1998-07,0.0,KO0002
1998-08,-0.2615532237595697,KO0002
1998-09,0.0,KO0002
1998-10,0.0,KO0002
1998-11,-0.08689580262238872,KO0002
1998-12,-0.17394275419714278,KO0002
1999-01,0.0,KO0002
1999-02,0.08712292110708564,KO0002
1999-03,0.1740941662910167,KO0002
1999-04,-0.08689580262238872,KO0002
1999-05,-0.08697137709856584,KO0002
1999-06,-0.08704708314550835,KO0002
1999-07,-0.09023445400377916,KO0002
1999-08,0.0,KO0002
1999-09,0.0,KO0002
1999-10,0.17751755710926354,KO0002
1999-11,0.0,KO0002
1999-12,0.0,KO0002
2000-01,0.5658060404458043,KO0002
2000-02,0.20248234075768146,KO0002
2000-03,0.7064848522243539,KO0002
2000-04,0.10109364948074351,KO0002
2000-05,-0.29991431019708026,KO0002
2000-06,0.0997605746209107,KO0002
2000-07,0.401711105318836,KO0002
2000-08,0.19852480796542782,KO0002
2000-09,0.4983768460518512,KO0002
2000-10,0.10009099181074177,KO0002
2000-11,0.0,KO0002
2000-12,0.2969427021785931,KO0002
2001-01,0.891211745868703,KO0002
2001-02,0.39226254641273606,KO0002
2001-03,0.6830315864825298,KO0002
2001-04,0.2917999763005108,KO0002
2001-05,0.19199810955707886,KO0002
2001-06,0.09876324827902128,KO0002
2001-07,-0.09866580272731573,KO0002
2001-08,0.19457833989298123,KO0002
2001-09,0.19272925218107861,KO0002
2001-10,0.0,KO0002
2001-11,0.09397668203576792,KO0002
2001-12,0.2890003814218334,KO0002
2002-01,0.3847110278952126,KO0002
2002-02,0.28560603852767485,KO0002
2002-03,0.855830984278283,KO0002
2002-04,0.47254757891401766,KO0002
2002-05,0.1878432440958422,KO0002
2002-06,0.0,KO0002
2002-07,0.09446114212108281,KO0002
2002-08,0.18588423701668688,KO0002
2002-09,0.28116347443838396,KO0002
2002-10,0.28037516189174383,KO0002
2002-11,0.1845018450184588,KO0002
2002-12,0.27907635642443474,KO0002
2003-01,0.3701244578806939,KO0002
2003-02,0.27586595166715355,KO0002
2003-03,1.0105972348936731,KO0002
2003-04,0.273744181199187,KO0002
2003-05,0.0900751087830054,KO0002
2003-06,0.09137857034073882,KO0002
2003-07,-0.09129514614140133,KO0002
2003-08,0.09137857034073882,KO0002
2003-09,0.27111891884414874,KO0002
2003-10,0.0,KO0002
2003-11,-0.08966877733173062,KO0002
2003-12,0.5426377996244236,KO0002
2004-01,0.27054121977010404,KO0002
2004-02,0.08902402279014066,KO0002
2004-03,0.8059770932826282,KO0002
2004-04,0.08959113862190282,KO0002
2004-05,0.08815471831178368,KO0002
2004-06,0.08807707421509825,KO0002
2004-07,0.3547059460630386,KO0002
2004-08,0.08903758465315104,KO0002
2004-09,0.0,KO0002
2004-10,0.0,KO0002
2004-11,-0.0889583782617942,KO0002
2004-12,0.3548012842996995,KO0002
2005-01,0.7931280162389642,KO0002
2005-02,0.20005601568440223,KO0002
2005-03,0.5031346084734212,KO0002
2005-04,0.10197730011787254,KO0002
2005-05,0.0,KO0002
2005-06,0.0,KO0002
2005-07,0.0,KO0002
2005-08,0.19977773073664995,KO0002
2005-09,0.0,KO0002
2005-10,0.0,KO0002
2005-11,0.1003499042714795,KO0002
2005-12,0.19786046879739505,KO0002
2006-01,0.1987862192440737,KO0002
2006-02,0.2982446920327897,KO0002
2006-03,0.6916517114450071,KO0002
2006-04,0.09887207774466056,KO0002
2006-05,0.29632325227766376,KO0002
2006-06,-0.09977841417114774,KO0002
2006-07,0.19716190624432528,KO0002
2006-08,0.0,KO0002
2006-09,0.1967739429873383,KO0002
2006-10,0.0,KO0002
2006-11,0.1950954805033822,KO0002
2006-12,0.09800255322440776,KO0002
2007-01,0.2911433172302802,KO0002
2007-02,0.48554289604501033,KO0002
2007-03,0.7733704892047832,KO0002
2007-04,0.19154172057740393,KO0002
2007-05,0.0949547382414373,KO0002
2007-06,0.0,KO0002
2007-07,0.1922590437642313,KO0002
2007-08,0.09468262384486614,KO0002
2007-09,0.0,KO0002
2007-10,0.19170860292354597,KO0002
2007-11,0.09315323707499434,KO0002
2007-12,0.18990605309823216,KO0002
2008-01,0.47574814219724093,KO0002
2008-02,0.37729720275350154,KO0002
2008-03,1.128881697678752,KO0002
2008-04,0.1858415792842072,KO0002
2008-05,0.3709936980209383,KO0002
2008-06,0.1848112110641953,KO0002
2008-07,0.4630082095387067,KO0002
2008-08,0.0,KO0002
2008-09,0.3672402261810648,KO0002
2008-10,0.09207991567417029,KO0002
2008-11,0.36555989977364867,KO0002
2008-12,0.36422842670202904,KO0002
2009-01,0.0,KO0002
2009-02,0.45543578836055865,KO0002
2009-03,0.4509785157184476,KO0002
2009-04,-0.09050528145950754,KO0002
2009-05,0.36115713315136855,KO0002
2009-06,0.17933491686459302,KO0002
2009-07,0.09009970243387677,KO0002
2009-08,0.08883414073694862,KO0002
2009-09,0.1786939954083966,KO0002
2009-10,0.0,KO0002
2009-11,0.26697222780054375,KO0002
2009-12,0.17907845285642932,KO0002
2010-01,0.2481447942515036,KO0002
2010-02,0.20177846601441285,KO0002
2010-03,0.0,KO0002
2010-04,0.1006860701992629,KO0002
2010-05,0.20116959064326867,KO0002
2010-06,0.09921561303576354,KO0002
2010-07,0.2017328031530985,KO0002
2010-08,0.20016292330966579,KO0002
2010-09,0.0987201226452239,KO0002
2010-10,0.0,KO0002
2010-11,0.0,KO0002
2010-12,0.29934908976991803,KO0002
2011-01,0.4962693041818511,KO0002
2011-02,0.3948246886295026,KO0002
2011-03,0.2958138894940232,KO0002
2011-04,0.19548442412118394,KO0002
2011-05,0.3924879629418232,KO0002
2011-06,0.19434026593931897,KO0002
2011-07,0.19509760551716937,KO0002
2011-08,0.19471771591590414,KO0002
2011-09,-0.09716965143211631,KO0002
2011-10,0.0,KO0002
2011-11,0.19339734672412234,KO0002
2011-12,0.194152838920858,KO0002
2012-01,0.23208129605012395,KO0002
2012-02,0.38665587627011444,KO0002
2012-03,-0.29783231816552513,KO0002
2012-04,-0.029198391842433224,KO0002
2012-05,0.29880925634688804,KO0002
2012-06,0.10639965952108366,KO0002
2012-07,0.008950448081801454,KO0002
2012-08,0.16333105863137742,KO0002
2012-09,0.09605182330931772,KO0002
2012-10,0.04797982615682983,KO0002
2012-11,0.1527926481085018,KO0002
2012-12,0.15255954833464092,KO0002
2013-01,0.40138762258445926,KO0002
2013-02,0.2569242184298881,KO0002
2013-03,-0.1424926268350113,KO0002
2013-04,-0.06637021304838342,KO0002
