,Motor vehicles and parts,Furnishings and durable household equipment,Recreational goods and vehicles,Other durable goods,Food and beverages purchased for off-premises consumption,Clothing and footwear,Gasoline and other energy goods,Other nondurable goods,Housing excluding gas and electric utilities,Gas and electric utilities,Health care,Transportation services,Recreation services,Food services and accommodations,Financial services and insurance,Other services,Final consumption expenditures of nonprofit institutions serving households (NPISHs)
1977-11,7.545291352969086,3.8212028765585604,2.8902480516260987,3.7960528053290865,9.084538747239845,9.29738741591315,11.521141930874968,4.99426350805916,7.973467187900529,11.667381256181653,7.5112015835385515,1.8115975355341707,5.587877954916909,5.29034238971835,10.396655265186983,5.782337011117855,-1.176006138805663
1977-12,11.533751745442578,8.430524151449648,8.218170304192007,12.094672324432976,4.662368792541383,2.960477390708638,8.115191868580297,5.015600294221767,6.954082105541848,-2.3948257638997106,7.059240631541797,14.655394849422954,3.677250959020273,5.641433212697189,-0.4337081361265316,5.433064010416455,2.4528613841874103
1978-01,8.86081137979624,-1.0517285187404801,5.0087332021296005,6.356036412461963,11.803832591012275,-3.1365110165274768,-0.7234799089265276,5.03659690995919,6.13338016518048,-3.0644053576605157,11.609628902681312,5.80809191474716,8.895601387728668,6.256454351116836,33.22206787896083,3.1928678790998033,24.04321086633001
1978-02,4.657626048138153,2.8482990245447315,0.6316178636052827,2.5089143884380327,13.38915869602506,-14.59404440524209,-5.854902001148899,3.771427319076359,5.823108259535137,15.916768704916183,11.003038212398186,13.364834190494745,5.890991925601741,11.122886239787832,13.292269520243138,5.128776989754358,-10.476211558703696
1978-03,5.89429589449173,8.172309124836508,6.207715827320093,5.271177062593635,16.551336837732443,6.70499123769106,2.4783972259142972,4.419339832118796,5.340942116648506,14.54788373568434,7.920388178756799,-3.156281826557983,6.0549094874622345,9.544065093739995,19.19671139514083,5.476948183305863,1.0249751188032175
1978-04,2.160619645253292,10.886029199192127,11.654013554916887,0.3933346517242864,21.65182625037354,12.676599280137868,-3.7331786363128616,2.8483094528410025,5.559153607410505,13.908974333124547,7.3162688038817425,5.997836987466232,10.62206076434613,10.334561077045956,21.56357686728918,8.171144862483803,6.756746878370712
1978-05,8.179037778545094,6.167433707392367,3.030126075446171,13.578089016020956,20.37688143383809,6.899339096767854,2.1613670844788047,5.093444508629119,8.220199292598585,12.693057947618591,7.271950697029839,7.421495690507651,4.180192218143808,12.418661335311509,4.1027920561443665,6.3087782455437225,9.866579386509521
1978-06,10.583624960331539,6.8014717109134315,-0.8268710690251035,11.313567614866793,18.498300021860725,2.869357746841361,3.064494596105094,4.251424630874201,5.458655547654145,1.836117550359928,4.1601492507310045,3.8625083743149213,4.961298616321286,12.998304027083885,5.217349790498882,13.188331325060076,21.66884869502852
1978-07,8.851871301287373,3.210176578956414,1.9421705066579698,7.266514093581344,4.769821694728926,-3.9645989707138396,7.858275871095133,14.354362916575703,5.863379396519308,0.6370451219378959,12.670343741617973,8.809295107578642,6.210566441790877,11.305824694204581,0.4049564248681081,7.724156228075607,24.76642772610258
1978-08,8.530900570675959,8.215412400836497,2.851672029139829,7.268128018998121,2.131418585858813,0.9401688782348039,14.34575961719915,3.9069606901243947,5.573853369137161,2.889867428494197,13.42315292220604,5.611925827248321,7.83658848376001,12.898757880583322,8.049694223035697,6.5315234373612086,-17.632472883858185
1978-09,5.907643806655449,8.409367493011066,2.9954822168401174,8.333607052265268,4.3994054895851065,0.885533820508333,16.50509990365414,5.832026895498865,10.720468197227873,5.037512448660619,6.825438716899179,12.674792568207938,10.179225719733198,7.235316370099287,3.2594802864266192,3.90292043995748,32.69043289373652
1978-10,8.075468113291118,10.29758198482973,4.616041429782003,9.867510953848813,8.729436744264918,4.108048313928325,24.59131771672012,5.641898514484467,7.989891294188833,16.972747594220692,13.515497306634593,18.79689314799704,6.180762787223881,9.829370888108645,21.218041195349425,6.321230527509769,-0.07667976239412733
1978-11,8.52307329975799,5.497450551666816,3.4465461145247733,13.56692433090101,6.230779397434771,0.7210303903624427,22.003461636921774,6.504636579354739,8.630961129684156,0.6442759931495123,15.5854791943709,-11.842397633212453,4.273474266886668,10.668432307301012,10.595682738949908,4.269569834556175,-14.564633859407895
1978-12,9.51546035832247,4.96859635125817,6.37613985812977,-4.579608500244447,6.061676591913412,-1.8985518276351532,21.841790124164806,5.066024002843417,5.992018681468125,8.894987214747685,3.587699435804237,3.8764846052622204,11.48583907585381,9.41236406969772,-7.621619601481433,7.5406262205022445,20.51866356426222
1979-01,3.5973320411252674,4.908600939278052,4.569605950873967,3.468020624208412,26.54211627381242,4.084380425008272,11.274808451957007,10.820936517500247,6.483558351966945,16.229513073769787,17.479615503381375,9.243424386739951,7.720550147490757,10.039488277806363,-20.075776419864198,7.493558251073207,22.445319322679435
1979-02,13.537569255030203,10.778710314338348,4.029732928592522,13.801699565921432,19.78238565892776,-2.0777787451515373,12.009995599578849,7.465557619064356,5.243377834429208,10.236487868455146,8.704527213600265,12.397755806019228,-3.3335490355743236,13.796404362639203,-32.79726701302608,6.438977463649187,-1.346025671157347
1979-03,8.3285756593529,6.074472056337354,6.969175931823579,3.6943887816452747,9.149033663891126,2.801890582216804,69.65799899856056,7.180125698649409,5.151724095670085,8.027178486598107,7.263735950526273,7.474314715482944,10.72190072433945,12.177811516940418,11.674037809557136,7.105501215246202,5.56060807217913
1979-04,13.570725535533757,5.288363839838861,10.677132562756775,6.882842061559802,6.364654249723656,5.983655097629059,79.57793487920648,3.512340140763781,4.962119048240687,7.442327689946948,5.937201856613927,14.118341980590987,9.974341999684233,10.773100886140208,86.2765185296261,8.671752859189308,17.81686610818136
1979-05,4.828247373025918,2.1166099360858226,2.149728771069137,9.233135404105465,8.665561512454412,6.610304474152784,78.5072401259093,5.197861192153441,13.405524033019267,9.422996514138827,7.041810979343643,10.476949849242502,9.24857383468487,14.629531385370242,54.49459088531421,8.860938773471027,-0.3797697497331276
1979-06,4.161840526605642,3.3367282898708384,1.470973286084476,6.0687168343076525,3.508466033730162,1.0559332868870452,105.69968695891161,4.136449249275187,8.054480254450302,20.79980787715996,7.142397490687613,6.7514227889575285,7.014529200464259,8.64564989414507,10.954181648487783,8.945954823696912,38.14007839000375
1979-07,4.400329272039127,4.932729816968107,3.336200503238307,11.61041977767896,5.978010919611032,-0.20978554882914446,85.59631903507766,6.982407298153603,8.021876658938076,15.991780778510801,11.039091793597722,15.08883555107019,3.476075887656749,9.999311378498321,-8.011115792523803,6.765015611328007,16.931091253488685
1979-08,2.971548679488545,4.529880848694012,5.250651927140559,12.46611628519998,-3.754769030536542,-1.8094045991326357,75.59698094680873,9.736842617692876,12.721111158397447,18.87929553811063,11.589343691820808,15.544997975169771,7.396739267318675,8.28107463194765,3.429513508785176,10.66902884106331,8.030943186499906
1979-09,3.2129396884426065,4.006570102962614,6.3611233403628065,21.478779769632283,8.563165867780697,3.6893903299654918,62.85479071391791,5.429920466471216,12.63216927235431,15.444435654768473,9.344191067431652,18.524362850102328,3.615973324004651,6.849895874351386,5.540173922642233,8.215891639994389,33.87116334626099
