,lower,median,upper
1977-06,6.226463219461628,6.631350051608028,7.037668617266117
1977-07,6.019024939951224,6.403795664520243,6.8326037568710385
1977-08,5.873473358004753,6.253479781676273,6.676983137209856
1977-09,5.61222239342088,6.046695428628495,6.425918790438471
1977-10,5.549188158571017,5.948941840892125,6.334219994414928
1977-11,5.611013508045101,6.018205530232194,6.41307413337805
1977-12,5.759772234659058,6.155864494253944,6.5549621456024605
1978-01,5.861724695179696,6.26170816919558,6.647316689783466
1978-02,6.077839043572882,6.491448275399821,6.890564798319353
1978-03,6.246306223607088,6.65898791080744,7.058314791854479
1978-04,6.522133336691135,6.920177808402675,7.34191592024722
1978-05,6.600540411570025,6.996078718426357,7.384907197532001
1978-06,6.556860496302752,6.964316956285729,7.3650825290841215
1978-07,6.597720426897986,7.023007263251655,7.446353361791075
1978-08,6.711767949844646,7.099063666938478,7.523967377932717
1978-09,6.8082893230848125,7.223080196957922,7.596131190247778
1978-10,7.0307322136406105,7.433227114514394,7.844015286134209
1978-11,6.820703012294416,7.251059569839671,7.670912979631034
1978-12,6.740239373336265,7.187293651876896,7.600597486135215
1979-01,7.149918801166928,7.588606724745523,8.042284391835476
1979-02,7.175905847307799,7.6202162720167355,8.05291980949793
1979-03,7.073299192326097,7.49475489148227,7.899561628915412
1979-04,7.005129828208828,7.427410956888165,7.848016611046494
1979-05,7.071048991559578,7.509201059024732,7.939219066847483
1979-06,7.075963043129362,7.5128839066846265,7.92403448843027
1979-07,7.43478472299347,7.853693959460381,8.273014865377217
1979-08,7.821402087832185,8.233871466990953,8.652785379913855
1979-09,8.05793509166541,8.488763617322274,8.93601188652916
1979-10,8.538476403234565,8.991643363067102,9.449946264939234
1979-11,9.043937907764601,9.479874517568039,9.93378161826992
1979-12,9.323665939240941,9.781176473416464,10.253780337920963
1980-01,9.65539381847717,10.13010451618555,10.575772297821644
1980-02,9.927188809304393,10.372616657593287,10.86930683651574
1980-03,9.659107162251544,10.088826100855659,10.537158189335715
