,headline_yoy,official_core_yoy
2006-11,2.0976113517790607,2.29254329846591
2006-12,2.0899913084174715,2.1905978067692677
2007-01,1.6814876845981042,2.2847908345595913
2007-02,2.1703081678406955,2.4757987398315473
2007-03,2.158861619212149,2.558965485839182
2007-04,2.4492108244841937,2.6539126366271093
2007-05,2.3484549638395746,2.4478107060942556
2007-06,2.5480224500013193,2.550133603133853
2007-07,2.539403404244145,2.5451156046915058
2007-08,2.039271968164913,2.642208010770797
2007-09,2.3247645314044885,2.440631540866711
2007-10,3.015843965697562,2.6370190444197528
2007-11,3.5178981937602494,2.5325922964835046
2007-12,3.6058573898464896,2.626731078904987
2008-01,3.8903994980129752,2.815634995054661
2008-02,3.575833906799808,2.7048792647228037
2008-03,3.938603738510804,3.067204505670129
2008-04,4.116459407672246,3.0613407609039855
2008-05,4.874351199958893,3.3455603339235918
2008-06,5.5437072819774835,3.536554515557788
2008-07,5.903959863823682,3.816340958440634
2008-08,5.6132364975450155,3.718137904070007
2008-09,5.1083847180726005,4.099032628299715
2008-10,4.81580650482849,3.9955185740001786
2008-11,4.532822354478894,4.278545646623821
2008-12,4.139012149024657,4.459981924081147
2009-01,3.7472317294141355,3.9653686143697575
2009-02,4.104248411076705,4.046300329827623
2009-03,3.881264360678127,3.3488406439226237
2009-04,3.5819273239297234,3.0637691485571716
2009-05,2.7342888643880903,3.0536686861269313
2009-06,1.992672030772602,3.048035574667707
2009-07,1.6181855535548184,2.6655317079102625
2009-08,2.1622799583524976,2.7567337508360046
2009-09,2.160318362706093,2.5636987048232918
2009-10,1.981888181311886,2.4693450183385313
2009-11,2.4388467374810263,2.3686908279563434
2009-12,2.800606980273135,2.1798430609130337
2010-01,3.518496058217102,2.4333970222430557
2010-02,2.98392437834909,2.1747452031197545
2010-03,2.458153993304646,1.7160277708311078
2010-04,2.5983162815101046,1.910676186276028
2010-05,2.7020581431399293,1.7482185273159034
2010-06,2.6889292022723943,1.6668444950267425
2010-07,2.530742335228209,1.7802361803688438
2010-08,2.681788016685638,1.8934463089631093
2010-09,3.407570537183724,1.812103528522302
2010-10,3.682554757523593,1.812103528522302
2010-11,2.988718240424726,1.541017212738116
2010-12,3.033702557804485,1.6629229339887752
2011-01,3.44108446298228,1.9145491659041225
2011-02,3.939291184827476,2.110895169410165
2011-03,4.133215085885,2.412953380007954
2011-04,3.816785021094593,2.50994152046784
2011-05,3.911619914545783,2.7056681296105944
2011-06,4.217756650898985,2.8032697039308774
2011-07,4.509708400027845,2.796462236704289
2011-08,4.68567867323737,2.790875937841153
2011-09,3.759002484628504,2.5897177068467503
2011-10,3.5620641881447535,2.5897177068467503
2011-11,4.174625457390735,2.788123498903561
2011-12,4.158118531592758,2.6803169645439384
2012-01,3.345868068140634,2.4103874576973716
2012-02,3.032893848715301,2.402054645309981
2012-03,2.6625428629059478,1.795941697627912
2012-04,2.55247691015954,1.5676699450060338
2012-05,2.5386325798630205,1.472894647118994
2012-06,2.195829151332651,1.3838318530869698
2012-07,1.4761048589376546,1.1954762093441929
2012-08,1.2656134587187395,1.1637760578498302
2012-09,2.087839329066421,1.3594363202479087
2012-10,2.0907040509464014,1.408068401587892
2012-11,1.6314312854838864,1.3669714414719536
2012-12,1.4260720298418628,1.3248912823054848
2013-01,1.6286359352052582,1.496043521266066
2013-02,1.5831768353932851,1.3648781798638598
2013-03,1.4604754731809555,1.522808436089207
2013-04,1.3296217455379011,1.4850595371826536
2013-05,1.1485359979949594,1.5668749860000553
2013-06,1.1687163762153618,1.5171009498663013
2013-07,1.6154081721935443,1.5270335276152736
2013-08,1.5056338794839697,1.313452839671636
2013-09,0.980413351781384,1.5230805280012527
2013-10,0.8609579917477905,1.589266595289085
2013-11,1.2009433654671664,1.691517911827245
2013-12,1.1434770816382,1.604438613266912
2014-01,1.080579760158762,1.4828514158517825
2014-02,1.0124895204110196,1.393997636168831
2014-03,1.2920647215767467,1.7366872414326995
2014-04,1.4985510056774842,1.9481525757676366
2014-05,1.6655354815078294,1.8084578485968006
2014-06,1.6589364685578811,1.7126420313653856
2014-07,1.5897275829036994,1.8820107102717198
2014-08,1.4082241146313734,2.0725160123910014
2014-09,1.146447724766908,1.6705866836656202
2014-10,1.1499559774089008,1.6116106225779303
2014-11,0.9654624339533457,1.3359614542269194
2014-12,0.8334316575314471,1.3996344973243868
2015-01,0.9740744692200876,2.448765795848873
2015-02,0.6458821025750128,2.3988757312649156
2015-03,0.47051076439412753,2.353977297438359
2015-04,0.43624089838028013,2.271394757985701
2015-05,0.5520880797719618,2.22908204711616
2015-06,0.7013411425176086,2.225569123749871
2015-07,0.7352785370711823,2.5069758387229246
2015-08,0.7001512411291211,2.5682841744878004
2015-09,0.5037570113239465,2.4279506194192724
2015-10,0.8078127487925135,2.473070648357223
2015-11,0.8200819018241878,2.5534903825372712
2015-12,1.1318426483415855,2.6451543276494904
2016-01,0.6223386832623579,1.7820242431989097
2016-02,1.1132608075105521,1.901164955582746
2016-03,0.8425303395492412,1.8781138128472374
2016-04,1.0018494055482163,1.9969424804127556
2016-05,0.7798503530403567,2.0332051322801803
2016-06,0.7396558808964393,2.0944406168848406
2016-07,0.3691628102650446,1.8453260181472864
2016-08,0.4873284110363141,1.8311238404110863
2016-09,1.3489038182086244,1.9946808510638236
2016-10,1.4879009329654913,1.8535309870737704
2016-11,1.5308167872892575,1.693307903859731
2016-12,1.3379615020511215,1.600235514293824
2017-01,2.2408434139784994,1.7508241326984253
2017-02,2.0828105395232166,1.7759077906078558
2017-03,2.27689662763515,1.6651895104530468
2017-04,1.9555732267481307,1.5841790268019684
2017-05,2.0035553696538866,1.5409856493115326
2017-06,1.806277520368993,1.4617788436581902
2017-07,2.167010719787066,1.507319044017863
2017-08,2.4885813727437034,1.4662695950697024
2017-09,2.0000623396053907,1.368970013037818
2017-10,1.76179458180723,1.595172042565518
2017-11,1.1534025374855927,1.3418298621904468
2017-12,1.4074858317244754,1.3784111017975276
2018-01,0.7600188977671785,0.991483934669013
2018-02,1.2526630612913703,1.1540473723623546
2018-03,1.2155998565059223,1.338434083403417
2018-04,1.528088503930558,1.4334457001752066
2018-05,1.469050499251634,1.3815883664328288
2018-06,1.4804084735663414,1.257559168721678
2018-07,1.118985835752162,1.00322501632919
2018-08,1.4318056660343803,1.030307971383726
2018-09,2.0871531597604243,1.1197876792732098
2018-10,2.002508233326883,1.010749401395894
2018-11,2.037042743998274,1.2371555646439214
2018-12,1.320395504513927,1.0524166794263268
2019-01,0.7930197949157058,1.0499837053935313
2019-02,0.46128167518082464,1.1023446373519263
2019-03,0.3746797500784771,0.7458985699393628
2019-04,0.5559430310013935,0.7060891349145448
2019-05,0.6799422099637242,0.5729445111310572
2019-06,0.7208009799653858,0.6871602093817542
2019-07,0.6055380870270799,0.8790809057564797
2019-08,-0.037200136735648925,0.8392426641919748
2019-09,-0.42605841091188923,0.47646928186388937
2019-10,0.0,0.6294319981439811
2019-11,0.15201852411155237,0.5241630056052271
2019-12,0.73847335030508,0.6303284981211466
2020-01,1.2196108571659758,0.6218316317789352
2020-02,0.8548901934327446,0.3761472491097928
2020-03,0.8262628504555058,0.20694366310376466
2020-04,0.019099124455923544,0.09529063644115876
2020-05,-0.212740336370576,0.22566571385589373
2020-06,0.22012041290166984,0.3833878640679078
2020-07,0.44663111093188324,0.33354367619218284
2020-08,0.7694241890872533,0.3911212475867565
2020-09,0.9479527827324308,0.6289308176100628
2020-10,0.1389430333563313,-0.2616252844297784
2020-11,0.6121771996662861,0.6289308176100628
2020-12,0.6127217481121994,0.642441276852046
2021-01,0.9491457688080684,0.7211538461538547
2021-02,1.417731629392982,0.6295593084840734
2021-03,1.9011406844106515,1.0726817042606474
2021-04,2.492462311557797,1.2225673915222002
2021-05,2.62469831053902,1.1908335835084438
2021-06,2.3468057366362594,1.1197760447910543
2021-07,2.6397671384121413,1.27782769292204
2021-08,2.555145224074251,1.335193304105231
2021-09,2.4121500893389047,1.417731629392982
2021-10,3.164304252345773,2.341708542713561
2021-11,3.776601059046869,1.8969648562300323
2021-12,3.6977972690122707,2.2441651705565446
2022-01,3.7707838479809963,2.595465393794738
2022-02,3.780271707028948,2.869910625620653
2022-03,4.183032207384119,2.8367387423130497
2022-04,4.755834477348486,3.0096030096030013
2022-05,5.340519353258211,3.4117879746835333
2022-06,6.036256736893675,3.9054775558631682
2022-07,6.327009583414833,4.011828486939373
2022-08,5.722627737226271,4.070796460176984
2022-09,5.476398177764841,4.055916518999814
2022-10,5.621673923560722,4.193263281940496
2022-11,5.0062578222778376,4.203409758965315
2022-12,5.017301038062283,4.038630377524144
2023-01,4.978540772532192,3.9934089367064107
2023-02,4.6575602352494805,3.8710300222029037
2023-03,4.165881244109326,3.9834104938271553
2023-04,3.6881025929046185,3.9115809706871785
2023-05,3.3767441860464986,3.767811035669899
