,Food and non-alcoholic beverages,Alcoholic beverages and tobacco,Clothing and footwear,"Housing, water, electricity and other fuels","Furnishings, household equipment and routine household maintenance",Health,Transport,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services
2016-04,0.5880960261351875,0.7175079332212064,0.472303061898538,0.5992117570834843,-5.066202129018327,0.7184559712452909,5.263952648038228,14.813447787521628,4.51596071523781,1.4285256712823768,3.3460493426180404,0.11561001746072108
2016-05,-11.758288779883742,0.1109632629381796,5.697591982980166,-3.078926787416414,-2.6858894387422505,0.23469697435447578,10.185524639083866,0.0,21.949222477918173,1.537352339559872,1.655823960594427,3.045686215076304
2016-06,-17.200433004920324,-1.8811476225905954,0.11111853052996334,1.8240503652595885,9.151295545465366,0.23465108112665778,22.14971798670957,0.0,-9.52182786803264,0.2422821817066101,1.178562637323477,-0.46002389754443707
2016-07,-0.10935683422662601,-0.48025275359649955,-8.246493663708488,-22.966026277751972,1.540741515511379,-0.23410175881866113,8.341978308032205,0.0,29.331028970245598,0.5944270138865004,2.8471307707354176,-3.751403831357103
2016-08,17.801368997176482,3.143321227751672,8.987660518916684,1.615919703223545,-0.46624613365947587,-0.9458081932082418,-5.999098344723719,0.0,8.160467204942812,0.4726189875532638,2.0043993006788607,-0.23107772606856258
2016-09,76.926992530646,-2.1218066233183897,0.2470608788364137,0.6119698054557032,2.8538602374824196,0.47017979019914335,-4.873972949181338,0.8453148255318288,-13.654887994614784,1.545961389328232,0.11670564545680495,1.4100903182387325
2016-10,-15.335526560563107,1.0785744943708542,1.0536603958223756,32.27408816299784,-5.825135066371057,-0.7012155549034227,0.48960010827256983,0.47863611883605106,-9.562118007043253,0.47182802424940995,1.1725742454995691,-1.6183917647022206
2016-11,-16.42326611485344,1.9272726409444996,-0.34457617016241393,7.072204113857339,-1.871109152437045,1.4294130828695017,2.095154944267663,-5.580739232300147,-10.059463283116676,0.22952047385691454,0.58415157645888,2.233820061420455
2016-12,13.479750777733779,-0.23356218027510423,5.419404717459719,-11.216290074268331,0.9428684409576782,0.7177447080912724,11.806106006971206,0.0,-2.1091553441272226,0.47155228732165266,2.3542706611149766,-5.539025137242026
2017-01,42.89509704159913,5.358295085718745,-6.037448304123128,3.6888375587512012,-9.057581926234581,13.075499609200403,27.00775041064116,-0.47863611449268095,20.430508837463357,3.466966088229251,5.724262872843067,46.44149262341095
2017-02,1.1250442146505168,9.25569100337924,7.673106175146827,7.080970431836042,14.605475869350592,0.0,7.08480430321885,0.0,-9.905620745339249,1.8922871335292246,3.16897866868171,1.256199347678666
2017-03,-10.028778297456476,0.8303521520005352,0.35621575153392815,4.142674136192004,7.672986070691024,-1.1771411253513664,-2.213200673815885,-8.525326370076325,-3.9391420466239335,2.96945085299396,3.398357792092588,0.45010708538848476
2017-04,-12.035662276719084,2.2474545958553582,-10.658446838437941,1.0768612237118225,-3.2282334766280285,-3.697570596930322,-5.402820380082907,9.971159442592237,20.354014784783423,1.0591783746823014,2.0911696290780712,-5.055074072125798
2017-05,-3.8062091345754334,-2.0909974165369882,16.85691809518395,4.252449163259975,7.403644098339801,0.35588425149462033,-0.8260027509112255,0.0,-11.86349228354694,0.3476120651652925,3.619954432062711,5.206048119814022
2017-06,-8.358192122745189,2.259653812975282,1.5253111850408008,1.072150145191375,8.850300526211363,5.807795943269767,-7.988825486646645,3.1626218696056307,-21.040953127266448,0.3475113993029133,0.8047261572208031,-6.132292882903901
2017-07,3.51219319024223,0.8281526689535523,-7.840864653148771,0.0,-12.53781997691814,0.5867296491459228,-6.930954610365914,7.161663743585001,44.69558750827769,0.11967208427574594,3.830184454961305,2.9869600625255455
2017-08,42.229284098039166,0.8153658716493872,8.892497186072212,1.5547888710375712,3.2131615748829168,0.12191651283017801,4.035176819448871,0.0,1.4079070244097158,0.46741722138075037,3.477358770558814,-1.008536081738709
2017-09,16.030944735174725,0.47355631690613187,0.6974333089545981,0.4782797391702065,3.437043629613701,-6.269587812698929,7.294062802917978,0.12464646484551256,-16.09842200666932,0.347240931922288,-1.5813419313409294,0.22558501648977103
2017-10,-25.861774220321355,-1.5154110286116462,0.0,2.8750074945517845,6.842240016841639,-1.8702014006764855,11.643714787372183,-1.3056873548648817,12.322128056831549,0.1195790674911601,2.4189681398838037,3.4454037470736942
2017-11,-28.775844612212808,-0.4598481290308709,-0.5835376789311342,-9.804638025462541,-4.419786595667419,-3.024448907499777,1.9026479519266504,-1.295908623977804,-28.71989120725823,0.3471058560486018,1.1429899987999814,-4.414071562610755
2017-12,15.414944989332447,-0.35124692186613293,8.576150836819284,2.2884117149062577,1.8749164678546704,1.6732300560967195,4.076229916614271,-1.3085225760223418,0.718475958190723,0.35899085245389983,4.639712714927957,1.2474442250860474
2018-01,19.46554248598367,2.243459673119763,-6.712402727798949,2.158704248736165,1.9987717227120116,13.27401717965586,6.026029290452128,-7.922284634955878,5.291716591690365,4.634000669321647,5.569387711460161,-1.120645739973447
2018-02,40.86405763705956,1.1812745909629996,7.442338704831131,6.983437490692723,10.048640882178827,0.47512842986139336,3.1980277939257062,-1.5559984307460861,18.340220694079367,3.41963137955823,4.483245963544724,4.735040464549134
2018-03,-17.645140318128217,-2.203965153794918,1.0464420615251324,2.0307735183427544,8.973316653956974,1.1728042387536997,-0.8120291148911107,-1.0714183382670162,-3.595736746560918,3.5200856818757176,4.000179100028567,2.8443278356690582
2018-04,6.215688131860397,1.5382751219104929,0.10894948415127725,-0.24321272243696956,-5.340296529472743,-5.015953222660796,-3.2141396520283028,5.933725411272395,20.356217577232716,2.452435895688687,4.684808242827154,2.965414446752046
2018-05,-10.673216825539223,-1.741584322015366,0.230111170192826,-0.2311118197570794,9.069072149830282,-0.24356568364023445,11.165685498701695,-1.3155342373343482,2.234080874845934,0.46143981034560966,4.2026832000529035,-0.5574783406796735
2018-06,-14.355210052118682,-0.3510768328583991,0.24218927468724338,-0.9458392238374413,-4.778903498966736,2.0183113700755317,8.53948971006826,-1.1927779996494858,-20.15431696471184,0.23630176658231417,1.1164060890019867,1.6904627591980415
2018-07,3.705439912145181,2.3662114274383583,-1.3819334743407907,-17.329197464859636,5.37855870373074,-11.53901852290521,-0.9162951819067566,-6.401425778094694,21.228309701611426,0.22443034050443345,3.941090618977383,-3.0825425592314493
2018-08,84.50704894286002,-0.2297633338661842,0.0,3.0383181881858956,-0.6696913241339253,0.6043240422610952,3.152599774486853,-1.2005286971399576,9.222103028767492,1.1623295556207447,2.687272182013012,3.0654148811435356
2018-09,50.51973199902948,-0.8202360585103929,0.8142346069428319,22.487184424386175,-2.9295145892100583,-0.6006939045755333,1.73583380176221,-0.9624491422222214,1.387873152701391,0.9232252233395633,-1.9686634420604476,1.3610827253029756
2018-10,-27.447749674852773,-0.10899126493182365,0.0,3.3415761055894277,5.024746666261803,-1.1743463290101452,17.684316102524257,-0.6087416368863008,-5.0730314265098215,0.6852323052710219,1.7832536218438388,-2.2207104730764926
2018-11,-31.57072317632814,2.487733573618933,4.104363355554286,-0.9286785578201395,-1.249484611859475,-0.9438566181615426,-17.903851931889847,-2.0320479669754032,-17.72929389080956,0.0,2.4557944005356713,3.187656465549238
2018-12,2.114817033865113,-3.005108819807567,0.47131484161131443,-0.24216728054421433,-0.21962593791924334,-0.467193121599796,-29.86306032371404,-3.4644924815850686,-10.536869647840652,0.5782917503730722,4.3821387808077095,-2.109811557691643
2019-01,-0.6615775860933426,2.129968000602478,-7.548700176721946,-3.001103147964679,9.503563301988915,11.743172741583297,-25.269528279973475,-4.167139292698396,8.77832383431194,5.53584206463269,3.910472968262302,8.370546267399659
2019-02,8.480776780006295,0.3515236695500912,7.787545072467195,14.937240994328471,18.202654570820442,1.17869608589396,-2.3999082139719685,-9.895934595033385,10.651588705915383,1.2604444246624436,2.0989744735200544,3.8503337312360664
2019-03,-11.010954265611728,-3.896916008811524,-3.499616675731765,-1.6218438784182831,-0.8930328425488798,-0.3532363692000273,7.413930860412354,-3.039157742907206,-8.333314214531395,0.4572604308504813,-2.803413408245825,2.133959591504575
2019-04,10.665554373005026,4.787452170502182,-3.1816308150729777,-2.873028594555127,5.4940229670330964,0.943760280384276,19.428986081728983,3.388536312109358,12.977404047499252,0.6804623858469805,1.8773519442755626,2.681739685701845
2019-05,-6.078079227437049,5.515376653943416,1.1580942231613323,0.9447891048986135,-11.655422990493403,0.12201196248669,30.79826851442924,-2.433110303891517,-4.792252125579511,1.0335017163411564,2.3201142964466293,4.279486082790918
2019-06,-12.363677478335367,2.237511811287174,0.5830533295604123,0.7012071469810532,-3.09643275363386,3.6946829588860863,2.950397367923685,-1.8394745466909224,-11.435800890820047,0.573777331441816,1.0966251133791571,-2.923640636802116
